wikidata_link,individual_wikidata_id,productive_year,individual_name,score,region_name,manual_region_name,manual_region_name_2,manual_region_name_3,manual_region_name_4
https://www.wikidata.org/wiki/Q27684,Q27684,1763,Peter Forsskål,56,Arabian peninsula,Sweden,Western Europe,Nordic countries,
https://www.wikidata.org/wiki/Q314978,Q314978,694,Ali ibn al-Husayn Zayn al-'Abidin,45,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q334923,Q334923,608,Abu Bakr,44,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q170046,Q170046,737,Ja'far al-Sadiq,38,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q180123,Q180123,632,Fatimah,37,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q4115262,Q4115262,1364,Fairuzabadi,36,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q312299,Q312299,746,Malik ibn Anas,34,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q771877,Q771877,560,Antarah ibn Shaddad,34,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q423600,Q423600,654,`Abdullah ibn `Abbas,31,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q181154,Q181154,638,Muawiyah I,30,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q953200,Q953200,662,Ka'b bin Zuhayr,30,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q970628,Q970628,928,Abū Muhammad al-Hasan al-Hamdānī,29,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q912031,Q912031,685,Jarir ibn Atiyah,27,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q3646767,Q3646767,1576,Mustafa Âlî,27,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q4120128,Q4120128,1463,Al-Sakhawi,26,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q2420369,Q2420369,610,al-Khansāʼ,26,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q307665,Q307665,659,Abd Allah ibn al-Zubayr,25,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q4325822,Q4325822,1795,Muhammad ash-Shawkani,25,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q14354376,Q14354376,680,Qays Ibn al-Mulawwah,24,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q12223451,Q12223451,1333,Abdullah bin Asaad Al-Yafi'i,23,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q228566,Q228566,555,Zuhayr,22,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q7684920,Q7684920,1408,Taqi al-Din Muhammad ibn Ahmad al-Fasi,22,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q479063,Q479063,605,Al-A'sha,22,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q2315457,Q2315457,589,Hassan ibn Thabit,21,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q1058694,Q1058694,679,Umar Ibn Abi Rabi'ah,21,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q6003118,Q6003118,1669,Abdullah Alawi AlHaddad,21,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q6448423,Q6448423,695,Kuthayyir,20,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q3622231,Q3622231,1666,Müneccimbaşı Ahmed Dede,20,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q439374,Q439374,690,Wahb ibn Munabbih,20,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q12178105,Q12178105,809,Abu Ubaid al-Qasim bin Salam,20,Arabian peninsula,,,,
https://www.wikidata.org/wiki/Q8018,Q8018,389,Augustine of Hippo,229,Arabic world,,,,
https://www.wikidata.org/wiki/Q170512,Q170512,160,Apuleius,154,Arabic world,,,,
https://www.wikidata.org/wiki/Q34943,Q34943,135,Ptolemy,154,Arabic world,,,,
https://www.wikidata.org/wiki/Q39837,Q39837,1161,Averroes,149,Arabic world,,,,
https://www.wikidata.org/wiki/Q170472,Q170472,220,Origen,147,Arabic world,,,,
https://www.wikidata.org/wiki/Q44248,Q44248,380,Jerome,146,Arabic world,,,,
https://www.wikidata.org/wiki/Q142999,Q142999,310,Eusebius of Caesarea,143,Arabic world,,,,
https://www.wikidata.org/wiki/Q44024,Q44024,331,Athanasios of Alexandria,139,Arabic world,,,,
https://www.wikidata.org/wiki/Q127398,Q127398,1173,Moshe ben Maimon,135,Arabic world,,,,
https://www.wikidata.org/wiki/Q189597,Q189597,21,Philo of Alexandria,134,Arabic world,,,,
https://www.wikidata.org/wiki/Q51884,Q51884,710,John of Damascus,133,Arabic world,,,,
https://www.wikidata.org/wiki/Q33941,Q33941,363,Julian,125,Arabic world,,,,
https://www.wikidata.org/wiki/Q310916,Q310916,280,Iamblichus,116,Arabic world,,,,
https://www.wikidata.org/wiki/Q313934,Q313934,405,Macrobius,115,Arabic world,,,,
https://www.wikidata.org/wiki/Q236594,Q236594,235,Sextus Empiricus,110,Arabic world,,,,
https://www.wikidata.org/wiki/Q192417,Q192417,-264,Callimachus,106,Arabic world,,,,
https://www.wikidata.org/wiki/Q192638,Q192638,-259,Apollonius of Rhodes,106,Arabic world,,,,
https://www.wikidata.org/wiki/Q239355,Q239355,1056,Solomon ibn Gabirol,104,Arabic world,,,,
https://www.wikidata.org/wiki/Q270670,Q270670,1127,Abraham ibn Ezra,104,Arabic world,,,,
https://www.wikidata.org/wiki/Q9294,Q9294,1367,Ibn Khaldun,100,Arabic world,,,,
https://www.wikidata.org/wiki/Q160460,Q160460,905,Al-Farabi,100,Arabic world,,,,
https://www.wikidata.org/wiki/Q348408,Q348408,395,Martianus Capella,100,Arabic world,,,,
https://www.wikidata.org/wiki/Q43182,Q43182,-240,Eratosthenes,99,Arabic world,,,,
https://www.wikidata.org/wiki/Q275606,Q275606,355,Aurelius Victor,99,Arabic world,,,,
https://www.wikidata.org/wiki/Q46420,Q46420,1200,Ibn Arabi,98,Arabic world,,,,
https://www.wikidata.org/wiki/Q180109,Q180109,-226,Apollonius of Perga,96,Arabic world,,,,
https://www.wikidata.org/wiki/Q298654,Q298654,348,Cyril of Jerusalem,96,Arabic world,,,,
https://www.wikidata.org/wiki/Q299200,Q299200,1110,Judah Halevi,95,Arabic world,,,,
https://www.wikidata.org/wiki/Q342416,Q342416,290,Arnobius,94,Arabic world,,,,
https://www.wikidata.org/wiki/Q294923,Q294923,205,Athenaeus,94,Arabic world,,,,
https://www.wikidata.org/wiki/Q254,Q254,1791,Wolfgang Amadeus Mozart,271,Austria,,,,
https://www.wikidata.org/wiki/Q7349,Q7349,1767,Joseph Haydn,188,Austria,,,,
https://www.wikidata.org/wiki/Q1430,Q1430,156,Marcus Aurelius,187,Austria,,,,
https://www.wikidata.org/wiki/Q1340,Q1340,1713,Antonio Vivaldi,183,Austria,,,,
https://www.wikidata.org/wiki/Q130759,Q130759,1749,Christoph Willibald von Gluck,171,Austria,,,,
https://www.wikidata.org/wiki/Q83321,Q83321,1760,Giacomo Casanova,153,Austria,,,,
https://www.wikidata.org/wiki/Q29473,Q29473,1733,Pietro Metastasio,142,Austria,,,,
https://www.wikidata.org/wiki/Q83428,Q83428,1528,Paracelsus,142,Austria,,,,
https://www.wikidata.org/wiki/Q150494,Q150494,1675,"Leopold I, Holy Roman Emperor",123,Austria,,,,
https://www.wikidata.org/wiki/Q51088,Q51088,1785,Antonio Salieri,116,Austria,,,,
