,region_name,decade,score,century
0,Arabian peninsula,540,3,6
1,Arabian peninsula,560,4,6
2,Arabian peninsula,570,1,6
3,Arabian peninsula,580,4,6
4,Arabian peninsula,590,1,6
5,Arabian peninsula,600,3,6
6,Arabian peninsula,610,2,7
7,Arabian peninsula,620,5,7
8,Arabian peninsula,630,4,7
9,Arabian peninsula,640,6,7
10,Arabian peninsula,650,2,7
11,Arabian peninsula,660,4,7
12,Arabian peninsula,680,8,7
13,Arabian peninsula,690,3,7
14,Arabian peninsula,700,2,7
15,Arabian peninsula,710,3,8
16,Arabian peninsula,720,1,8
17,Arabian peninsula,730,1,8
18,Arabian peninsula,740,2,8
19,Arabian peninsula,750,1,8
20,Arabian peninsula,760,2,8
21,Arabian peninsula,780,2,8
22,Arabian peninsula,810,1,9
23,Arabian peninsula,820,1,9
24,Arabian peninsula,840,2,9
25,Arabian peninsula,860,1,9
26,Arabian peninsula,870,1,9
27,Arabian peninsula,880,1,9
28,Arabian peninsula,890,1,9
29,Arabian peninsula,930,2,10
30,Arabian peninsula,940,1,10
31,Arabian peninsula,1020,1,11
32,Arabian peninsula,1080,1,11
33,Arabian peninsula,1140,2,12
34,Arabian peninsula,1160,2,12
35,Arabian peninsula,1250,1,13
36,Arabian peninsula,1280,1,13
37,Arabian peninsula,1300,2,13
38,Arabian peninsula,1320,1,14
39,Arabian peninsula,1330,1,14
40,Arabian peninsula,1350,1,14
41,Arabian peninsula,1360,1,14
42,Arabian peninsula,1400,1,14
43,Arabian peninsula,1410,2,15
44,Arabian peninsula,1420,1,15
45,Arabian peninsula,1440,1,15
46,Arabian peninsula,1460,2,15
47,Arabian peninsula,1470,1,15
48,Arabian peninsula,1480,3,15
49,Arabian peninsula,1500,1,15
50,Arabian peninsula,1510,1,16
51,Arabian peninsula,1520,1,16
52,Arabian peninsula,1530,2,16
53,Arabian peninsula,1550,1,16
54,Arabian peninsula,1580,1,16
55,Arabian peninsula,1600,2,16
56,Arabian peninsula,1640,1,17
57,Arabian peninsula,1650,3,17
58,Arabian peninsula,1660,2,17
59,Arabian peninsula,1670,5,17
60,Arabian peninsula,1690,1,17
61,Arabian peninsula,1700,1,17
62,Arabian peninsula,1710,1,18
63,Arabian peninsula,1730,1,18
64,Arabian peninsula,1760,2,18
65,Arabian peninsula,1770,1,18
66,Arabian peninsula,1780,1,18
67,Arabian peninsula,1790,2,18
68,Arabian peninsula,1800,2,18
69,Arabian peninsula,1810,5,19
70,Arabian peninsula,1820,3,19
71,Arabian peninsula,1830,4,19
72,Arabian peninsula,1840,3,19
73,Arabian peninsula,1850,3,19
74,Arabian peninsula,1860,3,19
75,Arabian peninsula,1870,9,19
76,Arabian peninsula,1880,5,19
77,Arabic world,-360,4,-3
78,Arabic world,-330,1,-3
79,Arabic world,-310,1,-3
80,Arabic world,-300,6,-3
81,Arabic world,-280,1,-2
82,Arabic world,-270,4,-2
83,Arabic world,-260,5,-2
84,Arabic world,-250,1,-2
85,Arabic world,-240,3,-2
86,Arabic world,-230,1,-2
87,Arabic world,-220,2,-2
88,Arabic world,-200,1,-2
89,Arabic world,-170,1,-1
90,Arabic world,-160,2,-1
91,Arabic world,-130,1,-1
92,Arabic world,-120,3,-1
93,Arabic world,-100,2,-1
94,Arabic world,-90,2,0
95,Arabic world,-60,2,0
96,Arabic world,-50,2,0
97,Arabic world,-40,2,0
98,Arabic world,-20,1,0
99,Arabic world,-10,1,0
100,Arabic world,20,1,1
101,Arabic world,40,3,1
102,Arabic world,50,1,1
103,Arabic world,60,1,1
104,Arabic world,70,1,1
105,Arabic world,80,3,1
106,Arabic world,100,4,1
107,Arabic world,140,11,2
108,Arabic world,160,1,2
109,Arabic world,170,1,2
110,Arabic world,200,6,2
111,Arabic world,210,1,3
112,Arabic world,220,2,3
113,Arabic world,240,8,3
114,Arabic world,250,1,3
115,Arabic world,280,5,3
116,Arabic world,290,1,3
117,Arabic world,300,1,3
118,Arabic world,310,1,4
119,Arabic world,320,1,4
120,Arabic world,330,1,4
121,Arabic world,340,5,4
122,Arabic world,350,2,4
123,Arabic world,360,2,4
124,Arabic world,370,1,4
125,Arabic world,380,5,4
126,Arabic world,390,1,4
127,Arabic world,400,8,4
128,Arabic world,420,1,5
129,Arabic world,440,7,5
130,Arabic world,450,1,5
131,Arabic world,470,1,5
132,Arabic world,480,6,5
133,Arabic world,500,1,5
134,Arabic world,540,5,6
135,Arabic world,560,4,6
136,Arabic world,570,1,6
137,Arabic world,580,4,6
