,region_name,decade,median_unique_occupations,lower_bound,upper_bound
0,Africa,1300,1.0,1.0,1.0
1,Africa,1400,1.0,1.0,1.0
2,Africa,1500,1.0,1.0,1.0
3,Africa,1600,4.0,3.810525763605303,4.189474236394696
4,Africa,1700,3.0,3.0,3.0
5,Africa,1800,3.5,3.2004974692297328,3.7995025307702672
6,Africa,1900,3.0,2.7003324085774834,3.2996675914225166
7,Arabian peninsula,600,1.0,1.0,1.0
8,Arabian peninsula,700,1.0,1.0,1.0
9,Arabian peninsula,800,1.0,1.0,1.0
10,Arabian peninsula,900,5.0,5.0,5.0
11,Arabian peninsula,1300,1.0,1.0,1.0
12,Arabian peninsula,1400,1.0,1.0,1.0
13,Arabian peninsula,1500,4.0,4.0,4.0
14,Arabian peninsula,1700,1.0,1.0,1.0
15,Arabian peninsula,1800,2.0,2.0,2.0
16,Arabian peninsula,1900,1.0,1.0,1.0
17,Arabic world,-400,1.0,1.0,1.0
18,Arabic world,-300,3.5,3.3564589118221995,3.6435410881778005
19,Arabic world,-200,3.0,2.7848606859940097,3.2151393140059903
20,Arabic world,-100,4.0,4.0,4.0
21,Arabic world,0,2.0,2.0,2.0
22,Arabic world,100,3.0,2.8184332894156325,3.1815667105843675
23,Arabic world,200,1.0,1.0,1.0
24,Arabic world,300,2.0,1.818070518403429,2.1819294815965713
25,Arabic world,400,3.0,2.8897066295065486,3.1102933704934514
26,Arabic world,500,1.0,1.0,1.0
27,Arabic world,600,2.0,2.0,2.0
28,Arabic world,700,3.0,3.0,3.0
29,Arabic world,800,4.0,3.7991245167763594,4.200875483223641
30,Arabic world,900,3.0,2.7776271023963552,3.2223728976036448
31,Arabic world,1000,4.0,3.722019053530912,4.277980946469087
32,Arabic world,1100,4.0,3.7480864126224573,4.251913587377542
33,Arabic world,1200,4.0,3.8095712274059665,4.190428772594034
34,Arabic world,1300,4.0,3.792982098575617,4.207017901424384
35,Arabic world,1400,4.0,3.780311783077668,4.219688216922332
36,Arabic world,1500,4.0,3.804109797241451,4.195890202758549
37,Arabic world,1600,3.0,2.8151939846039777,3.1848060153960223
38,Arabic world,1700,4.0,3.778443970033934,4.221556029966067
39,Arabic world,1800,4.0,3.7497275609548426,4.250272439045157
40,Arabic world,1900,4.0,3.7431617099121564,4.256838290087844
41,Austria,700,2.0,2.0,2.0
42,Austria,1300,1.0,1.0,1.0
43,Austria,1400,2.0,2.0,2.0
44,Austria,1500,4.0,3.7696892298188907,4.230310770181109
45,Austria,1600,4.0,3.7686181772106933,4.231381822789307
46,Austria,1700,5.0,4.825752706674033,5.174247293325967
47,Austria,1800,5.0,4.807505031959045,5.192494968040955
48,Austria,1900,5.0,4.807505031959045,5.192494968040955
49,Balkans,-600,1.0,1.0,1.0
50,Balkans,-500,3.0,2.8095712274059665,3.1904287725940335
51,Balkans,-400,3.0,2.816986519844285,3.183013480155715
52,Balkans,-300,5.0,4.857496155273848,5.142503844726152
53,Balkans,-200,1.0,1.0,1.0
54,Balkans,-100,1.0,1.0,1.0
55,Balkans,200,1.0,1.0,1.0
56,Balkans,400,1.0,1.0,1.0
57,Balkans,500,2.0,2.0,2.0
58,Balkans,1100,3.0,3.0,3.0
59,Balkans,1200,2.0,2.0,2.0
60,Balkans,1400,3.0,3.0,3.0
61,Balkans,1500,5.0,5.0,5.0
62,Balkans,1600,4.0,3.840056319210406,4.159943680789595
63,Balkans,1700,4.0,3.8184332894156325,4.1815667105843675
64,Balkans,1800,5.0,4.81653674408572,5.18346325591428
65,Balkans,1900,5.0,4.825752706674033,5.174247293325967
66,Belgium,1300,2.0,2.0,2.0
67,Belgium,1400,1.0,1.0,1.0
68,Belgium,1500,4.0,3.804109797241451,4.195890202758549
69,Belgium,1600,5.0,4.7764442594901215,5.2235557405098785
70,Belgium,1700,4.0,3.7416260412799587,4.258373958720041
71,Belgium,1800,5.0,4.825469147018062,5.174530852981938
72,Belgium,1900,5.0,4.799124516776359,5.200875483223641
73,British Islands,500,1.0,1.0,1.0
74,British Islands,800,1.0,1.0,1.0
75,British Islands,900,1.0,1.0,1.0
76,British Islands,1000,3.0,3.0,3.0
77,British Islands,1100,3.0,3.0,3.0
78,British Islands,1200,4.0,3.814038102177741,4.185961897822259
79,British Islands,1300,4.0,3.8031026430307033,4.196897356969297
80,British Islands,1400,3.0,3.0,3.0
81,British Islands,1500,4.0,3.734639149914263,4.265360850085737
82,British Islands,1600,4.0,3.7343287499367177,4.265671250063282
83,British Islands,1700,5.0,4.807505031959045,5.192494968040955
84,British Islands,1800,5.0,4.807505031959045,5.192494968040955
85,British Islands,1900,5.0,4.854293421793238,5.145706578206762
86,Central America,1500,2.0,1.828133896676468,2.171866103323532
87,Central America,1600,2.0,1.7805369888948563,2.2194630111051437
88,Central America,1700,4.0,3.7366343725812587,4.263365627418741
89,Central America,1800,4.0,3.802017340919473,4.197982659080527
90,Central America,1900,5.0,4.81653674408572,5.18346325591428
91,Central Europe,1200,1.0,1.0,1.0
92,Central Europe,1300,4.0,4.0,4.0
93,Central Europe,1400,4.0,3.8077620919019584,4.192237908098042
94,Central Europe,1500,4.0,3.7794132590130975,4.220586740986903
95,Central Europe,1600,4.0,3.785474494132216,4.214525505867784
96,Central Europe,1700,4.0,3.7531093283341828,4.246890671665817
97,Central Europe,1800,5.0,4.80110363384186,5.19889636615814
98,Central Europe,1900,4.0,3.774024198999384,4.225975801000616
99,Chinese world,-500,1.0,1.0,1.0
100,Chinese world,-400,1.0,1.0,1.0
101,Chinese world,-200,2.0,2.0,2.0
102,Chinese world,-100,4.0,4.0,4.0
103,Chinese world,0,3.0,2.843388844675847,3.156611155324153
104,Chinese world,100,4.0,3.789742926881769,4.210257073118231
105,Chinese world,200,2.0,1.8458285851626828,2.1541714148373172
106,Chinese world,300,4.0,3.838008301347346,4.1619916986526535
107,Chinese world,400,3.0,3.0,3.0
108,Chinese world,500,2.0,2.0,2.0
109,Chinese world,600,4.0,4.0,4.0
110,Chinese world,700,2.0,2.0,2.0
111,Chinese world,800,2.0,2.0,2.0
112,Chinese world,1000,1.0,1.0,1.0
113,Chinese world,1100,5.0,4.852382802731543,5.147617197268457
114,Chinese world,1200,4.0,3.8220090506595272,4.177990949340472
115,Chinese world,1300,3.0,2.8350838453220772,3.1649161546779228
116,Chinese world,1400,3.0,2.770334258915519,3.229665741084481
117,Chinese world,1500,3.0,2.8897066295065486,3.1102933704934514
118,Chinese world,1600,4.0,3.792902491611927,4.207097508388073
119,Chinese world,1700,3.0,2.769188786766841,3.230811213233159
120,Chinese world,1800,4.0,3.76494297632764,4.2350570236723595
121,Chinese world,1900,4.0,3.7547168810003835,4.245283118999616
122,Denmark,800,1.0,1.0,1.0
123,Denmark,900,1.0,1.0,1.0
124,Denmark,1000,1.0,1.0,1.0
125,Denmark,1200,1.0,1.0,1.0
126,Denmark,1300,2.0,2.0,2.0
127,Denmark,1400,2.0,2.0,2.0
128,Denmark,1500,4.0,4.0,4.0
129,Denmark,1600,4.0,3.787559189496855,4.212440810503145
130,Denmark,1700,5.0,4.826226334332663,5.173773665667337
131,Denmark,1800,5.0,4.800359165738958,5.199640834261042
132,Denmark,1900,5.0,4.838722149259034,5.161277850740966
133,East Slavic,1100,1.0,1.0,1.0
134,East Slavic,1400,3.0,3.0,3.0
135,East Slavic,1500,3.0,3.0,3.0
136,East Slavic,1600,4.0,3.772932697876254,4.2270673021237455
137,East Slavic,1700,4.0,3.7496617084503363,4.250338291549664
138,East Slavic,1800,5.0,4.845401516713424,5.154598483286576
139,East Slavic,1900,5.0,4.845401516713424,5.154598483286576
140,Eastern Europe,-600,1.0,1.0,1.0
141,Eastern Europe,-500,3.0,2.820166445136145,3.179833554863855
142,Eastern Europe,-400,3.0,2.7343287499367177,3.2656712500632823
143,Eastern Europe,-300,5.0,4.857496155273848,5.142503844726152
144,Eastern Europe,-200,1.0,1.0,1.0
