,region_name,occupations_name,decade,score,count_occupations
0,Africa,botanist,1640,1,32
1,Africa,explorer,1640,1,94
2,Africa,ornithologist,1640,1,9
3,Africa,zoologist,1640,1,8
4,Africa,botanist,1700,2,32
5,Africa,painter,1700,1,7
6,Africa,poet,1700,1,18
7,Africa,botanist,1790,1,32
8,Africa,ornithologist,1790,1,9
9,Africa,poet,1790,1,18
10,Africa,zoologist,1790,1,8
11,Africa,botanist,1810,3,32
12,Africa,explorer,1810,4,94
13,Africa,naturalist,1810,2,15
14,Africa,poet,1810,2,18
15,Africa,translator,1810,1,10
16,Africa,zoologist,1810,1,8
17,Africa,botanist,1820,6,32
18,Africa,entomologist,1820,2,9
19,Africa,explorer,1820,8,94
20,Africa,historian,1820,1,7
21,Africa,naturalist,1820,1,15
22,Africa,ornithologist,1820,2,9
23,Africa,zoologist,1820,2,8
24,Africa,botanist,1830,2,32
25,Africa,entomologist,1830,2,9
26,Africa,explorer,1830,11,94
27,Africa,painter,1830,2,7
28,Africa,poet,1830,3,18
29,Africa,translator,1830,1,10
30,Africa,botanist,1840,3,32
31,Africa,entomologist,1840,1,9
32,Africa,explorer,1840,4,94
33,Africa,historian,1840,1,7
34,Africa,naturalist,1840,3,15
35,Africa,ornithologist,1840,1,9
36,Africa,painter,1840,2,7
37,Africa,poet,1840,2,18
38,Africa,translator,1840,1,10
39,Africa,zoologist,1840,1,8
40,Africa,botanist,1850,5,32
41,Africa,entomologist,1850,2,9
42,Africa,explorer,1850,14,94
43,Africa,naturalist,1850,4,15
44,Africa,ornithologist,1850,2,9
45,Africa,translator,1850,2,10
46,Africa,zoologist,1850,1,8
47,Africa,botanist,1860,7,32
48,Africa,entomologist,1860,2,9
49,Africa,explorer,1860,22,94
50,Africa,historian,1860,1,7
51,Africa,naturalist,1860,3,15
52,Africa,ornithologist,1860,2,9
53,Africa,poet,1860,2,18
54,Africa,translator,1860,1,10
55,Africa,botanist,1870,1,32
56,Africa,explorer,1870,7,94
57,Africa,historian,1870,1,7
58,Africa,naturalist,1870,1,15
59,Africa,painter,1870,1,7
60,Africa,poet,1870,2,18
61,Africa,translator,1870,2,10
62,Africa,zoologist,1870,1,8
63,Africa,botanist,1880,1,32
64,Africa,explorer,1880,8,94
65,Africa,historian,1880,1,7
66,Africa,poet,1880,3,18
67,Africa,translator,1880,1,10
68,Africa,explorer,1780,3,94
69,Africa,naturalist,1780,1,15
70,Africa,poet,1780,1,18
71,Arabian peninsula,astronomer,930,1,3
72,Arabian peninsula,grammarian,930,1,5
73,Arabian peninsula,poet,930,1,87
74,Arabian peninsula,theologian,930,1,23
75,Arabian peninsula,astronomer,1280,1,3
76,Arabian peninsula,astronomer,1670,1,3
77,Arabian peninsula,historian,1670,3,24
78,Arabian peninsula,poet,1670,3,87
79,Arabian peninsula,explorer,1520,1,5
80,Arabian peninsula,historian,840,1,24
81,Arabian peninsula,historian,1460,2,24
82,Arabian peninsula,poet,620,4,87
83,Arabian peninsula,scientist,620,1,5
84,Arabian peninsula,poet,630,3,87
85,Arabian peninsula,scientist,630,1,5
86,Arabian peninsula,poet,640,4,87
87,Arabian peninsula,scientist,640,1,5
88,Arabian peninsula,theologian,640,1,23
89,Arabian peninsula,poet,660,2,87
90,Arabian peninsula,scientist,660,1,5
91,Arabian peninsula,theologian,660,1,23
92,Arabian peninsula,scientist,880,1,5
93,Arabic world,Islamic scholar,760,1,119
94,Arabic world,astronomer,760,1,89
95,Arabic world,historian,760,1,270
96,Arabic world,mathematician,760,1,93
97,Arabic world,philosopher,760,1,166
98,Arabic world,poet,760,5,633
99,Arabic world,theologian,760,2,170
100,Arabic world,Islamic scholar,780,1,119
101,Arabic world,astronomer,780,2,89
102,Arabic world,historian,780,3,270
103,Arabic world,linguist,780,2,89
104,Arabic world,mathematician,780,2,93
105,Arabic world,philosopher,780,1,166
106,Arabic world,poet,780,6,633
107,Arabic world,theologian,780,2,170
108,Arabic world,translator,780,2,52
109,Arabic world,Islamic scholar,800,2,119
110,Arabic world,astronomer,800,5,89
111,Arabic world,linguist,800,3,89
112,Arabic world,mathematician,800,2,93
113,Arabic world,philosopher,800,1,166
114,Arabic world,poet,800,3,633
115,Arabic world,translator,800,1,52
116,Arabic world,Islamic scholar,810,1,119
117,Arabic world,historian,810,3,270
118,Arabic world,linguist,810,1,89
119,Arabic world,poet,810,7,633
120,Arabic world,theologian,810,2,170
121,Arabic world,Islamic scholar,820,1,119
122,Arabic world,astronomer,820,2,89
123,Arabic world,historian,820,2,270
124,Arabic world,mathematician,820,2,93
125,Arabic world,philosopher,820,2,166
126,Arabic world,poet,820,4,633
127,Arabic world,theologian,820,2,170
128,Arabic world,translator,820,1,52
129,Arabic world,Islamic scholar,850,1,119
130,Arabic world,historian,850,1,270
131,Arabic world,linguist,850,3,89
132,Arabic world,poet,850,3,633
133,Arabic world,theologian,850,2,170
134,Arabic world,Islamic scholar,880,1,119
135,Arabic world,historian,880,1,270
136,Arabic world,linguist,880,3,89
137,Arabic world,mathematician,880,1,93
138,Arabic world,philosopher,880,1,166
139,Arabic world,poet,880,3,633
140,Arabic world,theologian,880,1,170
141,Arabic world,Islamic scholar,900,1,119
142,Arabic world,linguist,900,1,89
143,Arabic world,philosopher,900,1,166
144,Arabic world,poet,900,4,633
145,Arabic world,theologian,900,1,170
146,Arabic world,Islamic scholar,1010,1,119
147,Arabic world,astronomer,1010,2,89
148,Arabic world,historian,1010,2,270
149,Arabic world,mathematician,1010,2,93
150,Arabic world,poet,1010,5,633
151,Arabic world,theologian,1010,1,170
152,Arabic world,Islamic scholar,1030,1,119
153,Arabic world,linguist,1030,1,89
154,Arabic world,philosopher,1030,2,166
155,Arabic world,poet,1030,3,633
156,Arabic world,Islamic scholar,1120,3,119
157,Arabic world,astronomer,1120,1,89
158,Arabic world,historian,1120,1,270
159,Arabic world,mathematician,1120,1,93
160,Arabic world,philosopher,1120,2,166
161,Arabic world,poet,1120,5,633
162,Arabic world,Islamic scholar,1130,2,119
163,Arabic world,astronomer,1130,1,89
164,Arabic world,historian,1130,1,270
165,Arabic world,linguist,1130,2,89
166,Arabic world,philosopher,1130,1,166
167,Arabic world,poet,1130,7,633
168,Arabic world,translator,1130,1,52
169,Arabic world,Islamic scholar,1140,3,119
170,Arabic world,astronomer,1140,1,89
171,Arabic world,historian,1140,4,270
172,Arabic world,mathematician,1140,2,93
173,Arabic world,philosopher,1140,4,166
