,region_name,decade,score
0,Arabian peninsula,620,5
1,Arabian peninsula,630,2
2,Arabian peninsula,640,1
3,Arabian peninsula,660,2
4,Arabian peninsula,840,10
5,Arabian peninsula,880,10
6,Arabian peninsula,930,29
7,Arabian peninsula,1280,15
8,Arabian peninsula,1460,8
9,Arabian peninsula,1470,16
10,Arabian peninsula,1520,14
11,Arabian peninsula,1670,20
12,Arabian peninsula,1760,56
13,Arabian peninsula,1780,1
14,Arabian peninsula,1880,3
15,Arabic world,-360,59
16,Arabic world,-300,56
17,Arabic world,-280,3
18,Arabic world,-270,96
19,Arabic world,-250,25
20,Arabic world,-240,110
21,Arabic world,-230,96
22,Arabic world,-220,2
23,Arabic world,-170,42
24,Arabic world,-120,9
25,Arabic world,-100,14
26,Arabic world,-20,13
27,Arabic world,40,92
28,Arabic world,80,45
29,Arabic world,100,78
30,Arabic world,140,156
31,Arabic world,240,69
32,Arabic world,280,104
33,Arabic world,320,82
34,Arabic world,370,61
35,Arabic world,380,5
36,Arabic world,400,80
37,Arabic world,470,73
38,Arabic world,480,62
39,Arabic world,610,11
40,Arabic world,620,5
41,Arabic world,630,5
42,Arabic world,640,1
43,Arabic world,660,2
44,Arabic world,690,16
45,Arabic world,710,133
46,Arabic world,760,50
47,Arabic world,780,60
48,Arabic world,800,65
49,Arabic world,810,44
50,Arabic world,820,165
51,Arabic world,830,3
52,Arabic world,840,137
53,Arabic world,850,43
54,Arabic world,860,47
55,Arabic world,870,73
56,Arabic world,880,31
57,Arabic world,890,65
58,Arabic world,900,100
59,Arabic world,910,41
60,Arabic world,920,18
61,Arabic world,930,67
62,Arabic world,940,64
63,Arabic world,970,70
64,Arabic world,980,172
65,Arabic world,1000,84
66,Arabic world,1010,86
67,Arabic world,1020,58
68,Arabic world,1030,75
69,Arabic world,1040,27
70,Arabic world,1050,53
71,Arabic world,1060,106
72,Arabic world,1070,1
73,Arabic world,1080,3
74,Arabic world,1100,71
75,Arabic world,1120,60
76,Arabic world,1130,105
77,Arabic world,1140,69
78,Arabic world,1150,18
79,Arabic world,1160,154
80,Arabic world,1170,187
81,Arabic world,1180,119
82,Arabic world,1190,46
83,Arabic world,1200,59
84,Arabic world,1210,36
85,Arabic world,1220,43
86,Arabic world,1230,39
87,Arabic world,1240,142
88,Arabic world,1250,71
89,Arabic world,1270,37
90,Arabic world,1280,48
91,Arabic world,1290,26
92,Arabic world,1310,54
93,Arabic world,1320,41
94,Arabic world,1340,122
95,Arabic world,1350,15
96,Arabic world,1370,114
97,Arabic world,1380,25
98,Arabic world,1390,47
99,Arabic world,1410,2
100,Arabic world,1430,14
101,Arabic world,1440,30
102,Arabic world,1450,21
103,Arabic world,1460,24
104,Arabic world,1470,34
105,Arabic world,1480,34
106,Arabic world,1500,48
107,Arabic world,1520,14
108,Arabic world,1540,8
109,Arabic world,1560,21
110,Arabic world,1590,43
111,Arabic world,1660,14
112,Arabic world,1670,27
113,Arabic world,1720,17
114,Arabic world,1730,1
115,Arabic world,1740,13
116,Arabic world,1750,16
117,Arabic world,1760,56
118,Arabic world,1770,55
119,Arabic world,1780,2
120,Arabic world,1800,10
121,Arabic world,1820,143
122,Arabic world,1830,44
123,Arabic world,1840,184
124,Arabic world,1850,125
125,Arabic world,1860,310
126,Arabic world,1870,148
127,Arabic world,1880,152
128,Austria,740,32
129,Austria,1360,56
130,Austria,1420,25
131,Austria,1440,7
132,Austria,1460,71
133,Austria,1480,36
134,Austria,1490,85
135,Austria,1500,114
136,Austria,1510,8
137,Austria,1520,142
138,Austria,1530,168
139,Austria,1540,143
140,Austria,1550,51
141,Austria,1560,60
142,Austria,1580,23
143,Austria,1610,34
144,Austria,1620,39
145,Austria,1630,2
146,Austria,1650,23
147,Austria,1660,47
148,Austria,1670,6
149,Austria,1680,24
150,Austria,1690,17
151,Austria,1700,25
152,Austria,1710,112
153,Austria,1720,28
154,Austria,1730,42
155,Austria,1740,172
156,Austria,1750,114
157,Austria,1760,541
158,Austria,1770,329
159,Austria,1780,330
160,Austria,1790,381
161,Austria,1800,497
162,Austria,1810,410
163,Austria,1820,732
164,Austria,1830,1033
165,Austria,1840,1720
166,Austria,1850,1504
167,Austria,1860,1683
168,Austria,1870,2193
169,Austria,1880,3005
170,Balkans,-500,52
171,Balkans,-460,63
172,Balkans,-450,51
173,Balkans,-420,126
174,Balkans,-410,49
175,Balkans,-400,24
176,Balkans,-390,9
177,Balkans,-380,28
178,Balkans,-370,68
179,Balkans,-360,75
180,Balkans,-350,70
181,Balkans,-340,129
182,Balkans,-300,56
183,Balkans,-290,136
184,Balkans,-240,85
185,Balkans,-110,21
186,Balkans,180,17
187,Balkans,450,120
188,Balkans,540,81
189,Balkans,1140,30
190,Balkans,1240,27
191,Balkans,1380,26
192,Balkans,1440,2
193,Balkans,1480,33
194,Balkans,1520,18
195,Balkans,1540,24
196,Balkans,1550,65
197,Balkans,1580,17
198,Balkans,1600,66
199,Balkans,1700,17
200,Balkans,1710,29
201,Balkans,1730,7
202,Balkans,1750,26
203,Balkans,1760,45
204,Balkans,1770,4
205,Balkans,1780,19
206,Balkans,1790,35
207,Balkans,1800,94
208,Balkans,1810,89
209,Balkans,1820,100
210,Balkans,1830,44
211,Balkans,1840,221
212,Balkans,1850,161
213,Balkans,1860,335
214,Balkans,1870,229
215,Balkans,1880,622
216,Belgium,1280,41
217,Belgium,1380,6
218,Belgium,1470,46
219,Belgium,1530,5
220,Belgium,1540,180
221,Belgium,1550,215
222,Belgium,1560,238
223,Belgium,1570,57
224,Belgium,1580,124
225,Belgium,1590,37
226,Belgium,1600,81
227,Belgium,1610,112
228,Belgium,1620,197
229,Belgium,1630,87
230,Belgium,1640,4
231,Belgium,1650,167
232,Belgium,1660,99
233,Belgium,1670,33
234,Belgium,1680,78
235,Belgium,1690,8
236,Belgium,1700,2
237,Belgium,1720,3
238,Belgium,1740,13
239,Belgium,1750,39
240,Belgium,1760,25
241,Belgium,1770,21
242,Belgium,1780,95
243,Belgium,1790,99
244,Belgium,1800,150
245,Belgium,1810,65
246,Belgium,1820,160
247,Belgium,1830,408
248,Belgium,1840,613
249,Belgium,1850,549
250,Belgium,1860,731
251,Belgium,1870,537
252,Belgium,1880,662
253,British Islands,830,30
254,British Islands,1040,15
255,British Islands,1110,77
256,British Islands,1140,28
257,British Islands,1160,36
258,British Islands,1170,23
259,British Islands,1180,86
260,British Islands,1200,29
261,British Islands,1210,172
262,British Islands,1240,83
263,British Islands,1260,125
264,British Islands,1320,14
265,British Islands,1330,47
266,British Islands,1340,103
267,British Islands,1350,31
268,British Islands,1360,13
269,British Islands,1420,7
270,British Islands,1480,5
271,British Islands,1500,55
272,British Islands,1510,48
273,British Islands,1520,23
274,British Islands,1530,33
275,British Islands,1540,123
276,British Islands,1550,117
277,British Islands,1560,172
278,British Islands,1570,216
279,British Islands,1580,502
280,British Islands,1590,272
281,British Islands,1600,405
282,British Islands,1610,471
283,British Islands,1620,284
284,British Islands,1630,209
285,British Islands,1640,638
286,British Islands,1650,740
287,British Islands,1660,1369
288,British Islands,1670,904
289,British Islands,1680,894
290,British Islands,1690,926
291,British Islands,1700,965
292,British Islands,1710,683
293,British Islands,1720,1201
294,British Islands,1730,1095
295,British Islands,1740,1163
296,British Islands,1750,1566
297,British Islands,1760,2253
298,British Islands,1770,2332
299,British Islands,1780,2589
300,British Islands,1790,2527
301,British Islands,1800,3068
302,British Islands,1810,3484
303,British Islands,1820,4469
304,British Islands,1830,4862
305,British Islands,1840,7513
306,British Islands,1850,6692
307,British Islands,1860,7677
308,British Islands,1870,5937
309,British Islands,1880,8092
310,Central Europe,1260,57
311,Central Europe,1300,1
312,Central Europe,1400,36
313,Central Europe,1410,8
314,Central Europe,1420,37
315,Central Europe,1440,41
316,Central Europe,1450,71
317,Central Europe,1460,56
318,Central Europe,1470,18
319,Central Europe,1480,91
320,Central Europe,1490,49
321,Central Europe,1500,85
322,Central Europe,1510,180
323,Central Europe,1520,4
324,Central Europe,1530,30
325,Central Europe,1540,139
326,Central Europe,1550,96
327,Central Europe,1560,239
328,Central Europe,1570,144
329,Central Europe,1580,357
330,Central Europe,1590,117
331,Central Europe,1600,225
332,Central Europe,1610,87
333,Central Europe,1620,129
334,Central Europe,1630,228
335,Central Europe,1640,188
336,Central Europe,1650,127
337,Central Europe,1660,218
338,Central Europe,1670,155
339,Central Europe,1680,242
340,Central Europe,1690,31
341,Central Europe,1700,155
342,Central Europe,1710,66
343,Central Europe,1720,292
344,Central Europe,1730,116
345,Central Europe,1740,273
346,Central Europe,1750,299
347,Central Europe,1760,382
348,Central Europe,1770,490
349,Central Europe,1780,715
350,Central Europe,1790,885
351,Central Europe,1800,806
352,Central Europe,1810,760
353,Central Europe,1820,1507
354,Central Europe,1830,1564
355,Central Europe,1840,2103
356,Central Europe,1850,2359
357,Central Europe,1860,2600
358,Central Europe,1870,2376
359,Central Europe,1880,4813
360,Chinese world,-460,15
361,Chinese world,-400,9
362,Chinese world,-220,2
363,Chinese world,-140,29
364,Chinese world,-110,73
365,Chinese world,-40,44
366,Chinese world,-20,2
367,Chinese world,-10,18
368,Chinese world,60,37
369,Chinese world,110,30
370,Chinese world,140,21
371,Chinese world,160,5
372,Chinese world,170,26
373,Chinese world,200,6
374,Chinese world,210,8
375,Chinese world,230,12
376,Chinese world,260,29
377,Chinese world,300,9
378,Chinese world,320,1
379,Chinese world,400,11
380,Chinese world,440,22
381,Chinese world,460,18
382,Chinese world,520,4
383,Chinese world,580,5
384,Chinese world,630,15
385,Chinese world,640,29
386,Chinese world,720,23
387,Chinese world,760,29
388,Chinese world,1060,97
389,Chinese world,1070,40
390,Chinese world,1080,50
391,Chinese world,1140,25
392,Chinese world,1160,42
393,Chinese world,1170,7
394,Chinese world,1200,17
395,Chinese world,1230,26
396,Chinese world,1240,20
397,Chinese world,1270,36
398,Chinese world,1280,24
399,Chinese world,1300,13
400,Chinese world,1310,20
401,Chinese world,1320,7
402,Chinese world,1330,4
403,Chinese world,1340,6
404,Chinese world,1350,30
405,Chinese world,1360,32
406,Chinese world,1380,1
407,Chinese world,1440,1
408,Chinese world,1480,1
409,Chinese world,1490,6
410,Chinese world,1510,6
411,Chinese world,1540,27
412,Chinese world,1550,34
413,Chinese world,1570,47
414,Chinese world,1580,1
415,Chinese world,1590,94
416,Chinese world,1600,39
417,Chinese world,1610,63
418,Chinese world,1620,102
419,Chinese world,1630,98
420,Chinese world,1640,52
421,Chinese world,1650,129
422,Chinese world,1660,98
423,Chinese world,1670,75
424,Chinese world,1680,30
425,Chinese world,1690,75
426,Chinese world,1700,41
427,Chinese world,1710,33
428,Chinese world,1720,64
429,Chinese world,1730,18
430,Chinese world,1740,40
431,Chinese world,1750,69
432,Chinese world,1760,71
433,Chinese world,1770,36
434,Chinese world,1780,30
435,Chinese world,1790,32
436,Chinese world,1800,129
437,Chinese world,1810,19
438,Chinese world,1820,26
439,Chinese world,1830,20
440,Chinese world,1840,96
441,Chinese world,1850,75
442,Chinese world,1860,55
443,Chinese world,1870,49
444,Chinese world,1880,118
445,Denmark,1200,13
446,Denmark,1340,23
447,Denmark,1420,20
448,Denmark,1520,9
449,Denmark,1540,10
450,Denmark,1550,4
451,Denmark,1570,9
452,Denmark,1580,44
453,Denmark,1590,22
454,Denmark,1600,112
455,Denmark,1610,44
456,Denmark,1620,202
457,Denmark,1630,1
458,Denmark,1640,81
