,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
0,1820,Eastern Europe,33.75,47037.81307424918,44296.21464836019,49804.66890643264,960,28.444444444444443,1312.480434025487,1393.7129799777533,1475.6938935239302,re_eastern_europe,POL,818
1,1830,Eastern Europe,36.0,38990.9684129722,36589.61909269047,41512.18389517973,959,26.63888888888889,1016.3783081302907,1083.0824559158946,1153.116219310548,re_eastern_europe,POL,942
2,1840,Eastern Europe,38.25,66739.92426878164,61979.51816667194,71828.51389297842,1603,41.908496732026144,1620.379559912992,1744.8346214060562,1877.8696442608737,re_eastern_europe,POL,907
3,1850,Eastern Europe,40.5,36140.470355561854,32966.68152178506,39602.562244689616,1627,40.17283950617284,813.9921363403719,892.3572927299223,977.841043078756,re_eastern_europe,POL,985
4,1820,Low countries,6.15,8540.6973127605,7948.689102660707,9124.746362745662,340,55.28455284552845,1292.4697727903588,1388.731270367561,1483.6985955684002,re_low_countries,NLD,3006
5,1830,Low countries,6.6,8201.784429486137,7559.061266474622,8849.375363821227,363,55.0,1145.3123131022155,1242.6946105282027,1340.8144490638224,re_low_countries,NLD,3038
6,1840,Low countries,7.05,12071.729991795237,10939.60561086368,13218.239645368632,800,113.47517730496455,1551.7171079239263,1712.3021264957783,1874.9276092721466,re_low_countries,NLD,3623
7,1850,Low countries,7.5,7485.359942086749,6637.396660543278,8365.611030409633,840,112.0,884.9862214057704,998.0479922782331,1115.4148040546177,re_low_countries,NLD,3779
8,1810,Italy,20.2,15948.407187499864,14656.110933610456,17264.37455267519,437,21.633663366336634,725.5500462183395,789.5251082920726,854.6720075581778,re_italy,ITA,2558
9,1820,Italy,21.4,21201.136078132764,19370.219315257877,23127.29503330692,539,25.186915887850468,905.1504352924242,990.70729337069,1080.7147211825663,re_italy,ITA,2665
10,1830,Italy,22.6,17446.68710139773,15749.827734306718,19234.68260397052,520,23.008849557522122,696.8950324914476,771.9773053715809,851.0921506181645,re_italy,ITA,2657
11,1840,Italy,23.8,23449.03528598378,20824.15133939819,26219.880986263182,1052,44.20168067226891,874.9643419915207,985.2535834446966,1101.6756716917303,re_italy,ITA,2711
12,1850,Italy,25.0,12778.325722216938,11097.78879746526,14574.78822851144,944,37.76,443.9115518986104,511.13302888867753,582.9915291404576,re_italy,ITA,2611
13,1810,Nordic countries,3.853,8157.352081279029,7528.471725117882,8828.466120912379,282,73.18972229431611,1953.9246626311656,2117.143026545297,2291.3226371431037,re_nordic_countries,SWE,1320
14,1820,Nordic countries,4.156,12916.722744009505,11916.748802512033,13959.21495660998,406,97.69008662175169,2867.3601545986608,3107.9698614074846,3358.8101435538933,re_nordic_countries,SWE,1415
15,1830,Nordic countries,4.459,11026.503244112584,10119.317536764684,11990.467866638988,387,86.79076026014802,2269.414114546913,2472.864598365684,2689.0486357118166,re_nordic_countries,SWE,1468
16,1840,Nordic countries,4.762,16465.24761826261,14930.61415689222,18069.509352109733,604,126.837463250735,3135.366265622054,3457.6328471782044,3794.5210735215737,re_nordic_countries,SWE,1568
17,1850,Nordic countries,5.065,8143.533979617166,7241.561595481852,9087.339420509916,664,131.09575518262585,1429.7258826222808,1607.8053266766367,1794.1440119466763,re_nordic_countries,SWE,1715
18,1810,United Kingdom,12.8,9580.15733323711,9137.76883602855,10023.236188088444,656,51.25,713.8881903147304,748.4497916591491,783.0653271944096,re_united_kingdom,GBR,3478
19,1820,United Kingdom,14.85,13424.680104817047,12800.237116380828,14054.984136793537,951,64.04040404040404,861.9688293859143,904.0188622772423,946.463578235255,re_united_kingdom,GBR,3306
20,1830,United Kingdom,16.9,10982.220404513931,10420.581189824505,11569.327469213897,934,55.26627218934912,616.6024372677222,649.8355268943155,684.5755898943135,re_united_kingdom,GBR,3550
21,1840,United Kingdom,18.95,14199.521191378311,13326.145797928935,15113.580689647531,1505,79.41952506596306,703.226691183585,749.3151024474043,797.5504321713737,re_united_kingdom,GBR,4018
22,1850,United Kingdom,21.0,7104.978192755867,6556.004385285391,7682.530023579018,1462,69.61904761904762,312.19068501359004,338.3322948931365,365.8347630275723,re_united_kingdom,GBR,4332
23,1820,France,31.8,18252.829725275435,17528.458927004987,19000.96931324092,1093,34.37106918238994,551.2094002202826,573.9883561407369,597.5147582780163,re_france,FRA,1809
24,1830,France,33.2,14226.125756982028,13577.581044401148,14894.595729562589,1315,39.60843373493976,408.9632844699141,428.4977637645189,448.632401492849,re_france,FRA,1898
25,1840,France,34.6,17937.363784304565,16944.671459940215,18931.180166558443,2259,65.28901734104046,489.7303890156131,518.4209186215193,547.143935449666,re_france,FRA,2276
26,1850,France,36.0,10471.79197435818,9752.636444188198,11203.123153579718,2141,59.47222222222222,270.9065678941166,290.88311039883837,311.1978653772144,re_france,FRA,2546
