,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
0,1810,Nordic countries,3.853,3196.121202907428,2965.3149750168627,3430.6434707903272,286,74.2278743835972,769.6119841725571,829.514976098476,890.3824216948682,re_nordic_countries,SWE,1320
1,1820,Nordic countries,4.156,4311.456813089495,4005.2432811888857,4621.396987720103,401,96.48700673724736,963.7255248288947,1037.4053929474244,1111.9819508469932,re_nordic_countries,SWE,1415
2,1830,Nordic countries,4.459,4446.875434500713,4131.787732667485,4763.070032671221,397,89.03341556402782,926.6175673172204,997.2808778875786,1068.1924271521018,re_nordic_countries,SWE,1468
3,1840,Nordic countries,4.762,6455.989265437045,5999.48963575965,6913.274656461141,600,125.997480050399,1259.8676261570035,1355.730631129157,1451.758642683986,re_nordic_countries,SWE,1568
4,1850,Nordic countries,5.065,6897.16897980189,6404.390297781298,7386.141238498974,661,130.50345508390916,1264.4403351986766,1361.7312892007678,1458.2707282327688,re_nordic_countries,SWE,1715
5,1860,Nordic countries,5.568,9864.405554609291,9157.69875459158,10576.3930517073,896,160.91954022988506,1644.7016441436028,1771.6245608134504,1899.495878539386,re_nordic_countries,SWE,1941
6,1870,Nordic countries,6.071,9612.318458851916,8916.921478931346,10315.95505549581,879,144.78669082523473,1468.7730981603272,1583.317156786677,1699.2184245586905,re_nordic_countries,SWE,2144
7,1880,Nordic countries,6.574,14409.418737651516,13342.24553379639,15510.34058217217,1338,203.52905384849407,2029.5475408877987,2191.8799418392937,2359.345996679673,re_nordic_countries,SWE,2359
8,1810,United Kingdom,12.8,4259.668978418627,4069.7507133278,4456.187558447137,652,50.9375,317.94927447873437,332.78663893895526,348.13965300368255,re_united_kingdom,GBR,3478
9,1820,United Kingdom,14.85,6349.677636241499,6070.492342616421,6638.011280713237,955,64.3097643097643,408.78736313915294,427.5877196122222,447.00412664735603,re_united_kingdom,GBR,3306
10,1830,United Kingdom,16.9,6326.557929481749,6054.9290879187,6606.436946337,943,55.79881656804734,358.27982768749706,374.3525402060207,390.91342877733734,re_united_kingdom,GBR,3550
11,1840,United Kingdom,18.95,9912.48849259189,9489.654023198094,10343.216707667452,1492,78.7335092348285,500.77329937720816,523.086463989018,545.8161851011848,re_united_kingdom,GBR,4018
12,1850,United Kingdom,21.0,9890.64147238182,9468.749473027556,10323.781759115374,1449,69.0,450.8928320489312,470.98292725627715,491.6086551959702,re_united_kingdom,GBR,4332
