,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
0,1811,Eastern Europe,31.725,12767.236681404758,11646.05059447766,13930.342740770067,580.2,18.215873015873015,365.6124399638284,400.83763510933466,437.3802127646642,re_eastern_europe,POL,690
1,1812,Eastern Europe,31.95,13696.174418927287,12506.357233153467,14930.294192070252,622.4,19.35238095238095,388.82030990220113,425.85625612716996,464.2718131652052,re_eastern_europe,POL,663
2,1813,Eastern Europe,32.175,14625.112156449817,13366.663871829274,15930.24564337044,664.6,20.488888888888887,412.0281798405739,450.87487714500526,491.16341356574617,re_eastern_europe,POL,679
3,1814,Eastern Europe,32.4,15554.049893972346,14226.970510505083,16930.197094670624,706.8,21.625396825396827,435.2360497789466,475.8934981628406,518.0550139662871,re_eastern_europe,POL,720
4,1815,Eastern Europe,32.625,16482.987631494874,15087.27714918089,17930.148545970813,749.0,22.76190476190476,458.4439197173194,500.91211918067586,544.9466143668282,re_eastern_europe,POL,733
5,1816,Eastern Europe,32.85,17411.9253690174,15947.583787856698,18930.099997270998,791.2,23.8984126984127,481.65178965569214,525.9307401985112,571.8382147673691,re_eastern_europe,POL,736
6,1817,Eastern Europe,33.075,18340.86310653993,16807.890426532507,19930.051448571183,833.4000000000001,25.034920634920635,504.85965959406485,550.9493612163465,598.7298151679101,re_eastern_europe,POL,746
7,1818,Eastern Europe,33.3,19269.80084406246,17668.197065208315,20930.002899871368,875.6,26.17142857142857,528.0675295324377,575.9679822341818,625.6214155684511,re_eastern_europe,POL,762
8,1819,Eastern Europe,33.525,20198.738581584992,18528.503703884122,21929.954351171556,917.8,27.307936507936507,551.2753994708104,600.9866032520172,652.513015968992,re_eastern_europe,POL,792
9,1820,Eastern Europe,33.75,21127.67631910752,19388.81034255993,22929.90580247174,960.0,28.444444444444443,574.4832694091831,626.0052242698524,679.4046163695331,re_eastern_europe,POL,818
10,1821,Eastern Europe,33.975,21049.067732984753,19331.074732696943,22829.310722967886,959.9,28.263888888888886,569.2889820347372,619.9091197814223,672.3640297532276,re_eastern_europe,POL,834
