,region_name,decade,score
0,Arabian peninsula,200,1
1,Arabian peninsula,300,1
2,Arabian peninsula,440,1
3,Arabian peninsula,450,1
4,Arabian peninsula,500,3
5,Arabian peninsula,510,1
6,Arabian peninsula,520,2
7,Arabian peninsula,530,1
8,Arabian peninsula,540,4
9,Arabian peninsula,550,3
10,Arabian peninsula,560,1
11,Arabian peninsula,570,3
12,Arabian peninsula,580,3
13,Arabian peninsula,590,1
14,Arabian peninsula,600,11
15,Arabian peninsula,610,3
16,Arabian peninsula,620,2
17,Arabian peninsula,630,3
18,Arabian peninsula,640,6
19,Arabian peninsula,650,4
20,Arabian peninsula,660,4
21,Arabian peninsula,670,1
22,Arabian peninsula,680,2
23,Arabian peninsula,690,3
24,Arabian peninsula,700,11
25,Arabian peninsula,710,1
26,Arabian peninsula,720,1
27,Arabian peninsula,730,2
28,Arabian peninsula,740,1
29,Arabian peninsula,750,2
30,Arabian peninsula,790,2
31,Arabian peninsula,800,2
32,Arabian peninsula,810,1
33,Arabian peninsula,830,2
34,Arabian peninsula,840,1
35,Arabian peninsula,850,1
36,Arabian peninsula,860,1
37,Arabian peninsula,890,2
38,Arabian peninsula,900,1
39,Arabian peninsula,1110,1
40,Arabian peninsula,1120,1
41,Arabian peninsula,1130,2
42,Arabian peninsula,1180,1
43,Arabian peninsula,1190,1
44,Arabian peninsula,1220,1
45,Arabian peninsula,1230,1
46,Arabian peninsula,1240,2
47,Arabian peninsula,1270,1
48,Arabian peninsula,1280,1
49,Arabian peninsula,1300,1
50,Arabian peninsula,1370,3
51,Arabian peninsula,1400,1
52,Arabian peninsula,1430,2
53,Arabian peninsula,1450,2
54,Arabian peninsula,1460,2
55,Arabian peninsula,1480,2
56,Arabian peninsula,1490,1
57,Arabian peninsula,1500,1
58,Arabian peninsula,1520,1
59,Arabian peninsula,1550,1
60,Arabian peninsula,1570,3
61,Arabian peninsula,1600,1
62,Arabian peninsula,1610,1
63,Arabian peninsula,1620,1
64,Arabian peninsula,1630,1
65,Arabian peninsula,1640,3
66,Arabian peninsula,1650,1
67,Arabian peninsula,1660,1
68,Arabian peninsula,1680,1
69,Arabian peninsula,1690,2
70,Arabian peninsula,1700,1
71,Arabian peninsula,1730,3
72,Arabian peninsula,1740,3
73,Arabian peninsula,1750,3
74,Arabian peninsula,1760,4
75,Arabian peninsula,1770,2
76,Arabian peninsula,1780,3
77,Arabian peninsula,1790,2
78,Arabian peninsula,1800,6
79,Arabian peninsula,1810,1
80,Arabian peninsula,1820,1
81,Arabian peninsula,1830,5
82,Arabian peninsula,1840,2
83,Arabian peninsula,1850,5
84,Arabic world,-550,2
85,Arabic world,-460,1
86,Arabic world,-430,1
87,Arabic world,-400,6
88,Arabic world,-350,2
89,Arabic world,-320,1
90,Arabic world,-300,9
91,Arabic world,-290,1
92,Arabic world,-280,2
93,Arabic world,-250,2
94,Arabic world,-210,1
95,Arabic world,-200,4
96,Arabic world,-190,1
97,Arabic world,-180,1
98,Arabic world,-170,1
99,Arabic world,-150,5
100,Arabic world,-130,2
101,Arabic world,-120,1
102,Arabic world,-110,1
103,Arabic world,-100,6
104,Arabic world,-80,1
105,Arabic world,-70,1
106,Arabic world,-60,2
107,Arabic world,-50,5
108,Arabic world,-10,1
109,Arabic world,0,1
110,Arabic world,10,3
111,Arabic world,20,2
112,Arabic world,40,3
113,Arabic world,50,4
114,Arabic world,60,1
115,Arabic world,70,1
116,Arabic world,100,14
117,Arabic world,110,1
118,Arabic world,120,2
119,Arabic world,150,1
120,Arabic world,160,3
121,Arabic world,170,1
122,Arabic world,180,3
123,Arabic world,200,15
124,Arabic world,210,2
125,Arabic world,220,1
126,Arabic world,230,1
127,Arabic world,240,1
128,Arabic world,250,4
129,Arabic world,260,1
130,Arabic world,280,1
131,Arabic world,290,1
132,Arabic world,300,7
133,Arabic world,310,3
134,Arabic world,350,4
135,Arabic world,360,2
136,Arabic world,370,2
137,Arabic world,380,1
138,Arabic world,400,8
139,Arabic world,410,1
140,Arabic world,440,5
141,Arabic world,450,6
142,Arabic world,500,3
143,Arabic world,510,1
144,Arabic world,520,2
145,Arabic world,530,1
146,Arabic world,540,4
147,Arabic world,550,3
148,Arabic world,560,1
149,Arabic world,570,3
150,Arabic world,580,3
151,Arabic world,590,1
152,Arabic world,600,13
153,Arabic world,610,3
154,Arabic world,620,2
155,Arabic world,630,4
156,Arabic world,640,9
157,Arabic world,650,7
158,Arabic world,660,7
159,Arabic world,670,1
160,Arabic world,680,5
161,Arabic world,690,3
162,Arabic world,700,19
163,Arabic world,710,7
164,Arabic world,720,3
165,Arabic world,730,7
166,Arabic world,740,9
167,Arabic world,750,13
168,Arabic world,760,5
169,Arabic world,770,5
170,Arabic world,780,15
171,Arabic world,790,6
172,Arabic world,800,16
173,Arabic world,810,7
174,Arabic world,820,10
175,Arabic world,830,7
176,Arabic world,840,10
177,Arabic world,850,5
178,Arabic world,860,8
179,Arabic world,870,3
180,Arabic world,880,6
181,Arabic world,890,9
182,Arabic world,900,11
183,Arabic world,910,8
184,Arabic world,920,6
185,Arabic world,930,5
186,Arabic world,940,11
187,Arabic world,950,15
188,Arabic world,960,3
189,Arabic world,970,6
190,Arabic world,980,10
191,Arabic world,990,9
192,Arabic world,1000,20
193,Arabic world,1010,3
194,Arabic world,1020,6
195,Arabic world,1030,8
196,Arabic world,1040,4
197,Arabic world,1050,7
198,Arabic world,1060,8
199,Arabic world,1070,13
200,Arabic world,1080,9
201,Arabic world,1090,6
202,Arabic world,1100,21
203,Arabic world,1110,9
204,Arabic world,1120,14
205,Arabic world,1130,10
206,Arabic world,1140,19
207,Arabic world,1150,13
208,Arabic world,1160,20
209,Arabic world,1170,7
210,Arabic world,1180,16
211,Arabic world,1190,18
212,Arabic world,1200,27
213,Arabic world,1210,17
214,Arabic world,1220,17
215,Arabic world,1230,12
216,Arabic world,1240,11
217,Arabic world,1250,13
218,Arabic world,1260,10
219,Arabic world,1270,9
220,Arabic world,1280,8
221,Arabic world,1290,11
222,Arabic world,1300,18
223,Arabic world,1310,4
224,Arabic world,1320,6
225,Arabic world,1330,8
226,Arabic world,1340,4
227,Arabic world,1350,4
228,Arabic world,1360,5
229,Arabic world,1370,9
230,Arabic world,1380,4
231,Arabic world,1390,11
232,Arabic world,1400,9
233,Arabic world,1410,5
234,Arabic world,1420,2
235,Arabic world,1430,5
236,Arabic world,1440,10
237,Arabic world,1450,8
238,Arabic world,1460,5
239,Arabic world,1470,1
240,Arabic world,1480,4
241,Arabic world,1490,4
242,Arabic world,1500,3
243,Arabic world,1510,5
244,Arabic world,1520,3
245,Arabic world,1530,5
246,Arabic world,1540,2
247,Arabic world,1550,5
248,Arabic world,1560,4
249,Arabic world,1570,8
250,Arabic world,1580,7
251,Arabic world,1590,4
252,Arabic world,1600,8
253,Arabic world,1610,1
254,Arabic world,1620,7
255,Arabic world,1630,7
256,Arabic world,1640,7
257,Arabic world,1650,4
258,Arabic world,1660,5
259,Arabic world,1670,2
260,Arabic world,1680,4
261,Arabic world,1690,9
262,Arabic world,1700,8
263,Arabic world,1710,6
264,Arabic world,1720,4
265,Arabic world,1730,7
266,Arabic world,1740,14
267,Arabic world,1750,11
268,Arabic world,1760,13
269,Arabic world,1770,6
270,Arabic world,1780,12
271,Arabic world,1790,8
272,Arabic world,1800,29
273,Arabic world,1810,12
274,Arabic world,1820,31
275,Arabic world,1830,44
276,Arabic world,1840,57
277,Arabic world,1850,50
278,Austria,1060,1
279,Austria,1110,1
280,Austria,1120,1
281,Austria,1170,1
282,Austria,1200,3
283,Austria,1230,1
284,Austria,1250,1
285,Austria,1300,3
286,Austria,1340,2
287,Austria,1350,1
288,Austria,1360,1
289,Austria,1380,2
290,Austria,1390,1
291,Austria,1400,4
292,Austria,1420,5
293,Austria,1430,2
294,Austria,1440,4
295,Austria,1450,9
296,Austria,1460,7
297,Austria,1470,1
298,Austria,1480,5
299,Austria,1490,7
300,Austria,1500,11
301,Austria,1510,6
302,Austria,1520,5
303,Austria,1530,5
304,Austria,1540,9
305,Austria,1550,4
306,Austria,1560,6
307,Austria,1570,6
308,Austria,1580,12
309,Austria,1590,14
310,Austria,1600,22
311,Austria,1610,10
312,Austria,1620,11
313,Austria,1630,24
314,Austria,1640,22
315,Austria,1650,37
316,Austria,1660,54
317,Austria,1670,31
318,Austria,1680,56
319,Austria,1690,43
320,Austria,1700,74
321,Austria,1710,61
322,Austria,1720,112
323,Austria,1730,98
324,Austria,1740,137
325,Austria,1750,113
326,Austria,1760,179
327,Austria,1770,150
328,Austria,1780,213
329,Austria,1790,207
330,Austria,1800,379
331,Austria,1810,354
332,Austria,1820,502
333,Austria,1830,411
334,Austria,1840,677
335,Austria,1850,412
336,Balkans,-850,1
337,Balkans,-800,4
338,Balkans,-710,1
339,Balkans,-700,10
340,Balkans,-680,1
341,Balkans,-650,5
342,Balkans,-640,1
343,Balkans,-630,1
344,Balkans,-620,1
345,Balkans,-600,59
346,Balkans,-580,3
347,Balkans,-570,1
348,Balkans,-560,1
349,Balkans,-550,21
350,Balkans,-530,3
351,Balkans,-520,4
352,Balkans,-500,79
353,Balkans,-490,5
354,Balkans,-480,3
355,Balkans,-470,8
356,Balkans,-460,6
357,Balkans,-450,35
358,Balkans,-440,8
359,Balkans,-430,7
360,Balkans,-420,5
361,Balkans,-410,1
362,Balkans,-400,62
363,Balkans,-390,6
364,Balkans,-380,3
365,Balkans,-370,4
366,Balkans,-360,6
367,Balkans,-350,19
368,Balkans,-340,5
369,Balkans,-320,7
370,Balkans,-310,3
371,Balkans,-300,26
372,Balkans,-290,1
373,Balkans,-280,2
374,Balkans,-270,4
375,Balkans,-250,10
376,Balkans,-240,1
377,Balkans,-220,1
378,Balkans,-200,9
379,Balkans,-180,3
380,Balkans,-160,2
381,Balkans,-150,6
382,Balkans,-140,1
383,Balkans,-130,1
384,Balkans,-110,1
385,Balkans,-100,17
386,Balkans,-80,2
387,Balkans,-70,2
388,Balkans,-60,1
389,Balkans,-50,5
390,Balkans,-20,1
391,Balkans,0,4
392,Balkans,40,1
393,Balkans,50,4
394,Balkans,70,1
395,Balkans,100,5
396,Balkans,130,1
397,Balkans,150,2
398,Balkans,170,1
399,Balkans,200,3
400,Balkans,210,1
401,Balkans,250,1
402,Balkans,300,1
403,Balkans,350,1
404,Balkans,380,1
405,Balkans,400,3
406,Balkans,430,1
407,Balkans,500,5
408,Balkans,540,1
409,Balkans,620,1
410,Balkans,790,1
411,Balkans,820,1
412,Balkans,830,1
413,Balkans,860,1
414,Balkans,900,3
415,Balkans,930,1
416,Balkans,1050,1
417,Balkans,1060,1
418,Balkans,1120,1
419,Balkans,1170,1
420,Balkans,1200,2
421,Balkans,1250,1
422,Balkans,1270,1
423,Balkans,1280,4
424,Balkans,1300,2
425,Balkans,1320,2
426,Balkans,1330,4
427,Balkans,1340,1
428,Balkans,1350,5
429,Balkans,1380,1
430,Balkans,1400,12
431,Balkans,1410,2
432,Balkans,1420,8
433,Balkans,1430,4
434,Balkans,1440,7
435,Balkans,1450,9
436,Balkans,1460,9
437,Balkans,1470,7
438,Balkans,1480,11
439,Balkans,1490,8
440,Balkans,1500,22
441,Balkans,1510,9
442,Balkans,1520,9
443,Balkans,1530,7
444,Balkans,1540,11
445,Balkans,1550,13
446,Balkans,1560,12
447,Balkans,1570,7
448,Balkans,1580,9
449,Balkans,1590,10
450,Balkans,1600,15
451,Balkans,1610,8
452,Balkans,1620,11
453,Balkans,1630,6
454,Balkans,1640,11
455,Balkans,1650,5
456,Balkans,1660,11
457,Balkans,1670,8
458,Balkans,1680,17
459,Balkans,1690,6
460,Balkans,1700,16
461,Balkans,1710,13
462,Balkans,1720,18
463,Balkans,1730,20
464,Balkans,1740,23
465,Balkans,1750,20
466,Balkans,1760,33
467,Balkans,1770,35
468,Balkans,1780,47
469,Balkans,1790,47
470,Balkans,1800,55
471,Balkans,1810,77
472,Balkans,1820,137
473,Balkans,1830,130
474,Balkans,1840,199
475,Balkans,1850,113
476,Belgium,-100,1
477,Belgium,50,1
478,Belgium,400,4
479,Belgium,450,1
480,Belgium,980,1
481,Belgium,1000,1
482,Belgium,1030,1
483,Belgium,1080,1
484,Belgium,1100,3
485,Belgium,1120,1
486,Belgium,1130,1
487,Belgium,1150,1
488,Belgium,1180,1
489,Belgium,1190,1
490,Belgium,1200,3
491,Belgium,1220,3
492,Belgium,1250,4
493,Belgium,1260,1
494,Belgium,1270,2
495,Belgium,1280,2
496,Belgium,1290,1
497,Belgium,1300,4
498,Belgium,1330,3
499,Belgium,1340,3
500,Belgium,1350,4
501,Belgium,1360,2
502,Belgium,1370,3
503,Belgium,1380,1
504,Belgium,1390,6
505,Belgium,1400,11
506,Belgium,1410,3
507,Belgium,1420,7
508,Belgium,1430,6
509,Belgium,1440,8
510,Belgium,1450,24
511,Belgium,1460,21
