,region_name,decade,score
0,Arabian peninsula,440,1
1,Arabian peninsula,450,1
2,Arabian peninsula,500,2
3,Arabian peninsula,520,2
4,Arabian peninsula,530,1
5,Arabian peninsula,540,4
6,Arabian peninsula,550,3
7,Arabian peninsula,560,1
8,Arabian peninsula,570,3
9,Arabian peninsula,580,2
10,Arabian peninsula,590,1
11,Arabian peninsula,600,8
12,Arabian peninsula,610,2
13,Arabian peninsula,620,2
14,Arabian peninsula,630,2
15,Arabian peninsula,640,5
16,Arabian peninsula,650,3
17,Arabian peninsula,660,4
18,Arabian peninsula,670,1
19,Arabian peninsula,680,2
20,Arabian peninsula,690,3
21,Arabian peninsula,700,8
22,Arabian peninsula,710,1
23,Arabian peninsula,720,1
24,Arabian peninsula,730,1
25,Arabian peninsula,740,1
26,Arabian peninsula,750,1
27,Arabian peninsula,790,2
28,Arabian peninsula,800,2
29,Arabian peninsula,810,1
30,Arabian peninsula,830,1
31,Arabian peninsula,840,1
32,Arabian peninsula,850,1
33,Arabian peninsula,860,1
34,Arabian peninsula,890,2
35,Arabian peninsula,1120,1
36,Arabian peninsula,1180,1
37,Arabian peninsula,1190,1
38,Arabian peninsula,1220,1
39,Arabian peninsula,1230,1
40,Arabian peninsula,1240,2
41,Arabian peninsula,1270,1
42,Arabian peninsula,1300,1
43,Arabian peninsula,1370,3
44,Arabian peninsula,1400,1
45,Arabian peninsula,1430,2
46,Arabian peninsula,1450,1
47,Arabian peninsula,1460,2
48,Arabian peninsula,1480,2
49,Arabian peninsula,1490,1
50,Arabian peninsula,1500,1
51,Arabian peninsula,1570,3
52,Arabian peninsula,1600,1
53,Arabian peninsula,1610,1
54,Arabian peninsula,1630,1
55,Arabian peninsula,1640,3
56,Arabian peninsula,1690,2
57,Arabian peninsula,1700,1
58,Arabian peninsula,1740,2
59,Arabian peninsula,1750,2
60,Arabian peninsula,1760,1
61,Arabian peninsula,1770,2
62,Arabian peninsula,1780,2
63,Arabian peninsula,1790,1
64,Arabian peninsula,1810,1
65,Arabian peninsula,1820,1
66,Arabian peninsula,1830,1
67,Arabian peninsula,1850,1
68,Arabic world,-550,1
69,Arabic world,-460,1
