,region_name,decade,cultural_score,log_cultural_score
0,Arabian peninsula,440,50,3.9318256327243257
1,Arabian peninsula,500,57,4.060443010546419
2,Arabian peninsula,520,161,5.087596335232384
3,Arabian peninsula,530,2,1.0986122886681098
4,Arabian peninsula,540,134,4.90527477843843
5,Arabian peninsula,550,302,5.713732805509369
6,Arabian peninsula,570,75,4.330733340286331
7,Arabian peninsula,580,86,4.465908118654584
8,Arabian peninsula,600,267,5.5909869805108565
9,Arabian peninsula,640,525,6.26530121273771
10,Arabian peninsula,650,281,5.641907070938114
11,Arabian peninsula,660,225,5.420534999272286
12,Arabian peninsula,680,1,0.6931471805599453
13,Arabian peninsula,700,50,3.9318256327243257
14,Arabian peninsula,710,1,0.6931471805599453
15,Arabian peninsula,720,81,4.406719247264253
16,Arabian peninsula,800,2,1.0986122886681098
17,Arabian peninsula,830,1,0.6931471805599453
18,Arabian peninsula,840,1,0.6931471805599453
19,Arabian peninsula,850,1,0.6931471805599453
20,Arabian peninsula,1190,444,6.09807428216624
21,Arabian peninsula,1220,1,0.6931471805599453
22,Arabian peninsula,1230,3,1.3862943611198906
23,Arabian peninsula,1270,1,0.6931471805599453
24,Arabian peninsula,1370,92,4.532599493153256
25,Arabian peninsula,1630,2,1.0986122886681098
26,Arabian peninsula,1740,1,0.6931471805599453
27,Arabian peninsula,1750,4,1.6094379124341003
28,Arabian peninsula,1760,12,2.5649493574615367
29,Arabian peninsula,1800,1,0.6931471805599453
30,Arabian peninsula,1820,2,1.0986122886681098
31,Arabic world,-550,1,0.6931471805599453
32,Arabic world,-400,2,1.0986122886681098
33,Arabic world,-300,20,3.044522437723423
34,Arabic world,-290,4,1.6094379124341003
35,Arabic world,-280,2,1.0986122886681098
36,Arabic world,-250,1,0.6931471805599453
37,Arabic world,-200,1,0.6931471805599453
38,Arabic world,-180,18,2.9444389791664403
39,Arabic world,-170,2,1.0986122886681098
40,Arabic world,-150,1,0.6931471805599453
41,Arabic world,-100,2,1.0986122886681098
42,Arabic world,-60,4,1.6094379124341003
43,Arabic world,-10,10,2.3978952727983707
44,Arabic world,10,4,1.6094379124341003
45,Arabic world,20,2,1.0986122886681098
46,Arabic world,40,11,2.4849066497880004
47,Arabic world,50,6,1.9459101490553132
48,Arabic world,60,1,0.6931471805599453
49,Arabic world,70,1,0.6931471805599453
50,Arabic world,100,69,4.248495242049359
51,Arabic world,120,15,2.772588722239781
52,Arabic world,160,39,3.6888794541139363
53,Arabic world,170,2,1.0986122886681098
54,Arabic world,180,7,2.0794415416798357
55,Arabic world,200,27,3.332204510175204
56,Arabic world,210,1,0.6931471805599453
57,Arabic world,220,7,2.0794415416798357
58,Arabic world,230,8,2.1972245773362196
59,Arabic world,240,2,1.0986122886681098
60,Arabic world,250,3,1.3862943611198906
61,Arabic world,260,2,1.0986122886681098
62,Arabic world,280,10,2.3978952727983707
63,Arabic world,300,17,2.8903717578961645
64,Arabic world,310,4,1.6094379124341003
65,Arabic world,350,90,4.51085950651685
66,Arabic world,360,8,2.1972245773362196
67,Arabic world,370,21,3.091042453358316
68,Arabic world,440,51,3.9512437185814275
69,Arabic world,500,57,4.060443010546419
70,Arabic world,520,161,5.087596335232384
71,Arabic world,530,2,1.0986122886681098
72,Arabic world,540,134,4.90527477843843
73,Arabic world,550,302,5.713732805509369
74,Arabic world,570,75,4.330733340286331
75,Arabic world,580,86,4.465908118654584
76,Arabic world,600,404,6.003887067106539
77,Arabic world,640,1281,7.156176637480615
78,Arabic world,650,281,5.641907070938114
79,Arabic world,660,414,6.028278520230698
80,Arabic world,680,9,2.302585092994046
81,Arabic world,700,54,4.007333185232471
82,Arabic world,710,629,6.4457198193855785
83,Arabic world,720,84,4.442651256490317
84,Arabic world,730,26,3.295836866004329
85,Arabic world,740,4,1.6094379124341003
86,Arabic world,750,517,6.249975242259483
87,Arabic world,760,280,5.638354669333745
88,Arabic world,780,315,5.755742213586912
89,Arabic world,790,94,4.553876891600541
90,Arabic world,800,197,5.288267030694535
91,Arabic world,810,477,6.169610732491456
92,Arabic world,820,982,6.890609120147166
93,Arabic world,830,13,2.6390573296152584
94,Arabic world,840,2222,7.706612913964197
95,Arabic world,850,1,0.6931471805599453
96,Arabic world,860,1082,6.9874902470009905
97,Arabic world,870,5,1.791759469228055
98,Arabic world,880,10,2.3978952727983707
99,Arabic world,890,2,1.0986122886681098
100,Arabic world,900,6,1.9459101490553132
101,Arabic world,910,2,1.0986122886681098
102,Arabic world,920,304,5.720311776607412
103,Arabic world,930,282,5.645446897643238
104,Arabic world,940,45,3.828641396489095
105,Arabic world,950,14,2.70805020110221
106,Arabic world,960,5,1.791759469228055
107,Arabic world,970,1254,7.134890851565884
108,Arabic world,980,30,3.4339872044851463
109,Arabic world,990,19,2.995732273553991
110,Arabic world,1000,284,5.652489180268651
111,Arabic world,1010,5,1.791759469228055
112,Arabic world,1020,19,2.995732273553991
113,Arabic world,1030,71,4.276666119016055
114,Arabic world,1050,3,1.3862943611198906
115,Arabic world,1060,112,4.727387818712341
116,Arabic world,1070,229,5.438079308923196
117,Arabic world,1080,21,3.091042453358316
118,Arabic world,1090,11,2.4849066497880004
119,Arabic world,1100,623,6.436150368369428
120,Arabic world,1110,8,2.1972245773362196
121,Arabic world,1120,274,5.616771097666572
122,Arabic world,1130,17,2.8903717578961645
123,Arabic world,1140,106,4.672828834461906
124,Arabic world,1150,13,2.6390573296152584
125,Arabic world,1160,885,6.786716950605081
126,Arabic world,1170,7,2.0794415416798357
127,Arabic world,1180,92,4.532599493153256
128,Arabic world,1190,468,6.150602768446279
129,Arabic world,1200,10,2.3978952727983707
130,Arabic world,1210,303,5.717027701406222
131,Arabic world,1220,3,1.3862943611198906
132,Arabic world,1230,29,3.4011973816621555
133,Arabic world,1240,5,1.791759469228055
134,Arabic world,1250,8,2.1972245773362196
135,Arabic world,1260,522,6.259581464064923
136,Arabic world,1270,47,3.871201010907891
137,Arabic world,1280,816,6.705639094860003
138,Arabic world,1290,1599,7.3777589082278725
139,Arabic world,1300,32,3.4965075614664802
140,Arabic world,1310,366,5.905361848054571
141,Arabic world,1320,3,1.3862943611198906
142,Arabic world,1330,144,4.976733742420574
143,Arabic world,1340,4,1.6094379124341003
144,Arabic world,1350,9,2.302585092994046
145,Arabic world,1360,6,1.9459101490553132
146,Arabic world,1370,127,4.852030263919617
147,Arabic world,1380,9,2.302585092994046
148,Arabic world,1390,13,2.6390573296152584
149,Arabic world,1400,2,1.0986122886681098
150,Arabic world,1410,9,2.302585092994046
151,Arabic world,1430,13,2.6390573296152584
152,Arabic world,1440,71,4.276666119016055
153,Arabic world,1450,8,2.1972245773362196
154,Arabic world,1460,2,1.0986122886681098
155,Arabic world,1470,1,0.6931471805599453
156,Arabic world,1490,3,1.3862943611198906
157,Arabic world,1500,1,0.6931471805599453
158,Arabic world,1530,1,0.6931471805599453
159,Arabic world,1550,6,1.9459101490553132
160,Arabic world,1560,6,1.9459101490553132
161,Arabic world,1570,4,1.6094379124341003
162,Arabic world,1580,7,2.0794415416798357
163,Arabic world,1620,3,1.3862943611198906
164,Arabic world,1630,3,1.3862943611198906
165,Arabic world,1640,1112,7.014814351275545
166,Arabic world,1650,1,0.6931471805599453
167,Arabic world,1670,1,0.6931471805599453
168,Arabic world,1690,2,1.0986122886681098
169,Arabic world,1700,1,0.6931471805599453
170,Arabic world,1720,28,3.367295829986474
171,Arabic world,1730,2,1.0986122886681098
172,Arabic world,1740,1,0.6931471805599453
173,Arabic world,1750,6,1.9459101490553132
174,Arabic world,1760,49,3.912023005428146
175,Arabic world,1770,123,4.820281565605037
176,Arabic world,1780,4,1.6094379124341003
177,Arabic world,1800,8,2.1972245773362196
178,Arabic world,1810,379,5.940171252720432
179,Arabic world,1820,7,2.0794415416798357
180,Arabic world,1830,7,2.0794415416798357
181,Arabic world,1840,559,6.327936783729195
182,Arabic world,1850,454,6.12029741895095
183,Austria,1110,1,0.6931471805599453
184,Austria,1170,7,2.0794415416798357
185,Austria,1200,7,2.0794415416798357
186,Austria,1300,5,1.791759469228055
187,Austria,1400,17,2.8903717578961645
188,Austria,1420,15,2.772588722239781
189,Austria,1430,1,0.6931471805599453
190,Austria,1440,14,2.70805020110221
191,Austria,1450,10,2.3978952727983707
192,Austria,1460,2,1.0986122886681098
193,Austria,1470,2,1.0986122886681098
194,Austria,1480,31,3.4657359027997265
195,Austria,1490,5,1.791759469228055
196,Austria,1500,28,3.367295829986474
197,Austria,1510,9,2.302585092994046
198,Austria,1550,3,1.3862943611198906
199,Austria,1580,2,1.0986122886681098
200,Austria,1590,4190,8.340694647925071
201,Austria,1600,18,2.9444389791664403
202,Austria,1610,4,1.6094379124341003
203,Austria,1620,1,0.6931471805599453
204,Austria,1630,20,3.044522437723423
205,Austria,1640,2,1.0986122886681098
206,Austria,1650,24,3.2188758248682006
207,Austria,1660,20,3.044522437723423
208,Austria,1670,9,2.302585092994046
209,Austria,1680,72,4.290459441148391
210,Austria,1690,57,4.060443010546419
211,Austria,1700,63,4.1588830833596715
212,Austria,1710,28,3.367295829986474
213,Austria,1720,160,5.081404364984463
214,Austria,1730,302,5.713732805509369
215,Austria,1740,96,4.574710978503383
216,Austria,1750,33,3.5263605246161616
217,Austria,1760,228,5.43372200355424
218,Austria,1770,113,4.736198448394496
219,Austria,1780,111,4.718498871295094
220,Austria,1790,465,6.144185634125646
221,Austria,1800,728,6.591673732008658
222,Austria,1810,620,6.431331081933479
223,Austria,1820,838,6.732210706467206
224,Austria,1830,520,6.255750041753367
225,Austria,1840,1053,6.960347729101308
226,Austria,1850,375,5.929589143389895
227,Balkans,-800,9,2.302585092994046
228,Balkans,-700,8,2.1972245773362196
229,Balkans,-680,4,1.6094379124341003
230,Balkans,-650,31,3.4657359027997265
231,Balkans,-640,16,2.833213344056216
232,Balkans,-630,6,1.9459101490553132
233,Balkans,-620,1929,7.5652752818989315
234,Balkans,-600,56,4.04305126783455
235,Balkans,-580,8,2.1972245773362196
236,Balkans,-570,2,1.0986122886681098
237,Balkans,-560,1,0.6931471805599453
238,Balkans,-550,22,3.1354942159291497
239,Balkans,-530,5,1.791759469228055
240,Balkans,-520,97,4.584967478670572
241,Balkans,-500,211,5.356586274672012
242,Balkans,-490,20,3.044522437723423
243,Balkans,-480,228,5.43372200355424
244,Balkans,-470,6,1.9459101490553132
245,Balkans,-460,56,4.04305126783455
246,Balkans,-450,21,3.091042453358316
247,Balkans,-440,73,4.30406509320417
248,Balkans,-430,312,5.746203190540153
249,Balkans,-420,12,2.5649493574615367
250,Balkans,-410,3,1.3862943611198906
251,Balkans,-400,39,3.6888794541139363
252,Balkans,-390,30,3.4339872044851463
253,Balkans,-380,159,5.075173815233827
254,Balkans,-370,21,3.091042453358316
255,Balkans,-360,3,1.3862943611198906
256,Balkans,-350,1,0.6931471805599453
257,Balkans,-340,78,4.3694478524670215
258,Balkans,-320,29,3.4011973816621555
259,Balkans,-310,1,0.6931471805599453
260,Balkans,-300,3,1.3862943611198906
261,Balkans,-290,1,0.6931471805599453
262,Balkans,-250,3,1.3862943611198906
263,Balkans,-220,1,0.6931471805599453
264,Balkans,-200,11,2.4849066497880004
265,Balkans,-180,1,0.6931471805599453
266,Balkans,-100,4,1.6094379124341003
267,Balkans,-80,1,0.6931471805599453
268,Balkans,-60,3,1.3862943611198906
269,Balkans,-50,3,1.3862943611198906
270,Balkans,-20,21,3.091042453358316
271,Balkans,40,205,5.327876168789581
272,Balkans,130,2,1.0986122886681098
273,Balkans,150,6,1.9459101490553132
274,Balkans,170,8,2.1972245773362196
275,Balkans,200,3,1.3862943611198906
276,Balkans,250,2,1.0986122886681098
277,Balkans,380,2,1.0986122886681098
278,Balkans,400,1,0.6931471805599453
279,Balkans,540,2,1.0986122886681098
280,Balkans,620,1,0.6931471805599453
281,Balkans,830,2,1.0986122886681098
282,Balkans,900,3,1.3862943611198906
283,Balkans,1050,3,1.3862943611198906
284,Balkans,1170,1,0.6931471805599453
285,Balkans,1270,3,1.3862943611198906
286,Balkans,1300,2,1.0986122886681098
287,Balkans,1330,2,1.0986122886681098
288,Balkans,1400,5,1.791759469228055
289,Balkans,1420,13,2.6390573296152584
290,Balkans,1430,19,2.995732273553991
291,Balkans,1440,25,3.258096538021482
292,Balkans,1450,5,1.791759469228055
293,Balkans,1470,1,0.6931471805599453
294,Balkans,1480,3,1.3862943611198906
295,Balkans,1500,8,2.1972245773362196
296,Balkans,1510,54,4.007333185232471
297,Balkans,1520,8,2.1972245773362196
298,Balkans,1530,34,3.5553480614894135
299,Balkans,1540,652,6.481577129276431
300,Balkans,1550,14,2.70805020110221
301,Balkans,1560,7,2.0794415416798357
302,Balkans,1570,1,0.6931471805599453
303,Balkans,1580,2,1.0986122886681098
304,Balkans,1590,6,1.9459101490553132
305,Balkans,1600,21,3.091042453358316
306,Balkans,1610,36,3.6109179126442243
307,Balkans,1620,29,3.4011973816621555
308,Balkans,1630,13,2.6390573296152584
309,Balkans,1640,2,1.0986122886681098
310,Balkans,1650,1,0.6931471805599453
311,Balkans,1660,5,1.791759469228055
312,Balkans,1680,11,2.4849066497880004
313,Balkans,1700,3,1.3862943611198906
314,Balkans,1710,3,1.3862943611198906
315,Balkans,1720,1,0.6931471805599453
316,Balkans,1730,5,1.791759469228055
317,Balkans,1740,5,1.791759469228055
318,Balkans,1750,3,1.3862943611198906
319,Balkans,1760,11,2.4849066497880004
320,Balkans,1770,1,0.6931471805599453
321,Balkans,1780,33,3.5263605246161616
322,Balkans,1790,52,3.970291913552122
323,Balkans,1800,17,2.8903717578961645
324,Balkans,1810,21,3.091042453358316
325,Balkans,1820,113,4.736198448394496
326,Balkans,1830,183,5.214935757608986
327,Balkans,1840,223,5.4116460518550396
328,Balkans,1850,145,4.983606621708336
329,Belgium,-100,1,0.6931471805599453
330,Belgium,400,11,2.4849066497880004
331,Belgium,450,2,1.0986122886681098
332,Belgium,1080,1,0.6931471805599453
333,Belgium,1100,1,0.6931471805599453
334,Belgium,1180,13,2.6390573296152584
335,Belgium,1270,1,0.6931471805599453
336,Belgium,1280,2,1.0986122886681098
337,Belgium,1290,1,0.6931471805599453
338,Belgium,1300,2,1.0986122886681098
339,Belgium,1330,4,1.6094379124341003
340,Belgium,1350,3,1.3862943611198906
341,Belgium,1360,2,1.0986122886681098
342,Belgium,1370,12,2.5649493574615367
343,Belgium,1390,147,4.997212273764115
344,Belgium,1400,9,2.302585092994046
345,Belgium,1410,50,3.9318256327243257
346,Belgium,1420,41,3.7376696182833684
347,Belgium,1430,27,3.332204510175204
348,Belgium,1440,61,4.127134385045092
349,Belgium,1450,152,5.030437921392435
350,Belgium,1460,156,5.056245805348308
351,Belgium,1470,149,5.0106352940962555
352,Belgium,1480,144,4.976733742420574
353,Belgium,1490,173,5.159055299214529
354,Belgium,1500,435,6.077642243349034
355,Belgium,1510,222,5.407171771460119
356,Belgium,1520,523,6.261491684321042
357,Belgium,1530,740,6.608000625296087
358,Belgium,1540,1109,7.01211529430638
359,Belgium,1550,683,6.52795791762255
360,Belgium,1560,1190,7.0825485693553
361,Belgium,1570,1337,7.198931240688173
362,Belgium,1580,1866,7.532088143541722
363,Belgium,1590,1592,7.373374309910049
364,Belgium,1600,3786,8.239329427901795
365,Belgium,1610,2272,7.728855823852543
366,Belgium,1620,991,6.899723107284872
367,Belgium,1630,819,6.709304340258298
368,Belgium,1640,826,6.717804695023691
369,Belgium,1650,319,5.768320995793772
370,Belgium,1660,796,6.680854678790215
371,Belgium,1670,107,4.68213122712422
372,Belgium,1680,486,6.18826412308259
373,Belgium,1690,110,4.709530201312334
374,Belgium,1700,216,5.37989735354046
375,Belgium,1710,432,6.07073772800249
376,Belgium,1720,169,5.135798437050262
377,Belgium,1730,208,5.342334251964811
378,Belgium,1740,399,5.991464547107982
379,Belgium,1750,110,4.709530201312334
380,Belgium,1760,457,6.126869184114185
381,Belgium,1770,131,4.882801922586371
