region_code,region_code_atlas,year,value
re_andalusia,AND,800,"3,75"
re_andalusia,AND,900,"3,85"
re_andalusia,AND,1 000,"4,00"
re_andalusia,AND,1 100,"4,50"
re_andalusia,AND,1 200,"5,50"
re_andalusia,AND,1 300,"7,50"
re_andalusia,AND,1 400,"5,50"
re_andalusia,AND,1 500,"6,50"
re_arabic_world,ARAB_PENIN,0,2
re_arabic_world,ARAB_PENIN,600,"5,25"
re_arabic_world,ARAB_PENIN,1500,"4,5"
re_arabic_world,ARAB_PENIN,1600,5
re_arabic_world,ARAB_PENIN,1700,"4,5"
re_arabic_world,ARAB_PENIN,1800,5
re_arabic_world,ARAB_PENIN,1900,6
re_arabic_world,SYRIA_LEBAN,-400,"1,5"
re_arabic_world,SYRIA_LEBAN,0,"2,25"
re_arabic_world,SYRIA_LEBAN,1000,"1,5"
re_arabic_world,SYRIA_LEBAN,1300,"1,75"
re_arabic_world,SYRIA_LEBAN,1500,"1,5"
re_arabic_world,SYRIA_LEBAN,1600,"1,75"
re_arabic_world,SYRIA_LEBAN,1700,"1,5"
re_arabic_world,SYRIA_LEBAN,1800,"1,5"
re_arabic_world,SYRIA_LEBAN,1850,"1,75"
re_arabic_world,SYRIA_LEBAN,1900,"2,25"
re_arabic_world,PALESTINE_JORDAN,-400,"0,5"
re_arabic_world,PALESTINE_JORDAN,-200,"0,6"
re_arabic_world,PALESTINE_JORDAN,0,"0,8"
re_arabic_world,PALESTINE_JORDAN,200,"0,5"
re_arabic_world,PALESTINE_JORDAN,400,"0,4"
re_arabic_world,PALESTINE_JORDAN,600,"0,4"
re_arabic_world,PALESTINE_JORDAN,800,"0,6"
re_arabic_world,PALESTINE_JORDAN,1000,"0,5"
re_arabic_world,PALESTINE_JORDAN,1500,"0,5"
re_arabic_world,PALESTINE_JORDAN,1600,"0,5"
re_arabic_world,PALESTINE_JORDAN,1700,"0,4"
re_arabic_world,PALESTINE_JORDAN,1800,"0,5"
re_arabic_world,PALESTINE_JORDAN,1900,"0,8"
re_arabic_world,IRAQ,-400,1
re_arabic_world,IRAQ,-200,"1,25"
re_arabic_world,IRAQ,0,1
re_arabic_world,IRAQ,600,1
re_arabic_world,IRAQ,800,"2,5"
re_arabic_world,IRAQ,1000,2
re_arabic_world,IRAQ,1100,"1,75"
re_arabic_world,IRAQ,1300,1
re_arabic_world,IRAQ,1500,1
re_arabic_world,IRAQ,1600,"1,25"
re_arabic_world,IRAQ,1700,1
re_arabic_world,IRAQ,1800,1
re_arabic_world,IRAQ,1850,"1,25"
re_arabic_world,IRAQ,1900,"2,25"
re_arabic_world,MAGHREB,-400,2
re_arabic_world,MAGHREB,0,"3,75"
re_arabic_world,MAGHREB,1000,5
re_arabic_world,MAGHREB,1500,"3,75"
re_arabic_world,MAGHREB,1600,"5,5"
re_arabic_world,MAGHREB,1700,"4,25"
re_arabic_world,MAGHREB,1800,"5,75"
re_arabic_world,MAGHREB,1850,7
re_arabic_world,MAGHREB,1900,"11,5"
re_arabic_world,LYBIA,0,"0,4"
re_arabic_world,LYBIA,200,"0,5"
re_arabic_world,LYBIA,1000,"0,5"
re_arabic_world,LYBIA,1500,"0,5"
re_arabic_world,LYBIA,1800,"0,5"
re_arabic_world,LYBIA,1850,"0,6"
re_arabic_world,LYBIA,1900,"0,8"
re_austria,AUS,600,"0,40"
re_austria,AUS,700,"0,45"
re_austria,AUS,800,"0,50"
re_austria,AUS,900,"0,60"
re_austria,AUS,1 000,"0,70"
re_austria,AUS,1 100,"0,90"
re_austria,AUS,1 200,"1,25"
re_austria,AUS,1 300,"2,00"
re_austria,AUS,1 400,"1,25"
re_austria,AUS,1 500,"2,00"
re_austria,AUS,1 600,"2,50"
re_austria,AUS,1 650,"2,25"
re_austria,AUS,1 700,"2,50"
re_austria,AUS,1 750,"2,75"
re_austria,AUS,1 800,"3,00"
re_austria,AUS,1 850,"4,00"
re_balkans,GRE,0,"2,00"
re_balkans,GRE,200,"2,00"
re_balkans,GRE,600,"0,80"
re_balkans,GRE,1 000,"1,00"
re_balkans,GRE,1 300,"1,25"
re_balkans,GRE,1 500,"1,00"
re_balkans,GRE,1 600,"1,50"
re_balkans,GRE,1 700,"1,50"
re_balkans,GRE,1 800,"2,25"
re_balkans,GRE,1 850,"3,00"
re_balkans,YUG,0,"1,50"
re_balkans,YUG,200,"1,75"
re_balkans,YUG,600,"1,25"
re_balkans,YUG,1 000,"1,75"
re_balkans,YUG,1 300,"2,25"
re_balkans,YUG,1 500,"2,25"
re_balkans,YUG,1 600,"2,75"
re_balkans,YUG,1 700,"2,75"
re_balkans,YUG,1 800,"4,75"
re_balkans,YUG,1 850,"6,00"
re_balkans,BUL,0,"0,50"
re_balkans,BUL,200,"0,80"
re_balkans,BUL,600,"0,50"
re_balkans,BUL,1 000,"0,80"
re_balkans,BUL,1 300,"1,00"
re_balkans,BUL,1 500,"0,80"
re_balkans,BUL,1 600,"1,25"
re_balkans,BUL,1 700,"1,25"
re_balkans,BUL,1 800,"2,00"
re_balkans,BUL,1 850,"2,50"
re_belgium,BEL,300,"0,35"
re_belgium,BEL,400,"0,30"
re_belgium,BEL,500,"0,30"
re_belgium,BEL,600,"0,30"
re_belgium,BEL,700,"0,30"
re_belgium,BEL,800,"0,30"
re_belgium,BEL,900,"0,35"
re_belgium,BEL,1 000,"0,40"
re_belgium,BEL,1 100,"0,60"
re_belgium,BEL,1 200,"0,90"
re_belgium,BEL,1 300,"1,25"
re_belgium,BEL,1 400,"0,80"
re_belgium,BEL,1 500,"1,25"
re_belgium,BEL,1 600,"1,50"
re_belgium,BEL,1 650,"1,50"
re_belgium,BEL,1 700,"1,75"
re_belgium,BEL,1 750,"2,25"
re_belgium,BEL,1 800,"3,25"
re_belgium,BEL,1 850,"4,50"
re_british_islands,ENG,0,"0,60"
re_british_islands,ENG,200,"0,70"
re_british_islands,ENG,400,"0,80"
re_british_islands,ENG,600,"0,60"
re_british_islands,ENG,1 000,"1,50"
re_british_islands,ENG,1 100,"1,75"
re_british_islands,ENG,1 200,"2,50"
re_british_islands,ENG,1 300,"3,75"
re_british_islands,ENG,1 400,"2,50"
re_british_islands,ENG,1 500,"3,75"
re_british_islands,ENG,1 600,"4,25"
re_british_islands,ENG,1 650,"5,00"
re_british_islands,ENG,1 700,"5,75"
re_british_islands,ENG,1 750,"6,00"
re_british_islands,ENG,1 800,"9,25"
re_british_islands,ENG,1 850,"18,00"
re_british_islands,IRE,400,"0,20"
re_british_islands,IRE,500,"0,21"
re_british_islands,IRE,600,"0,23"
re_british_islands,IRE,700,"0,25"
re_british_islands,IRE,800,"0,26"
re_british_islands,IRE,900,"0,28"
re_british_islands,IRE,1 000,"0,30"
re_british_islands,IRE,1 100,"0,40"
re_british_islands,IRE,1 200,"0,60"
re_british_islands,IRE,1 300,"0,80"
re_british_islands,IRE,1 400,"0,60"
re_british_islands,IRE,1 500,"0,80"
re_british_islands,IRE,1 600,"1,25"
re_british_islands,IRE,1 650,"1,75"
re_british_islands,IRE,1 700,"2,50"
re_british_islands,IRE,1 750,"3,00"
re_british_islands,IRE,1 800,"5,25"
re_british_islands,IRE,1 850,"6,50"
re_british_islands,SCO,400,"0,10"
re_british_islands,SCO,500,"0,10"
re_british_islands,SCO,600,"0,10"
re_british_islands,SCO,700,"0,10"
re_british_islands,SCO,800,"0,10"
re_british_islands,SCO,900,"0,10"
re_british_islands,SCO,1 000,"0,20"
re_british_islands,SCO,1 100,"0,30"
re_british_islands,SCO,1 200,"0,30"
re_british_islands,SCO,1 300,"0,50"
re_british_islands,SCO,1 400,"0,40"
re_british_islands,SCO,1 500,"0,50"
re_british_islands,SCO,1 600,"0,70"
re_british_islands,SCO,1 650,"0,80"
re_british_islands,SCO,1 700,"1,00"
re_british_islands,SCO,1 750,"1,25"
re_british_islands,SCO,1 800,"1,50"
re_british_islands,SCO,1 850,"3,00"
re_central_europe,HUN,600,"0,20"
re_central_europe,HUN,700,"0,25"
re_central_europe,HUN,800,"0,30"
re_central_europe,HUN,900,"0,40"
re_central_europe,HUN,1 000,"0,50"
re_central_europe,HUN,1 100,"0,60"
re_central_europe,HUN,1 200,"0,80"
re_central_europe,HUN,1 300,"1,25"
re_central_europe,HUN,1 400,"1,00"
re_central_europe,HUN,1 500,"1,25"
re_central_europe,HUN,1 600,"1,25"
re_central_europe,HUN,1 650,"1,25"
re_central_europe,HUN,1 700,"1,50"
re_central_europe,HUN,1 750,"2,00"
re_central_europe,HUN,1 800,"3,25"
re_central_europe,HUN,1 850,"4,25"
re_central_europe,CZE,600,"0,70"
re_central_europe,CZE,700,"0,80"
re_central_europe,CZE,800,"1,00"
re_central_europe,CZE,900,"1,13"
re_central_europe,CZE,1 000,"1,25"
re_central_europe,CZE,1 100,"1,50"
re_central_europe,CZE,1 200,"2,00"
re_central_europe,CZE,1 300,"3,00"
re_central_europe,CZE,1 400,"2,50"
re_central_europe,CZE,1 500,"3,00"
re_central_europe,CZE,1 600,"4,50"
re_central_europe,CZE,1 650,"3,75"
re_central_europe,CZE,1 700,"4,50"
re_central_europe,CZE,1 750,"5,00"
re_central_europe,CZE,1 800,"6,75"
re_central_europe,CZE,1 850,"9,25"
re_central_europe,POL,600,"0,60"
re_central_europe,POL,700,"0,80"
re_central_europe,POL,800,"1,00"
re_central_europe,POL,900,"1,13"
re_central_europe,POL,1 000,"1,25"
re_central_europe,POL,1 100,"1,50"
re_central_europe,POL,1 200,"2,25"
re_central_europe,POL,1 300,"3,50"
re_central_europe,POL,1 400,"2,75"
re_central_europe,POL,1 500,"4,00"
re_central_europe,POL,1 600,"5,00"
re_central_europe,POL,1 650,"5,50"
re_central_europe,POL,1 700,"6,00"
re_central_europe,POL,1 750,"7,00"
re_central_europe,POL,1 800,"9,00"
re_central_europe,POL,1 850,"13,00"
re_chinese_world,CHI,-1 100,"4,80"
re_chinese_world,CHI,-1 000,"5,00"
re_chinese_world,CHI,-900,"6,75"
re_chinese_world,CHI,-800,"9,11"
re_chinese_world,CHI,-700,"12,30"
re_chinese_world,CHI,-600,"16,61"
re_chinese_world,CHI,-500,"22,42"
re_chinese_world,CHI,-400,"30,27"
re_chinese_world,CHI,-300,"35,00"
re_chinese_world,CHI,-200,"40,00"
re_chinese_world,CHI,-100,"45,00"
re_chinese_world,CHI,0,"63,00"
re_chinese_world,CHI,100,"55,00"
re_chinese_world,CHI,200,"60,00"
re_chinese_world,CHI,300,"55,00"
re_chinese_world,CHI,400,"50,00"
re_chinese_world,CHI,500,"47,50"
re_chinese_world,CHI,600,"45,00"
re_chinese_world,CHI,700,"47,50"
re_chinese_world,CHI,800,"50,00"
re_chinese_world,CHI,900,"55,00"
re_chinese_world,CHI,1 000,"60,00"
re_chinese_world,CHI,1 100,"108,00"
re_chinese_world,CHI,1 200,"139,00"
re_chinese_world,CHI,1 300,"72,00"
re_chinese_world,CHI,1 400,"69,00"
re_chinese_world,CHI,1 500,"110,00"
re_chinese_world,CHI,1 600,"183,00"
re_chinese_world,CHI,1 650,"145,00"
re_chinese_world,CHI,1 700,"190,00"
re_chinese_world,CHI,1 750,"250,00"
re_chinese_world,CHI,1 800,"325,00"
re_chinese_world,CHI,1 850,"435,00"
re_denmark,DEN,600,"0,30"
re_denmark,DEN,700,"0,32"
re_denmark,DEN,800,"0,35"
re_denmark,DEN,900,"0,38"
re_denmark,DEN,1 000,"0,40"
re_denmark,DEN,1 100,"0,46"
re_denmark,DEN,1 200,"0,53"
re_denmark,DEN,1 300,"0,60"
re_denmark,DEN,1 400,"0,40"
re_denmark,DEN,1 500,"0,60"
re_denmark,DEN,1 600,"0,70"
re_denmark,DEN,1 650,"0,75"
re_denmark,DEN,1 700,"0,80"
re_denmark,DEN,1 750,"0,90"
re_denmark,DEN,1 800,"1,00"
re_denmark,DEN,1 850,"1,50"
re_eastern_europe,YUG,0,"1,50"
re_eastern_europe,YUG,200,"1,75"
re_eastern_europe,YUG,600,"1,25"
re_eastern_europe,YUG,1 000,"1,75"
re_eastern_europe,YUG,1 300,"2,25"
re_eastern_europe,YUG,1 500,"2,25"
re_eastern_europe,YUG,1 600,"2,75"
re_eastern_europe,YUG,1 700,"2,75"
re_eastern_europe,YUG,1 800,"4,75"
re_eastern_europe,YUG,1 850,"6,00"
re_eastern_europe,ROM,600,"0,50"
re_eastern_europe,ROM,800,"0,60"
re_eastern_europe,ROM,1 000,"0,80"
re_eastern_europe,ROM,1 200,"1,00"
re_eastern_europe,ROM,1 300,"1,50"
re_eastern_europe,ROM,1 400,"1,25"
re_eastern_europe,ROM,1 500,"2,00"
re_eastern_europe,ROM,1 600,"2,00"
re_eastern_europe,ROM,1 650,"2,25"
re_eastern_europe,ROM,1 700,"2,50"
re_eastern_europe,ROM,1 750,"3,50"
re_eastern_europe,ROM,1 800,"5,50"
re_eastern_europe,ROM,1 850,"8,00"
re_eastern_europe,POL,600,"0,60"
re_eastern_europe,POL,700,"0,80"
re_eastern_europe,POL,800,"1,00"
re_eastern_europe,POL,900,"1,13"
re_eastern_europe,POL,1 000,"1,25"
re_eastern_europe,POL,1 100,"1,50"
re_eastern_europe,POL,1 200,"2,25"
re_eastern_europe,POL,1 300,"3,50"
re_eastern_europe,POL,1 400,"2,75"
re_eastern_europe,POL,1 500,"4,00"
re_eastern_europe,POL,1 600,"5,00"
re_eastern_europe,POL,1 650,"5,50"
re_eastern_europe,POL,1 700,"6,00"
re_eastern_europe,POL,1 750,"7,00"
re_eastern_europe,POL,1 800,"9,00"
re_eastern_europe,POL,1 850,"13,00"
re_eastern_europe,HUN,600,"0,20"
re_eastern_europe,HUN,700,"0,25"
re_eastern_europe,HUN,800,"0,30"
re_eastern_europe,HUN,900,"0,40"
re_eastern_europe,HUN,1 000,"0,50"
re_eastern_europe,HUN,1 100,"0,60"
re_eastern_europe,HUN,1 200,"0,80"
re_eastern_europe,CZE,600,"0,70"
re_eastern_europe,CZE,700,"0,80"
re_eastern_europe,CZE,800,"1,00"
re_eastern_europe,CZE,900,"1,13"
re_eastern_europe,CZE,1 000,"1,25"
re_eastern_europe,CZE,1 100,"1,50"
re_eastern_europe,CZE,1 200,"2,00"
re_eastern_europe,CZE,1 300,"3,00"
re_eastern_europe,CZE,1 400,"2,50"
re_eastern_europe,CZE,1 500,"3,00"
re_eastern_europe,CZE,1 600,"4,50"
re_eastern_europe,CZE,1 650,"3,75"
re_eastern_europe,CZE,1 700,"4,50"
re_eastern_europe,CZE,1 750,"5,00"
re_eastern_europe,CZE,1 800,"6,75"
re_eastern_europe,CZE,1 850,"9,25"
re_eastern_europe,HUN,1 300,"1,25"
re_eastern_europe,HUN,1 400,"1,00"
re_eastern_europe,HUN,1 500,"1,25"
re_eastern_europe,HUN,1 600,"1,25"
re_eastern_europe,HUN,1 650,"1,25"
re_eastern_europe,HUN,1 700,"1,50"
re_eastern_europe,HUN,1 750,"2,00"
re_eastern_europe,HUN,1 800,"3,25"
re_eastern_europe,HUN,1 850,"4,25"
re_eastern_europe,RUS,800,"3,50"
re_eastern_europe,RUS,900,"3,75"
re_eastern_europe,RUS,1 000,"4,00"
re_eastern_europe,RUS,1 100,"6,00"
re_eastern_europe,RUS,1 200,"9,00"
re_eastern_europe,RUS,1 300,"9,00"
re_eastern_europe,RUS,1 400,"9,00"
re_eastern_europe,RUS,1 500,"12,00"
re_eastern_europe,RUS,1 600,"15,00"
re_eastern_europe,RUS,1 700,"20,00"
re_eastern_europe,RUS,1 800,"36,00"
re_eastern_europe,RUS,1 850,"60,00"
re_france,FRA,-1 000,"2,00"
re_france,FRA,-400,"3,00"
re_france,FRA,-200,"4,00"
re_france,FRA,0,"5,00"
re_france,FRA,200,"6,50"
re_france,FRA,300,"5,50"
re_france,FRA,400,"4,50"
re_france,FRA,500,"4,50"
re_france,FRA,600,"4,50"
re_france,FRA,700,"4,75"
re_france,FRA,800,"5,00"
re_france,FRA,900,"5,75"
re_france,FRA,1 000,"6,50"
re_france,FRA,1 100,"7,75"
re_france,FRA,1 200,"10,50"
re_france,FRA,1 300,"16,00"
re_france,FRA,1 400,"11,00"
re_france,FRA,1 500,"15,00"
re_france,FRA,1 600,"18,50"
re_france,FRA,1 650,"21,00"
re_france,FRA,1 700,"22,00"
re_france,FRA,1 750,"24,00"
re_france,FRA,1 800,"29,00"
re_france,FRA,1 850,"36,00"
re_german_world,GER,600,"3,00"
re_german_world,GER,700,"3,00"
re_german_world,GER,800,"3,25"
re_german_world,GER,900,"3,38"
re_german_world,GER,1 000,"3,50"
re_german_world,GER,1 100,"4,00"
re_german_world,GER,1 200,"6,00"
re_german_world,GER,1 300,"9,00"
re_german_world,GER,1 400,"6,50"
re_german_world,GER,1 500,"9,00"
re_german_world,GER,1 600,"12,00"
re_german_world,GER,1 650,"11,00"
re_german_world,GER,1 700,"13,00"
re_german_world,GER,1 750,"15,00"
re_german_world,GER,1 800,"18,00"
re_german_world,GER,1 850,"27,00"
re_german_world,AUS,600,"0,40"
re_german_world,AUS,700,"0,45"
re_german_world,AUS,800,"0,50"
re_german_world,AUS,900,"0,60"
re_german_world,AUS,1 000,"0,70"
re_german_world,AUS,1 100,"0,90"
re_german_world,AUS,1 200,"1,25"
re_german_world,AUS,1 300,"2,00"
re_german_world,AUS,1 400,"1,25"
re_german_world,AUS,1 500,"2,00"
re_german_world,AUS,1 600,"2,50"
