region_code,region_code_atlas
re_western_europe,SWI
re_western_europe,SWE
re_western_europe,SPA
re_western_europe,SCO
re_western_europe,POR
re_western_europe,ITA
re_western_europe,IRE
re_western_europe,ICE
re_western_europe,GER
re_western_europe,FRA
re_western_europe,ENG
re_western_europe,NETHERLANDS
re_western_europe,DEN
re_western_europe,BEL
re_western_europe,AUSTRIA
re_united_kingdom,ENG
re_united_kingdom,SCO
re_switzerland,SWI
re_sweden,SWE
re_spain,SPA
re_southwestern_europe,SPA
re_southwestern_europe,ITA
re_southwestern_europe,POR
re_slav_world,RUS_EUROPE
re_portugal,POR
re_persian_world,IRAN
re_persian_world,AFGHA
re_ottoman_turkey,TUR_EUR
re_ottoman_turkey,TUR_ASIA
re_northwestern_europe,SWE
re_northwestern_europe,DEN
re_northwestern_europe,ICE
re_northwestern_europe,FRA
re_northwestern_europe,ENG
re_northwestern_europe,IRE
re_northwestern_europe,SCO
re_northwestern_europe,BEL
re_northwestern_europe,GER
re_northwestern_europe,AUSTRIA
re_northwestern_europe,SWI
re_northwestern_europe,NETHERLANDS
re_nordic_countries,SWE
re_nordic_countries,DEN
re_nordic_countries,ICE
re_netherlands,NETHERLANDS
re_muslim_world,ARAB_PENIN
re_muslim_world,SYRIA_LEBAN
re_muslim_world,PALESTINE_JORDAN
re_muslim_world,IRAQ
re_muslim_world,MAGHREB
re_muslim_world,LYBIA
re_muslim_world,IRAN
re_muslim_world,AFGHA
re_low_countries,BEL
re_low_countries,NETHERLANDS
re_latin,ITA_LATIN
re_korea,KOR
re_japan,JAP
re_italy,ITA
re_ireland,IRE
re_indian_world,INDIA
re_iceland,ICE
re_greek_world,HEL
re_greek_world_complete,LYBIA
re_greek_world_complete,PALESTINE_JORDAN
re_greek_world_complete,SYRIA_LEBAN
re_greek_world_complete,IRAQ
re_greek_world_complete,TUR_EUR
re_greek_world_complete,YUG
re_greek_world_complete,BUL
re_greek_world_complete,GRE
re_greek_world_complete,TUR_ASIA
re_greek_world_complete,ROM
re_greece,GRE
re_germany,GER
re_german_world,GER
re_german_world,AUSTRIA
re_german_world,SWI
re_france,FRA
re_eastern_europe,YUG
re_eastern_europe,ROM
re_eastern_europe,POL
re_eastern_europe,HUN
re_eastern_europe,CZE
re_eastern_europe,RUS_EUROPE
re_denmark,DEN
re_chinese_world,CHI
re_central_europe,HUN
re_central_europe,CZE
re_central_europe,POL
re_british_islands,ENG
re_british_islands,IRE
re_british_islands,SCO
re_belgium,BEL
re_balkans,GRE
re_balkans,YUG
re_balkans,BUL
re_austria,AUSTRIA
re_arabic_world,ARAB_PENIN
re_arabic_world,SYRIA_LEBAN
re_arabic_world,PALESTINE_JORDAN
re_arabic_world,IRAQ
re_arabic_world,MAGHREB
re_arabic_world,LYBIA
re_andalusia,ANDALUSIA
