region_code_atlas,year,value
AFGHA,-800,"1,00"
AFGHA,-400,"1,50"
AFGHA,0,"2,00"
AFGHA,600,"2,50"
AFGHA,1000,"2,25"
AFGHA,1200,"2,50"
AFGHA,1300,"1,75"
AFGHA,1500,"2,00"
AFGHA,1600,"2,50"
AFGHA,1700,"2,50"
AFGHA,1800,"3,00"
AFGHA,1850,"3,75"
AFGHA,1900,"5,00"
AFGHA,1900,"9,00"
ANDALUSIA,800,"3,75"
ANDALUSIA,900,"3,85"
ANDALUSIA,1000,"4,00"
ANDALUSIA,1100,"4,50"
ANDALUSIA,1200,"5,50"
ANDALUSIA,1300,"7,50"
ANDALUSIA,1400,"5,50"
ANDALUSIA,1500,"6,50"
ARAB_PENIN,-800,"0,50"
ARAB_PENIN,-400,"1,50"
ARAB_PENIN,0,"2,00"
ARAB_PENIN,600,"5,25"
ARAB_PENIN,1500,"4,50"
ARAB_PENIN,1600,"5,00"
ARAB_PENIN,1700,"4,50"
ARAB_PENIN,1800,"5,00"
ARAB_PENIN,1900,"6,00"
ARAB_PENIN,1950,"8,75"
AUSTRIA,-800,"0,00"
AUSTRIA,-200,"0,30"
AUSTRIA,0,"0,50"
AUSTRIA,200,"0,60"
AUSTRIA,400,"0,50"
AUSTRIA,600,"0,40"
AUSTRIA,700,"0,45"
AUSTRIA,800,"0,50"
AUSTRIA,900,"0,60"
AUSTRIA,1000,"0,70"
AUSTRIA,1100,"0,90"
AUSTRIA,1200,"1,25"
AUSTRIA,1300,"2,00"
AUSTRIA,1400,"1,25"
AUSTRIA,1500,"2,00"
AUSTRIA,1600,"2,50"
AUSTRIA,1650,"2,25"
AUSTRIA,1700,"2,50"
AUSTRIA,1750,"2,75"
AUSTRIA,1800,"3,00"
AUSTRIA,1850,"4,00"
AUSTRIA,1900,"6,00"
AUSTRIA,1950,"7,00"
BEL,-800,"0,00"
BEL,-200,"0,30"
BEL,0,"0,30"
BEL,200,"0,40"
BEL,300,"0,35"
BEL,400,"0,30"
BEL,500,"0,30"
BEL,600,"0,30"
BEL,700,"0,30"
BEL,800,"0,30"
BEL,900,"0,35"
BEL,1000,"0,40"
BEL,1100,"0,60"
BEL,1200,"0,90"
