,region_code,country_code_maddison,year,gdp_per_capita
0,re_italy,ITA,1810,2558
1,re_italy,ITA,1811,2473
2,re_italy,ITA,1812,2527
3,re_italy,ITA,1813,2596
4,re_italy,ITA,1814,2627
5,re_italy,ITA,1815,2511
6,re_italy,ITA,1816,2473
7,re_italy,ITA,1817,2496
8,re_italy,ITA,1818,2688
9,re_italy,ITA,1819,2665
10,re_italy,ITA,1820,2665
11,re_italy,ITA,1821,2619
12,re_italy,ITA,1822,2650
13,re_italy,ITA,1823,2673
14,re_italy,ITA,1824,2742
15,re_italy,ITA,1825,2703
16,re_italy,ITA,1826,2780
17,re_italy,ITA,1827,2734
18,re_italy,ITA,1828,2703
19,re_italy,ITA,1829,2696
20,re_italy,ITA,1830,2657
21,re_italy,ITA,1831,2750
22,re_italy,ITA,1832,2773
23,re_italy,ITA,1833,2788
24,re_italy,ITA,1834,2811
25,re_italy,ITA,1835,2888
26,re_italy,ITA,1836,2680
27,re_italy,ITA,1837,2611
28,re_italy,ITA,1838,2650
29,re_italy,ITA,1839,2627
30,re_italy,ITA,1840,2711
31,re_italy,ITA,1841,2765
32,re_italy,ITA,1842,2788
33,re_italy,ITA,1843,2650
34,re_italy,ITA,1844,2650
35,re_italy,ITA,1845,2673
36,re_italy,ITA,1846,2650
37,re_italy,ITA,1847,2588
38,re_italy,ITA,1848,2657
39,re_italy,ITA,1849,2642
40,re_italy,ITA,1850,2611
41,re_italy,ITA,1851,2611
42,re_italy,ITA,1852,2573
43,re_italy,ITA,1853,2519
44,re_italy,ITA,1854,2350
45,re_italy,ITA,1855,2373
46,re_italy,ITA,1856,2381
47,re_italy,ITA,1857,2573
48,re_italy,ITA,1858,2673
49,re_italy,ITA,1859,2588
50,re_italy,ITA,1860,2573
51,re_italy,ITA,1861,2558
52,re_italy,ITA,1862,2634
53,re_italy,ITA,1863,2688
54,re_italy,ITA,1864,2642
55,re_italy,ITA,1865,2780
56,re_italy,ITA,1866,2588
57,re_italy,ITA,1867,2611
58,re_italy,ITA,1868,2627
59,re_italy,ITA,1869,2696
60,re_italy,ITA,1870,2826
61,re_italy,ITA,1871,2811
62,re_italy,ITA,1872,2593
63,re_italy,ITA,1873,2581
64,re_italy,ITA,1874,2715
65,re_italy,ITA,1875,2727
66,re_italy,ITA,1876,2662
67,re_italy,ITA,1877,2678
68,re_italy,ITA,1878,2745
69,re_italy,ITA,1879,2753
70,re_italy,ITA,1880,2796
71,re_eastern_europe,POL,1811,690
72,re_eastern_europe,POL,1812,663
73,re_eastern_europe,POL,1813,679
74,re_eastern_europe,POL,1814,720
75,re_eastern_europe,POL,1815,733
76,re_eastern_europe,POL,1816,736
77,re_eastern_europe,POL,1817,746
78,re_eastern_europe,POL,1818,762
