,country_code_maddison,year,gdp_per_capita
0,AFG,1950,1156
1,AFG,1951,1170
2,AFG,1952,1189
3,AFG,1953,1240
4,AFG,1954,1245
5,AFG,1955,1246
6,AFG,1956,1278
7,AFG,1957,1253
8,AFG,1958,1298
9,AFG,1959,1307
10,AFG,1960,1326
11,AFG,1961,1309
12,AFG,1962,1302
13,AFG,1963,1298
14,AFG,1964,1291
15,AFG,1965,1290
16,AFG,1966,1272
17,AFG,1967,1277
18,AFG,1968,1290
19,AFG,1969,1278
20,AFG,1970,1272
21,AFG,1971,1237
22,AFG,1972,1007
23,AFG,1973,1011
24,AFG,1974,1039
25,AFG,1975,1074
26,AFG,1976,1105
27,AFG,1977,1022
28,AFG,1978,1070
29,AFG,1979,1023
30,AFG,1980,1019
31,AFG,1981,1144
32,AFG,1982,1270
33,AFG,1983,1347
34,AFG,1984,1337
35,AFG,1985,1304
36,AFG,1986,1344
37,AFG,1987,1211
38,AFG,1988,1101
39,AFG,1989,999
40,AFG,1990,963
41,AFG,1991,881
42,AFG,1992,844
43,AFG,1993,578
44,AFG,1994,428
45,AFG,1995,633
46,AFG,1996,600
47,AFG,1997,571
48,AFG,1998,545
49,AFG,1999,519
50,AFG,2000,502
51,AFG,2001,490
52,AFG,2002,797
53,AFG,2003,843
54,AFG,2004,869
55,AFG,2005,964
56,AFG,2006,1057
57,AFG,2007,1260
58,AFG,2008,1320
59,AFG,2009,1557
60,AFG,2010,1628
61,AFG,2011,1792
62,AFG,2012,1945
63,AFG,2013,2025
64,AFG,2014,2022
65,AFG,2015,1928
66,AFG,2016,1929
67,AFG,2017,2015
68,AFG,2018,1935
69,AGO,1950,1677
70,AGO,1951,1715
71,AGO,1952,1755
72,AGO,1953,1795
73,AGO,1954,1720
74,AGO,1955,1830
75,AGO,1956,1769
76,AGO,1957,1908
77,AGO,1958,1978
78,AGO,1959,1953
79,AGO,1960,1997
80,AGO,1961,2225
81,AGO,1962,2128
82,AGO,1963,2200
83,AGO,1964,2407
84,AGO,1965,2544
85,AGO,1966,2646
86,AGO,1967,2753
87,AGO,1968,2665
88,AGO,1969,2695
89,AGO,1970,2818
90,AGO,1971,2754
91,AGO,1972,2729
92,AGO,1973,2852
93,AGO,1974,2727
94,AGO,1975,1710
95,AGO,1976,1521
96,AGO,1977,1500
97,AGO,1978,1530
98,AGO,1979,1527
99,AGO,1980,1532
100,AGO,1981,1471
101,AGO,1982,1374
102,AGO,1983,1288
103,AGO,1984,1259
104,AGO,1985,1242
105,AGO,1986,1106
106,AGO,1987,1211
107,AGO,1988,1360
108,AGO,1989,1360
109,AGO,1990,1384
110,AGO,1991,1437
111,AGO,1992,1389
112,AGO,1993,1080
113,AGO,1994,1121
114,AGO,1995,1319
115,AGO,1996,1534
116,AGO,1997,1687
117,AGO,1998,1811
118,AGO,1999,1899
119,AGO,2000,2014
120,AGO,2001,2162
121,AGO,2002,2523
122,AGO,2003,2712
