region,decade,gdp_pc_weighted,pop
Arabic world,1000,1056.2857142857142,3500.0
Arabic world,1100,1060.638036809816,3260.0
Arabic world,1300,1020.0,4420.0
Arabic world,1400,1164.0,4200.0
Arabic world,1500,1084.0,4000.0
Arabic world,1800,832.4651672359348,1724.111111111111
Arabic world,1850,1091.7549102569812,2245.3
Balkans,1850,1901.2537978381536,3092.2727272727275
Balkans,1900,1955.0,4098.883333333333
Chinese world,1000,1225.1070000000002,59000.0
Chinese world,1100,1201.335,68240.0
Chinese world,1400,1410.082,95080.0
Chinese world,1450,1399.276,98600.0
Chinese world,1500,1215.6556,105892.0
Chinese world,1550,1202.5684,131500.0
Chinese world,1600,1239.0932,155260.0
Chinese world,1650,1330.0,146580.0
Chinese world,1700,1353.9388333333334,157141.66666666666
Chinese world,1750,1077.375,244650.0
Chinese world,1800,929.1395284595301,284083.3333333333
Chinese world,1850,874.5374190012349,318669.0
Eastern Europe,1400,950.5555555555555,3529.9111111111106
Eastern Europe,1450,904.8979591836735,3720.0
Eastern Europe,1500,912.3921568627451,4028.0392156862745
Eastern Europe,1550,1061.8163265306123,4500.0
Eastern Europe,1600,1071.3725490196077,5000.0
Eastern Europe,1650,887.6938775510204,5500.0
Eastern Europe,1700,978.8823529411765,6171.315359477124
Eastern Europe,1750,999.1428571428571,7844.166666666667
Eastern Europe,1800,894.6829268292682,9656.752032520324
Eastern Europe,1850,1198.0677129065891,8692.297196261683
Eastern Europe,1900,1594.2616592116083,11564.238095238095
France,1300,1302.810128720954,11608.5
France,1350,1545.236086378579,12450.0
France,1400,1623.5550025946825,13300.0
France,1450,1551.757378992217,14150.0
France,1500,1473.3937362234992,15114.70588235294
France,1550,1384.667856349533,16750.0
France,1600,1485.587747570217,18466.289215686276
France,1650,1700.0483320050544,19985.5
France,1700,1795.911575630027,21800.98120915033
France,1750,1832.0847388344437,25545.583333333332
France,1800,1798.7134183254957,29660.45343137255
France,1850,2562.309709029204,36013.08163265306
France,1900,3330.8333333333335,39663.846153846156
German world,1500,1748.1328952682795,12500.0
German world,1550,1560.9969984403983,14000.0
German world,1600,1500.576455014537,15681.372549019608
German world,1650,1581.136771682853,15500.0
German world,1700,1637.495055823542,15589.726307189541
German world,1750,1723.2780914552054,19127.083333333336
German world,1800,1835.8020912911195,22949.50721153846
German world,1850,2414.9544634380604,21318.231707317074
German world,1900,3297.4068803119385,18375.4358974359
Greek World,1000,912.1428571428571,4666.666666666667
Greek World,1100,898.107849011384,4450.666666666667
Greek World,1300,1339.197260591048,8592.667326732673
Greek World,1350,1504.6015363047618,9177.80606060606
Greek World,1400,1496.6046396726408,9715.922330097088
Greek World,1450,1449.7415977900812,10291.61
Greek World,1500,1418.6184174935534,10869.866666666667
Greek World,1550,1410.351429981531,12131.878787878788
Greek World,1600,1422.6558117425257,13321.992718446601
Greek World,1650,1518.5730979104253,14173.865
Greek World,1700,1604.9044463992568,15273.582211538462
Greek World,1750,1679.4163248510993,17768.738
Greek World,1800,1810.5112887322618,19694.612781954886
Greek World,1850,2330.429124319047,18806.975355450235
Greek World,1900,2719.7311955586424,20040.432835820895
Indian world,1600,1264.0,135000.0
Indian world,1650,1189.0,150000.0
Indian world,1700,1162.0,165000.0
Indian world,1750,1068.0,183333.33333333334
Indian world,1800,912.5492736552808,124533.86666666667
Indian world,1850,1059.0195363770963,110578.76923076923
Indian world,1900,1243.8333333333333,112057.58139534884
Italy,1450,2529.9916674026604,9961.0
Italy,1500,2549.0699455816502,10526.0
Italy,1550,2340.2687899560433,11826.0
Italy,1600,2542.710519521987,13102.0
Italy,1650,2396.4437201497344,13202.0
Italy,1700,2468.5172154925835,13357.3
Italy,1750,2485.4756849850187,16222.3
Italy,1800,2516.6368726773676,19819.16
Italy,1850,2570.4251507717822,24576.38775510204
Italy,1900,2726.8333333333335,31139.615384615383
Japan,1000,1009.6500000000001,7500.0
Japan,1100,926.9700000000001,9396.0
Japan,1300,841.11,11924.0
Japan,1450,866.5500000000002,14610.0
Japan,1600,1061.0,18500.0
Japan,1700,1073.125,27350.0
Japan,1750,953.0,28666.666666666668
Japan,1800,1316.84,30600.0
Japan,1850,1514.815,33384.25
Korea,1800,795.8364236063692,6870.0
Korea,1850,800.5078581585251,7132.0
Latin World,1000,1151.0,2000.0
Latin World,1250,1250.1739130434783,3021.492
Latin World,1300,1311.1806744289333,6802.964
Latin World,1350,1484.0850280112945,7256.466666666667
Latin World,1400,1524.2804670017379,7697.866666666668
Latin World,1450,1481.3093609753364,8151.5756756756755
