region,year,gdp_pc_weighted,decade,pop
Arabic world,1000,1056.2857142857142,1000,7000.0
Arabic world,1120,1060.638036809816,1120,6520.0
Arabic world,1280,1068.0,1280,4440.0
Arabic world,1300,972.0,1300,4400.0
Arabic world,1400,1164.0,1400,4200.0
Arabic world,1500,1084.0,1500,4000.0
Arabic world,1820,832.4651672359348,1820,15517.0
Arabic world,1870,1091.7549102569812,1870,22453.0
Balkans,1833,1537.0,1830,2605.0
Balkans,1840,1932.0,1840,2777.0
Balkans,1850,1607.0,1850,3044.0
Balkans,1860,2125.0,1860,3336.0
Balkans,1870,1603.659509202454,1870,6846.0
Balkans,1880,2028.0,1880,4049.0
Chinese world,1000,1225.1070000000002,1000,59000.0
Chinese world,1090,1221.711,1090,66920.0
Chinese world,1120,1180.959,1120,69560.0
Chinese world,1400,1404.246,1400,94200.0
Chinese world,1410,1414.0,1410,95080.0
Chinese world,1420,1412.0,1420,95960.0
Chinese world,1430,1498.0,1430,96840.0
Chinese world,1440,1458.0,1440,97720.0
Chinese world,1450,1375.38,1450,98600.0
Chinese world,1460,1324.0,1460,99480.0
Chinese world,1470,1341.0,1470,100360.0
Chinese world,1480,1242.0,1480,101240.0
Chinese world,1490,1189.0,1490,102120.0
Chinese world,1500,1207.278,1500,103000.0
Chinese world,1510,1274.0,1510,108700.0
Chinese world,1520,1166.0,1520,114400.0
Chinese world,1530,1187.0,1530,120100.0
Chinese world,1540,1193.0,1540,125800.0
Chinese world,1550,1195.0,1550,131500.0
Chinese world,1560,1200.0,1560,137200.0
Chinese world,1570,1237.842,1570,142900.0
Chinese world,1580,1217.0,1580,148600.0
Chinese world,1590,1217.0,1590,154300.0
Chinese world,1600,1217.4660000000001,1600,160000.0
Chinese world,1610,1282.0,1610,157800.0
Chinese world,1620,1262.0,1620,155600.0
Chinese world,1661,1330.0,1660,146580.0
Chinese world,1685,1280.0,1680,141300.0
Chinese world,1690,1413.0,1690,140200.0
Chinese world,1700,1542.633,1700,138000.0
Chinese world,1710,1406.0,1710,158250.0
Chinese world,1720,1312.0,1720,178500.0
Chinese world,1730,1234.0,1730,198750.0
Chinese world,1740,1158.0,1740,219000.0
Chinese world,1750,1061.25,1750,239250.0
Chinese world,1760,1022.0,1760,259500.0
Chinese world,1770,998.0,1770,279750.0
Chinese world,1780,981.0,1780,300000.0
