,individual_wikidata_id,decade,region_name,count_works,occupation,century,count
395,Q100242,1810,German world,16.0,Painter,1800,16.0
397,Q100242,1810,Northwestern Europe,16.0,Painter,1800,16.0
579,Q1003677,1560,France,4.0,Writer,1600,4.0
580,Q1003677,1560,Northwestern Europe,4.0,Writer,1600,4.0
785,Q1005462,1590,Southern China,80.0,Writer,1600,80.0
786,Q1005462,1590,Yangtze,80.0,Writer,1600,80.0
787,Q1005462,1590,Chinese world,80.0,Writer,1600,80.0
796,Q1005574,1780,Chinese world,37.0,Painter,1800,37.0
797,Q100559,1880,German world,5.0,Architect,1900,5.0
799,Q100559,1880,Northwestern Europe,5.0,Architect,1900,5.0
888,Q100691,1840,German world,5.0,Writer,1800,5.0
890,Q100691,1840,Northwestern Europe,5.0,Writer,1800,5.0
1075,Q10087736,1840,Chinese world,5.0,Writer,1800,5.0
1119,Q100910,1660,Low countries,4.0,Writer,1700,4.0
1121,Q100910,1660,Northwestern Europe,4.0,Writer,1700,4.0
1198,Q1009816,1880,Nordic countries,83.0,Painter,1900,83.0
1199,Q1009816,1880,Northwestern Europe,83.0,Painter,1900,83.0
1256,Q101008,1850,German world,25.0,Writer,1800,25.0
1258,Q101008,1850,Northwestern Europe,25.0,Writer,1800,25.0
1346,Q1010603,1560,Italy,43.0,Painter,1600,43.0
1347,Q1010603,1560,Southwestern Europe,43.0,Painter,1600,43.0
1375,Q1010700,1500,Italy,7.0,Sculptor,1500,7.0
1376,Q1010700,1500,Southwestern Europe,7.0,Sculptor,1500,7.0
1577,Q10133,100,Latin World,31.0,Writer,100,31.0
1579,Q10133,100,Southwestern Europe,31.0,Writer,100,31.0
1581,Q101336,1870,Central Europe,8.0,Writer,1900,8.0
1690,Q101465,1880,German world,7.0,Painter,1900,7.0
1692,Q101465,1880,Northwestern Europe,7.0,Painter,1900,7.0
1704,Q101490,1850,German world,5.0,Writer,1800,5.0
1706,Q101490,1850,Northwestern Europe,5.0,Writer,1800,5.0
1828,Q101638,1790,Northwestern Europe,16.0,Writer,1800,16.0
1829,Q101638,1790,United Kingdom,16.0,Writer,1800,16.0
1846,Q101698,1830,Italy,13.0,Musician,1800,13.0
1847,Q101698,1830,Southwestern Europe,13.0,Musician,1800,13.0
1870,Q101796,1880,German world,5.0,Painter,1900,5.0
1872,Q101796,1880,Northwestern Europe,5.0,Painter,1900,5.0
1874,Q1018002,630,Southern China,22.0,Writer,600,22.0
1875,Q1018002,630,Chinese world,22.0,Writer,600,22.0
1919,Q101911,1860,German world,38.0,Writer,1900,38.0
1921,Q101911,1860,Northwestern Europe,38.0,Writer,1900,38.0
1947,Q101945,1870,German world,12.0,Writer,1900,12.0
1949,Q101945,1870,Northwestern Europe,12.0,Writer,1900,12.0
1974,Q101972,1870,German world,22.0,Writer,1900,22.0
1976,Q101972,1870,Northwestern Europe,22.0,Writer,1900,22.0
2032,Q102036,1870,German world,15.0,Performing Artist,1900,15.0
2034,Q102036,1870,Northwestern Europe,15.0,Performing Artist,1900,15.0
2429,Q1022213,1600,Southern China,34.0,Painter,1600,34.0
2430,Q1022213,1600,Yangtze,34.0,Painter,1600,34.0
2431,Q1022213,1600,Chinese world,34.0,Painter,1600,34.0
2483,Q102272,1420,Low countries,57.0,Architect,1400,57.0
2484,Q102272,1420,Northwestern Europe,57.0,Architect,1400,57.0
2687,Q102305,1810,German world,4.0,Painter,1800,4.0
2689,Q102305,1810,Northwestern Europe,4.0,Painter,1800,4.0
2714,Q102323,1210,Nordic countries,25.0,Writer,1200,25.0
2715,Q102323,1210,Northwestern Europe,25.0,Writer,1200,25.0
2725,Q102340,1870,German world,8.0,Painter,1900,8.0
2727,Q102340,1870,Northwestern Europe,8.0,Painter,1900,8.0
2838,Q102531,1860,German world,153.0,Writer,1900,153.0
2840,Q102531,1860,Northwestern Europe,153.0,Writer,1900,153.0
2872,Q102545,1840,German world,12.0,Writer,1800,12.0
2874,Q102545,1840,Northwestern Europe,12.0,Writer,1800,12.0
2882,Q102568,1870,German world,11.0,Writer,1900,11.0
2884,Q102568,1870,Northwestern Europe,11.0,Writer,1900,11.0
2894,Q102585,1800,German world,15.0,Writer,1800,15.0
2896,Q102585,1800,Northwestern Europe,15.0,Writer,1800,15.0
2922,Q10261,-550,Greek World,6.0,Writer,-600,6.0
