,region_name,decade,score,century
0,Africa,1620,1,17
1,Africa,1630,3,17
2,Africa,1640,1,17
3,Africa,1670,3,17
4,Africa,1680,2,17
5,Africa,1700,3,17
6,Africa,1740,1,18
7,Africa,1750,1,18
8,Africa,1760,1,18
9,Africa,1780,5,18
10,Africa,1790,4,18
11,Africa,1800,3,18
12,Africa,1810,12,19
13,Africa,1820,13,19
14,Africa,1830,21,19
15,Africa,1840,18,19
16,Africa,1850,23,19
17,Africa,1860,40,19
18,Africa,1870,26,19
19,Africa,1880,61,19
20,Arabian peninsula,540,3,6
21,Arabian peninsula,560,4,6
22,Arabian peninsula,570,1,6
23,Arabian peninsula,580,4,6
24,Arabian peninsula,590,1,6
25,Arabian peninsula,600,3,6
26,Arabian peninsula,610,2,7
27,Arabian peninsula,620,5,7
28,Arabian peninsula,630,4,7
29,Arabian peninsula,640,6,7
30,Arabian peninsula,650,2,7
31,Arabian peninsula,660,4,7
32,Arabian peninsula,680,8,7
33,Arabian peninsula,690,3,7
34,Arabian peninsula,700,2,7
35,Arabian peninsula,710,3,8
36,Arabian peninsula,720,1,8
37,Arabian peninsula,730,1,8
38,Arabian peninsula,740,2,8
39,Arabian peninsula,750,1,8
40,Arabian peninsula,760,2,8
41,Arabian peninsula,780,2,8
42,Arabian peninsula,810,1,9
43,Arabian peninsula,820,1,9
44,Arabian peninsula,840,2,9
45,Arabian peninsula,860,1,9
46,Arabian peninsula,870,1,9
47,Arabian peninsula,880,1,9
48,Arabian peninsula,890,1,9
49,Arabian peninsula,930,2,10
50,Arabian peninsula,940,1,10
51,Arabian peninsula,1020,1,11
52,Arabian peninsula,1080,1,11
53,Arabian peninsula,1140,2,12
54,Arabian peninsula,1160,2,12
55,Arabian peninsula,1250,1,13
56,Arabian peninsula,1280,1,13
57,Arabian peninsula,1300,2,13
58,Arabian peninsula,1320,1,14
59,Arabian peninsula,1330,1,14
60,Arabian peninsula,1350,1,14
61,Arabian peninsula,1360,1,14
62,Arabian peninsula,1400,1,14
63,Arabian peninsula,1410,2,15
64,Arabian peninsula,1420,1,15
65,Arabian peninsula,1440,1,15
66,Arabian peninsula,1460,2,15
67,Arabian peninsula,1470,1,15
68,Arabian peninsula,1480,3,15
69,Arabian peninsula,1500,1,15
70,Arabian peninsula,1510,1,16
71,Arabian peninsula,1520,1,16
72,Arabian peninsula,1530,2,16
73,Arabian peninsula,1550,1,16
74,Arabian peninsula,1580,1,16
75,Arabian peninsula,1600,2,16
76,Arabian peninsula,1640,1,17
77,Arabian peninsula,1650,3,17
78,Arabian peninsula,1660,2,17
79,Arabian peninsula,1670,5,17
80,Arabian peninsula,1690,1,17
81,Arabian peninsula,1700,1,17
82,Arabian peninsula,1710,1,18
83,Arabian peninsula,1730,1,18
84,Arabian peninsula,1760,1,18
85,Arabian peninsula,1770,1,18
86,Arabian peninsula,1780,1,18
87,Arabian peninsula,1790,2,18
88,Arabian peninsula,1800,2,18
89,Arabian peninsula,1810,5,19
90,Arabian peninsula,1820,3,19
91,Arabian peninsula,1830,4,19
92,Arabian peninsula,1840,3,19
93,Arabian peninsula,1850,3,19
94,Arabian peninsula,1860,3,19
95,Arabian peninsula,1870,9,19
96,Arabian peninsula,1880,5,19
97,Arabic world,-360,4,-3
98,Arabic world,-330,1,-3
99,Arabic world,-310,1,-3
100,Arabic world,-300,6,-3
101,Arabic world,-280,1,-2
102,Arabic world,-270,4,-2
103,Arabic world,-260,5,-2
104,Arabic world,-250,1,-2
105,Arabic world,-240,3,-2
106,Arabic world,-230,1,-2
107,Arabic world,-220,2,-2
108,Arabic world,-200,2,-2
109,Arabic world,-170,1,-1
110,Arabic world,-160,2,-1
111,Arabic world,-130,1,-1
112,Arabic world,-120,3,-1
113,Arabic world,-100,2,-1
114,Arabic world,-90,2,0
115,Arabic world,-60,2,0
116,Arabic world,-50,2,0
117,Arabic world,-40,2,0
118,Arabic world,-20,1,0
119,Arabic world,-10,1,0
120,Arabic world,20,1,1
121,Arabic world,40,3,1
122,Arabic world,50,1,1
123,Arabic world,60,1,1
124,Arabic world,70,1,1
125,Arabic world,80,3,1
126,Arabic world,100,4,1
127,Arabic world,140,11,2
128,Arabic world,160,1,2
129,Arabic world,170,1,2
130,Arabic world,200,6,2
131,Arabic world,210,1,3
132,Arabic world,220,2,3
133,Arabic world,240,8,3
134,Arabic world,250,1,3
135,Arabic world,280,5,3
136,Arabic world,290,1,3
137,Arabic world,300,1,3
138,Arabic world,310,1,4
139,Arabic world,320,1,4
140,Arabic world,330,1,4
141,Arabic world,340,5,4
142,Arabic world,350,2,4
143,Arabic world,360,2,4
144,Arabic world,370,1,4
145,Arabic world,380,5,4
146,Arabic world,390,1,4
147,Arabic world,400,8,4
148,Arabic world,420,1,5
149,Arabic world,440,7,5
150,Arabic world,450,1,5
151,Arabic world,470,1,5
152,Arabic world,480,6,5
153,Arabic world,500,2,5
154,Arabic world,540,4,6
155,Arabic world,560,4,6
156,Arabic world,570,1,6
157,Arabic world,580,4,6
158,Arabic world,590,1,6
159,Arabic world,600,4,6
160,Arabic world,610,3,7
161,Arabic world,620,6,7
162,Arabic world,630,7,7
163,Arabic world,640,11,7
164,Arabic world,650,2,7
165,Arabic world,660,5,7
166,Arabic world,680,16,7
167,Arabic world,690,6,7
168,Arabic world,700,9,7
169,Arabic world,710,4,8
170,Arabic world,720,5,8
171,Arabic world,730,6,8
172,Arabic world,740,20,8
173,Arabic world,750,4,8
174,Arabic world,760,9,8
175,Arabic world,770,6,8
176,Arabic world,780,16,8
177,Arabic world,790,6,8
178,Arabic world,800,13,8
179,Arabic world,810,13,9
180,Arabic world,820,10,9
181,Arabic world,830,6,9
182,Arabic world,840,16,9
183,Arabic world,850,8,9
184,Arabic world,860,11,9
185,Arabic world,870,12,9
186,Arabic world,880,9,9
187,Arabic world,890,5,9
188,Arabic world,900,7,9
189,Arabic world,910,5,10
190,Arabic world,920,8,10
191,Arabic world,930,7,10
192,Arabic world,940,15,10
193,Arabic world,950,6,10
194,Arabic world,960,4,10
195,Arabic world,970,5,10
196,Arabic world,980,25,10
197,Arabic world,990,3,10
198,Arabic world,1000,7,10
199,Arabic world,1010,10,11
200,Arabic world,1020,14,11
201,Arabic world,1030,5,11
202,Arabic world,1040,19,11
203,Arabic world,1050,6,11
204,Arabic world,1060,9,11
205,Arabic world,1070,5,11
206,Arabic world,1080,9,11
207,Arabic world,1090,11,11
208,Arabic world,1100,8,11
209,Arabic world,1110,17,12
210,Arabic world,1120,9,12
211,Arabic world,1130,10,12
212,Arabic world,1140,23,12
213,Arabic world,1150,14,12
214,Arabic world,1160,16,12
215,Arabic world,1170,12,12
216,Arabic world,1180,22,12
217,Arabic world,1190,11,12
218,Arabic world,1200,23,12
219,Arabic world,1210,11,13
220,Arabic world,1220,24,13
221,Arabic world,1230,18,13
222,Arabic world,1240,26,13
223,Arabic world,1250,21,13
224,Arabic world,1260,17,13
225,Arabic world,1270,10,13
226,Arabic world,1280,20,13
227,Arabic world,1290,7,13
228,Arabic world,1300,10,13
229,Arabic world,1310,9,14
230,Arabic world,1320,15,14
231,Arabic world,1330,9,14
232,Arabic world,1340,16,14
233,Arabic world,1350,7,14
234,Arabic world,1360,8,14
235,Arabic world,1370,5,14
236,Arabic world,1380,5,14
237,Arabic world,1390,5,14
238,Arabic world,1400,8,14
239,Arabic world,1410,8,15
240,Arabic world,1420,11,15
241,Arabic world,1430,3,15
242,Arabic world,1440,13,15
243,Arabic world,1450,1,15
244,Arabic world,1460,8,15
245,Arabic world,1470,10,15
246,Arabic world,1480,11,15
247,Arabic world,1490,3,15
248,Arabic world,1500,5,15
249,Arabic world,1510,2,16
250,Arabic world,1520,6,16
251,Arabic world,1530,6,16
252,Arabic world,1540,6,16
253,Arabic world,1550,5,16
254,Arabic world,1560,7,16
255,Arabic world,1570,4,16
256,Arabic world,1580,7,16
257,Arabic world,1590,6,16
258,Arabic world,1600,7,16
259,Arabic world,1610,5,17
260,Arabic world,1620,8,17
261,Arabic world,1630,4,17
262,Arabic world,1640,3,17
263,Arabic world,1650,5,17
