,region_name,occupations_name,decade,score,count_occupations
0,Africa,botanist,1640,1,34
1,Africa,explorer,1640,1,108
2,Africa,ornithologist,1640,1,12
3,Africa,zoologist,1640,1,9
4,Africa,botanist,1700,2,34
5,Africa,painter,1700,1,9
6,Africa,poet,1700,1,24
7,Africa,botanist,1790,1,34
8,Africa,ornithologist,1790,1,12
9,Africa,poet,1790,1,24
10,Africa,zoologist,1790,1,9
11,Africa,botanist,1810,3,34
12,Africa,explorer,1810,4,108
13,Africa,naturalist,1810,2,17
14,Africa,poet,1810,2,24
15,Africa,translator,1810,1,13
16,Africa,zoologist,1810,1,9
17,Africa,botanist,1820,6,34
18,Africa,entomologist,1820,2,10
19,Africa,explorer,1820,8,108
20,Africa,historian,1820,1,9
21,Africa,naturalist,1820,1,17
22,Africa,ornithologist,1820,2,12
23,Africa,zoologist,1820,2,9
24,Africa,botanist,1830,2,34
25,Africa,entomologist,1830,2,10
26,Africa,explorer,1830,11,108
27,Africa,painter,1830,2,9
28,Africa,poet,1830,3,24
29,Africa,translator,1830,1,13
30,Africa,botanist,1840,3,34
31,Africa,entomologist,1840,1,10
32,Africa,explorer,1840,4,108
33,Africa,historian,1840,1,9
34,Africa,naturalist,1840,3,17
35,Africa,ornithologist,1840,1,12
36,Africa,painter,1840,2,9
37,Africa,poet,1840,2,24
38,Africa,translator,1840,1,13
39,Africa,zoologist,1840,1,9
40,Africa,botanist,1850,5,34
41,Africa,entomologist,1850,2,10
42,Africa,explorer,1850,14,108
43,Africa,naturalist,1850,4,17
44,Africa,ornithologist,1850,2,12
45,Africa,translator,1850,2,13
46,Africa,zoologist,1850,1,9
47,Africa,botanist,1860,7,34
48,Africa,entomologist,1860,2,10
49,Africa,explorer,1860,22,108
50,Africa,historian,1860,1,9
51,Africa,naturalist,1860,3,17
52,Africa,ornithologist,1860,2,12
53,Africa,poet,1860,2,24
54,Africa,translator,1860,1,13
55,Africa,botanist,1870,1,34
56,Africa,explorer,1870,7,108
57,Africa,historian,1870,1,9
58,Africa,naturalist,1870,1,17
59,Africa,painter,1870,1,9
60,Africa,poet,1870,2,24
61,Africa,translator,1870,2,13
62,Africa,zoologist,1870,1,9
63,Africa,botanist,1880,3,34
64,Africa,entomologist,1880,1,10
65,Africa,explorer,1880,22,108
66,Africa,historian,1880,3,9
67,Africa,naturalist,1880,2,17
68,Africa,ornithologist,1880,3,12
69,Africa,painter,1880,2,9
70,Africa,poet,1880,9,24
71,Africa,translator,1880,4,13
72,Africa,zoologist,1880,1,9
73,Africa,explorer,1780,3,108
74,Africa,naturalist,1780,1,17
75,Africa,poet,1780,1,24
76,Arabian peninsula,astronomer,930,1,4
77,Arabian peninsula,grammarian,930,1,5
78,Arabian peninsula,poet,930,1,90
79,Arabian peninsula,theologian,930,1,24
80,Arabian peninsula,astronomer,1280,1,4
81,Arabian peninsula,astronomer,1670,1,4
82,Arabian peninsula,historian,1670,3,24
83,Arabian peninsula,poet,1670,3,90
84,Arabian peninsula,astronomer,1880,1,4
85,Arabian peninsula,explorer,1880,1,5
86,Arabian peninsula,poet,1880,3,90
87,Arabian peninsula,theologian,1880,1,24
88,Arabian peninsula,explorer,1520,1,5
89,Arabian peninsula,historian,840,1,24
90,Arabian peninsula,historian,1460,2,24
91,Arabian peninsula,poet,620,4,90
92,Arabian peninsula,scientist,620,1,5
93,Arabian peninsula,poet,630,3,90
94,Arabian peninsula,scientist,630,1,5
95,Arabian peninsula,poet,640,4,90
96,Arabian peninsula,scientist,640,1,5
97,Arabian peninsula,theologian,640,1,24
98,Arabian peninsula,poet,660,2,90
99,Arabian peninsula,scientist,660,1,5
100,Arabian peninsula,theologian,660,1,24
101,Arabian peninsula,scientist,880,1,5
102,Arabic world,Islamic scholar,760,1,127
103,Arabic world,astronomer,760,1,90
104,Arabic world,historian,760,1,273
105,Arabic world,mathematician,760,1,94
106,Arabic world,philosopher,760,1,169
107,Arabic world,poet,760,5,656
108,Arabic world,theologian,760,2,174
109,Arabic world,Islamic scholar,780,1,127
110,Arabic world,astronomer,780,2,90
111,Arabic world,historian,780,3,273
112,Arabic world,linguist,780,2,92
113,Arabic world,mathematician,780,2,94
114,Arabic world,philosopher,780,1,169
115,Arabic world,poet,780,6,656
116,Arabic world,theologian,780,2,174
117,Arabic world,translator,780,2,56
118,Arabic world,Islamic scholar,800,2,127
119,Arabic world,astronomer,800,5,90
120,Arabic world,linguist,800,3,92
121,Arabic world,mathematician,800,2,94
122,Arabic world,philosopher,800,1,169
123,Arabic world,poet,800,3,656
124,Arabic world,translator,800,1,56
125,Arabic world,Islamic scholar,810,1,127
126,Arabic world,historian,810,3,273
127,Arabic world,linguist,810,1,92
128,Arabic world,poet,810,7,656
129,Arabic world,theologian,810,2,174
130,Arabic world,Islamic scholar,820,1,127
131,Arabic world,astronomer,820,2,90
132,Arabic world,historian,820,2,273
133,Arabic world,mathematician,820,2,94
134,Arabic world,philosopher,820,2,169
135,Arabic world,poet,820,4,656
136,Arabic world,theologian,820,2,174
137,Arabic world,translator,820,1,56
138,Arabic world,Islamic scholar,850,1,127
139,Arabic world,historian,850,1,273
140,Arabic world,linguist,850,3,92
141,Arabic world,poet,850,3,656
142,Arabic world,theologian,850,2,174
143,Arabic world,Islamic scholar,880,1,127
144,Arabic world,historian,880,1,273
145,Arabic world,linguist,880,3,92
146,Arabic world,mathematician,880,1,94
147,Arabic world,philosopher,880,1,169
148,Arabic world,poet,880,3,656
149,Arabic world,theologian,880,1,174
150,Arabic world,Islamic scholar,900,1,127
151,Arabic world,linguist,900,1,92
152,Arabic world,philosopher,900,1,169
153,Arabic world,poet,900,4,656
154,Arabic world,theologian,900,1,174
155,Arabic world,Islamic scholar,1010,1,127
156,Arabic world,astronomer,1010,2,90
157,Arabic world,historian,1010,2,273
158,Arabic world,mathematician,1010,2,94
159,Arabic world,poet,1010,5,656
160,Arabic world,theologian,1010,1,174
161,Arabic world,Islamic scholar,1030,1,127
162,Arabic world,linguist,1030,1,92
163,Arabic world,philosopher,1030,2,169
164,Arabic world,poet,1030,3,656
165,Arabic world,Islamic scholar,1120,3,127
166,Arabic world,astronomer,1120,1,90
167,Arabic world,historian,1120,1,273
168,Arabic world,mathematician,1120,1,94
169,Arabic world,philosopher,1120,2,169
170,Arabic world,poet,1120,5,656
171,Arabic world,Islamic scholar,1130,2,127
172,Arabic world,astronomer,1130,1,90
173,Arabic world,historian,1130,1,273
174,Arabic world,linguist,1130,2,92
175,Arabic world,philosopher,1130,1,169
176,Arabic world,poet,1130,7,656
177,Arabic world,translator,1130,1,56
178,Arabic world,Islamic scholar,1140,3,127
179,Arabic world,astronomer,1140,1,90
180,Arabic world,historian,1140,4,273
181,Arabic world,mathematician,1140,2,94
182,Arabic world,philosopher,1140,4,169
183,Arabic world,poet,1140,11,656
184,Arabic world,theologian,1140,1,174
185,Arabic world,Islamic scholar,1150,1,127
186,Arabic world,historian,1150,2,273
187,Arabic world,linguist,1150,3,92
188,Arabic world,mathematician,1150,1,94
189,Arabic world,philosopher,1150,3,169
190,Arabic world,poet,1150,4,656
191,Arabic world,theologian,1150,3,174
192,Arabic world,translator,1150,1,56
193,Arabic world,Islamic scholar,1170,1,127
194,Arabic world,astronomer,1170,3,90
195,Arabic world,linguist,1170,2,92
196,Arabic world,mathematician,1170,2,94
197,Arabic world,philosopher,1170,1,169
198,Arabic world,poet,1170,8,656
199,Arabic world,Islamic scholar,1180,5,127
200,Arabic world,explorer,1180,1,55
201,Arabic world,historian,1180,2,273
202,Arabic world,linguist,1180,1,92
203,Arabic world,mathematician,1180,2,94
204,Arabic world,philosopher,1180,3,169
205,Arabic world,poet,1180,10,656
206,Arabic world,theologian,1180,4,174
207,Arabic world,Islamic scholar,1190,2,127
208,Arabic world,astronomer,1190,1,90
209,Arabic world,historian,1190,1,273
210,Arabic world,mathematician,1190,1,94
211,Arabic world,philosopher,1190,2,169
212,Arabic world,poet,1190,7,656
213,Arabic world,Islamic scholar,1200,2,127
214,Arabic world,astronomer,1200,1,90
215,Arabic world,explorer,1200,1,55
216,Arabic world,historian,1200,6,273
217,Arabic world,linguist,1200,5,92
218,Arabic world,philosopher,1200,4,169
219,Arabic world,poet,1200,10,656
220,Arabic world,theologian,1200,3,174
221,Arabic world,translator,1200,2,56
222,Arabic world,Islamic scholar,1210,1,127
