,region_name,decade,score
0,Africa,1640,1
1,Africa,1700,2
2,Africa,1780,2
3,Africa,1790,2
4,Africa,1810,6
5,Africa,1820,6
6,Africa,1830,4
7,Africa,1840,5
8,Africa,1850,10
9,Africa,1860,17
10,Africa,1870,7
11,Africa,1880,16
12,Arabian peninsula,620,1
13,Arabian peninsula,630,1
14,Arabian peninsula,640,1
15,Arabian peninsula,660,1
16,Arabian peninsula,840,1
17,Arabian peninsula,880,1
18,Arabian peninsula,930,1
19,Arabian peninsula,1280,1
20,Arabian peninsula,1460,1
21,Arabian peninsula,1470,1
22,Arabian peninsula,1520,1
23,Arabian peninsula,1670,1
24,Arabian peninsula,1780,1
25,Arabian peninsula,1880,1
26,Arabic world,-360,1
27,Arabic world,-300,2
28,Arabic world,-280,1
29,Arabic world,-270,3
30,Arabic world,-250,1
31,Arabic world,-240,2
32,Arabic world,-230,1
33,Arabic world,-220,1
34,Arabic world,-170,1
35,Arabic world,-120,1
36,Arabic world,-100,1
37,Arabic world,-20,1
38,Arabic world,40,1
39,Arabic world,80,1
40,Arabic world,100,2
41,Arabic world,140,3
42,Arabic world,240,1
43,Arabic world,280,2
44,Arabic world,320,1
45,Arabic world,340,1
46,Arabic world,370,1
47,Arabic world,400,1
48,Arabic world,440,1
49,Arabic world,470,1
50,Arabic world,480,1
51,Arabic world,610,1
52,Arabic world,620,1
53,Arabic world,630,2
54,Arabic world,640,1
55,Arabic world,660,1
56,Arabic world,690,1
57,Arabic world,710,1
58,Arabic world,760,1
59,Arabic world,780,3
60,Arabic world,800,6
61,Arabic world,810,1
62,Arabic world,820,3
63,Arabic world,830,1
64,Arabic world,840,6
65,Arabic world,850,2
66,Arabic world,860,2
67,Arabic world,870,3
68,Arabic world,880,2
69,Arabic world,890,2
70,Arabic world,900,1
71,Arabic world,910,1
72,Arabic world,920,2
73,Arabic world,930,2
74,Arabic world,940,4
75,Arabic world,970,2
76,Arabic world,980,8
77,Arabic world,1000,1
78,Arabic world,1010,4
79,Arabic world,1020,3
80,Arabic world,1030,2
81,Arabic world,1040,3
82,Arabic world,1050,3
83,Arabic world,1060,5
84,Arabic world,1070,1
85,Arabic world,1080,1
86,Arabic world,1100,2
87,Arabic world,1120,1
88,Arabic world,1130,2
89,Arabic world,1140,5
90,Arabic world,1150,2
91,Arabic world,1160,2
92,Arabic world,1170,3
93,Arabic world,1180,5
94,Arabic world,1190,2
95,Arabic world,1200,3
96,Arabic world,1210,2
97,Arabic world,1220,2
98,Arabic world,1230,2
99,Arabic world,1240,6
100,Arabic world,1250,4
101,Arabic world,1270,2
102,Arabic world,1280,4
103,Arabic world,1290,1
104,Arabic world,1310,1
105,Arabic world,1320,3
106,Arabic world,1340,4
107,Arabic world,1350,1
108,Arabic world,1370,2
109,Arabic world,1380,1
110,Arabic world,1390,3
111,Arabic world,1410,1
112,Arabic world,1430,1
113,Arabic world,1440,4
114,Arabic world,1450,1
115,Arabic world,1460,3
116,Arabic world,1470,3
117,Arabic world,1480,2
118,Arabic world,1500,1
119,Arabic world,1520,1
120,Arabic world,1540,2
121,Arabic world,1560,2
122,Arabic world,1590,3
123,Arabic world,1660,1
124,Arabic world,1670,2
125,Arabic world,1720,1
126,Arabic world,1730,1
127,Arabic world,1740,1
128,Arabic world,1750,1
129,Arabic world,1770,3
130,Arabic world,1780,2
131,Arabic world,1800,4
132,Arabic world,1820,3
133,Arabic world,1830,2
134,Arabic world,1840,9
135,Arabic world,1850,9
136,Arabic world,1860,12
137,Arabic world,1870,12
138,Arabic world,1880,13
139,Austria,740,1
140,Austria,1360,1
141,Austria,1420,1
142,Austria,1440,1
143,Austria,1460,1
144,Austria,1480,2
145,Austria,1490,1
146,Austria,1500,4
147,Austria,1510,1
148,Austria,1520,5
149,Austria,1530,2
150,Austria,1540,4
151,Austria,1550,1
152,Austria,1560,4
153,Austria,1580,3
154,Austria,1610,1
155,Austria,1620,2
156,Austria,1630,1
157,Austria,1650,2
158,Austria,1660,2
159,Austria,1670,1
160,Austria,1680,1
161,Austria,1690,1
162,Austria,1700,4
163,Austria,1710,5
164,Austria,1720,4
165,Austria,1730,3
166,Austria,1740,8
167,Austria,1750,6
168,Austria,1760,27
169,Austria,1770,16
170,Austria,1780,23
171,Austria,1790,26
172,Austria,1800,31
173,Austria,1810,23
174,Austria,1820,40
175,Austria,1830,60
176,Austria,1840,102
177,Austria,1850,86
178,Austria,1860,118
179,Austria,1870,124
180,Austria,1880,180
181,Balkans,-500,2
182,Balkans,-460,3
183,Balkans,-450,1
184,Balkans,-420,1
185,Balkans,-410,1
186,Balkans,-400,2
187,Balkans,-390,1
188,Balkans,-380,1
189,Balkans,-370,1
190,Balkans,-360,1
191,Balkans,-350,1
192,Balkans,-340,1
193,Balkans,-300,1
194,Balkans,-290,1
195,Balkans,-240,1
196,Balkans,-110,1
197,Balkans,240,1
198,Balkans,450,1
199,Balkans,540,1
200,Balkans,1140,1
201,Balkans,1240,1
202,Balkans,1380,1
203,Balkans,1440,1
204,Balkans,1480,1
205,Balkans,1520,1
206,Balkans,1540,1
207,Balkans,1580,1
208,Balkans,1600,3
209,Balkans,1700,2
210,Balkans,1710,1
211,Balkans,1730,1
212,Balkans,1750,2
213,Balkans,1760,4
214,Balkans,1770,1
215,Balkans,1780,2
216,Balkans,1790,3
217,Balkans,1800,7
218,Balkans,1810,7
219,Balkans,1820,7
220,Balkans,1830,4
221,Balkans,1840,13
222,Balkans,1850,12
223,Balkans,1860,33
224,Balkans,1870,23
225,Balkans,1880,56
226,Belgium,1280,1
227,Belgium,1380,1
228,Belgium,1470,1
229,Belgium,1530,1
230,Belgium,1540,4
231,Belgium,1550,3
232,Belgium,1560,4
233,Belgium,1570,3
234,Belgium,1580,6
235,Belgium,1590,2
236,Belgium,1600,2
237,Belgium,1610,2
238,Belgium,1620,6
239,Belgium,1630,5
240,Belgium,1640,1
241,Belgium,1650,4
242,Belgium,1660,4
243,Belgium,1670,1
244,Belgium,1680,3
245,Belgium,1690,1
246,Belgium,1700,1
247,Belgium,1720,1
248,Belgium,1740,2
249,Belgium,1750,1
250,Belgium,1760,2
251,Belgium,1770,2
252,Belgium,1780,5
253,Belgium,1790,5
254,Belgium,1800,8
255,Belgium,1810,3
256,Belgium,1820,11
257,Belgium,1830,21
258,Belgium,1840,41
259,Belgium,1850,31
260,Belgium,1860,44
261,Belgium,1870,40
262,Belgium,1880,49
263,British Islands,830,1
264,British Islands,1040,1
265,British Islands,1110,1
266,British Islands,1140,1
267,British Islands,1160,1
268,British Islands,1170,1
269,British Islands,1180,1
270,British Islands,1200,1
271,British Islands,1210,2
272,British Islands,1240,1
273,British Islands,1260,1
274,British Islands,1320,2
275,British Islands,1330,2
276,British Islands,1340,3
277,British Islands,1350,1
278,British Islands,1360,1
279,British Islands,1420,1
280,British Islands,1480,1
281,British Islands,1500,1
282,British Islands,1510,1
283,British Islands,1520,2
284,British Islands,1530,1
285,British Islands,1540,4
286,British Islands,1550,5
287,British Islands,1560,4
288,British Islands,1570,10
289,British Islands,1580,16
290,British Islands,1590,7
291,British Islands,1600,15
292,British Islands,1610,12
293,British Islands,1620,8
294,British Islands,1630,11
295,British Islands,1640,26
296,British Islands,1650,24
297,British Islands,1660,45
298,British Islands,1670,24
299,British Islands,1680,31
300,British Islands,1690,28
301,British Islands,1700,35
302,British Islands,1710,23
303,British Islands,1720,36
304,British Islands,1730,35
305,British Islands,1740,56
306,British Islands,1750,55
307,British Islands,1760,73
308,British Islands,1770,84
309,British Islands,1780,124
310,British Islands,1790,103
311,British Islands,1800,144
312,British Islands,1810,152
313,British Islands,1820,203
314,British Islands,1830,215
315,British Islands,1840,351
316,British Islands,1850,337
317,British Islands,1860,366
318,British Islands,1870,309
319,British Islands,1880,435
320,Central America,1520,1
321,Central America,1530,1
322,Central America,1540,1
323,Central America,1580,1
324,Central America,1600,1
325,Central America,1620,1
326,Central America,1680,2
327,Central America,1690,1
328,Central America,1700,1
329,Central America,1710,1
330,Central America,1730,1
331,Central America,1740,4
332,Central America,1750,1
333,Central America,1760,2
334,Central America,1770,5
335,Central America,1780,2
336,Central America,1790,5
337,Central America,1800,5
338,Central America,1810,4
339,Central America,1820,5
340,Central America,1830,11
341,Central America,1840,9
342,Central America,1850,10
343,Central America,1860,13
344,Central America,1870,11
345,Central America,1880,24
346,Central Europe,1260,1
347,Central Europe,1300,1
348,Central Europe,1400,3
349,Central Europe,1410,1
350,Central Europe,1420,2
351,Central Europe,1440,1
352,Central Europe,1450,2
353,Central Europe,1460,2
354,Central Europe,1470,1
355,Central Europe,1480,7
356,Central Europe,1490,2
357,Central Europe,1500,4
358,Central Europe,1510,1
359,Central Europe,1520,1
360,Central Europe,1530,3
361,Central Europe,1540,9
362,Central Europe,1550,3
363,Central Europe,1560,12
364,Central Europe,1570,10
365,Central Europe,1580,13
366,Central Europe,1590,5
367,Central Europe,1600,8
368,Central Europe,1610,4
369,Central Europe,1620,8
370,Central Europe,1630,11
371,Central Europe,1640,12
372,Central Europe,1650,4
373,Central Europe,1660,11
374,Central Europe,1670,9
375,Central Europe,1680,17
376,Central Europe,1690,4
377,Central Europe,1700,10
378,Central Europe,1710,6
379,Central Europe,1720,17
380,Central Europe,1730,8
381,Central Europe,1740,21
382,Central Europe,1750,22
383,Central Europe,1760,26
384,Central Europe,1770,35
385,Central Europe,1780,58
386,Central Europe,1790,55
387,Central Europe,1800,67
388,Central Europe,1810,60
389,Central Europe,1820,108
390,Central Europe,1830,104
391,Central Europe,1840,150
392,Central Europe,1850,170
393,Central Europe,1860,212
394,Central Europe,1870,216
395,Central Europe,1880,428
396,Chinese world,-460,1
397,Chinese world,-400,2
398,Chinese world,-220,1
399,Chinese world,-140,1
400,Chinese world,-110,1
401,Chinese world,-40,2
402,Chinese world,-20,1
403,Chinese world,-10,1
404,Chinese world,60,1
405,Chinese world,110,1
406,Chinese world,140,2
407,Chinese world,160,2
408,Chinese world,170,1
409,Chinese world,200,1
410,Chinese world,210,1
411,Chinese world,230,1
412,Chinese world,260,3
413,Chinese world,300,1
414,Chinese world,320,1
415,Chinese world,400,1
416,Chinese world,440,1
417,Chinese world,460,1
418,Chinese world,520,1
419,Chinese world,580,1
420,Chinese world,630,1
421,Chinese world,640,1
422,Chinese world,720,1
423,Chinese world,760,2
424,Chinese world,1060,3
425,Chinese world,1070,1
426,Chinese world,1080,2
427,Chinese world,1140,1
428,Chinese world,1160,1
429,Chinese world,1170,1
430,Chinese world,1200,1
431,Chinese world,1230,1
432,Chinese world,1240,1
433,Chinese world,1270,2
434,Chinese world,1280,2
435,Chinese world,1300,1
436,Chinese world,1310,2
437,Chinese world,1320,1
438,Chinese world,1330,1
439,Chinese world,1340,1
440,Chinese world,1350,1
441,Chinese world,1360,2
442,Chinese world,1440,2
443,Chinese world,1480,1
444,Chinese world,1490,1
445,Chinese world,1510,1
446,Chinese world,1540,2
447,Chinese world,1550,1
448,Chinese world,1570,3
449,Chinese world,1580,1
450,Chinese world,1590,1
451,Chinese world,1600,1
452,Chinese world,1610,4
453,Chinese world,1620,4
454,Chinese world,1630,4
455,Chinese world,1640,4
456,Chinese world,1650,4
457,Chinese world,1660,4
458,Chinese world,1670,5
459,Chinese world,1680,2
460,Chinese world,1690,5
461,Chinese world,1700,3
462,Chinese world,1710,2
463,Chinese world,1720,3
464,Chinese world,1730,2
465,Chinese world,1740,3
466,Chinese world,1750,3
467,Chinese world,1760,3
468,Chinese world,1770,2
469,Chinese world,1780,3
470,Chinese world,1790,3
471,Chinese world,1800,7
472,Chinese world,1810,1
473,Chinese world,1820,3
474,Chinese world,1830,1
475,Chinese world,1840,6
476,Chinese world,1850,4
477,Chinese world,1860,2
478,Chinese world,1870,4
479,Chinese world,1880,10
480,Denmark,1200,1
481,Denmark,1340,1
482,Denmark,1420,1
483,Denmark,1520,1
484,Denmark,1540,1
485,Denmark,1550,1
486,Denmark,1570,1
487,Denmark,1580,2
488,Denmark,1590,2
489,Denmark,1600,5
490,Denmark,1610,3
491,Denmark,1620,6
492,Denmark,1630,1
493,Denmark,1640,3
494,Denmark,1650,1
495,Denmark,1660,6
496,Denmark,1670,2
497,Denmark,1680,6
498,Denmark,1690,3
499,Denmark,1710,1
500,Denmark,1720,1
501,Denmark,1730,3
502,Denmark,1750,6
503,Denmark,1760,18
504,Denmark,1770,8
505,Denmark,1780,18
506,Denmark,1790,17
507,Denmark,1800,20
508,Denmark,1810,11
509,Denmark,1820,19
510,Denmark,1830,22
511,Denmark,1840,21
512,Denmark,1850,38
513,Denmark,1860,40
514,Denmark,1870,43
515,Denmark,1880,56
516,East Slavic,1140,1
517,East Slavic,1400,1
518,East Slavic,1530,1
519,East Slavic,1540,1
520,East Slavic,1550,2
521,East Slavic,1560,3
522,East Slavic,1570,2
523,East Slavic,1580,2
524,East Slavic,1600,1
525,East Slavic,1610,1
526,East Slavic,1620,3
527,East Slavic,1640,6
528,East Slavic,1650,1
529,East Slavic,1660,2
530,East Slavic,1670,3
531,East Slavic,1680,1
532,East Slavic,1690,2
533,East Slavic,1700,9
534,East Slavic,1710,7
535,East Slavic,1720,8
536,East Slavic,1730,11
537,East Slavic,1740,19
538,East Slavic,1750,12
539,East Slavic,1760,15
540,East Slavic,1770,30
541,East Slavic,1780,46
542,East Slavic,1790,34
543,East Slavic,1800,39
544,East Slavic,1810,39
545,East Slavic,1820,73
546,East Slavic,1830,79
547,East Slavic,1840,102
548,East Slavic,1850,114
549,East Slavic,1860,153
550,East Slavic,1870,183
551,East Slavic,1880,359
552,Eastern Europe,-500,2
553,Eastern Europe,-460,3
554,Eastern Europe,-450,1
555,Eastern Europe,-420,1
556,Eastern Europe,-410,1
557,Eastern Europe,-400,2
558,Eastern Europe,-390,1
559,Eastern Europe,-380,1
560,Eastern Europe,-370,1
561,Eastern Europe,-360,1
562,Eastern Europe,-350,1
563,Eastern Europe,-340,1
564,Eastern Europe,-300,1
565,Eastern Europe,-290,1
566,Eastern Europe,-240,1
567,Eastern Europe,-110,1
568,Eastern Europe,-100,1
569,Eastern Europe,240,1
570,Eastern Europe,450,1
571,Eastern Europe,540,1
572,Eastern Europe,1140,2
573,Eastern Europe,1240,1
574,Eastern Europe,1260,1
575,Eastern Europe,1300,1
576,Eastern Europe,1380,1
577,Eastern Europe,1400,5
578,Eastern Europe,1410,1
579,Eastern Europe,1420,2
580,Eastern Europe,1440,2
581,Eastern Europe,1450,2
582,Eastern Europe,1460,2
583,Eastern Europe,1470,1
584,Eastern Europe,1480,8
585,Eastern Europe,1490,2
586,Eastern Europe,1500,4
587,Eastern Europe,1510,1
588,Eastern Europe,1520,2
589,Eastern Europe,1530,6
590,Eastern Europe,1540,11
591,Eastern Europe,1550,5
592,Eastern Europe,1560,15
593,Eastern Europe,1570,12
594,Eastern Europe,1580,17
595,Eastern Europe,1590,6
596,Eastern Europe,1600,13
597,Eastern Europe,1610,5
598,Eastern Europe,1620,11
599,Eastern Europe,1630,12
600,Eastern Europe,1640,19
601,Eastern Europe,1650,5
602,Eastern Europe,1660,13
603,Eastern Europe,1670,13
604,Eastern Europe,1680,20
605,Eastern Europe,1690,8
606,Eastern Europe,1700,23
607,Eastern Europe,1710,15
608,Eastern Europe,1720,28
609,Eastern Europe,1730,22
610,Eastern Europe,1740,42
611,Eastern Europe,1750,36
612,Eastern Europe,1760,46
613,Eastern Europe,1770,70
614,Eastern Europe,1780,113
615,Eastern Europe,1790,98
616,Eastern Europe,1800,114
617,Eastern Europe,1810,112
618,Eastern Europe,1820,200
619,Eastern Europe,1830,201
620,Eastern Europe,1840,286
621,Eastern Europe,1850,321
622,Eastern Europe,1860,425
623,Eastern Europe,1870,444
624,Eastern Europe,1880,897
625,Finland,1440,1
626,Finland,1600,1
627,Finland,1640,3
628,Finland,1660,1
629,Finland,1670,2
630,Finland,1680,3
631,Finland,1690,2
632,Finland,1700,1
633,Finland,1740,6
634,Finland,1750,4
635,Finland,1760,11
636,Finland,1770,1
637,Finland,1780,5
638,Finland,1790,3
639,Finland,1800,7
640,Finland,1810,7
641,Finland,1820,7
642,Finland,1830,7
643,Finland,1840,15
644,Finland,1850,9
645,Finland,1860,13
646,Finland,1870,20
647,Finland,1880,26
648,France,480,1
649,France,980,1
650,France,1180,2
651,France,1210,1
652,France,1220,1
653,France,1230,1
654,France,1240,1
655,France,1270,1
656,France,1280,2
657,France,1300,3
658,France,1320,3
659,France,1330,1
660,France,1340,1
661,France,1360,1
662,France,1380,1
663,France,1400,1
664,France,1430,1
665,France,1440,1
666,France,1460,1
667,France,1480,5
668,France,1490,1
669,France,1500,3
670,France,1510,4
671,France,1520,5
672,France,1530,3
673,France,1540,25
674,France,1550,10
675,France,1560,15
676,France,1570,12
677,France,1580,22
678,France,1590,7
679,France,1600,16
