region,decade,gdp_pc_weighted,pop
Arabic world,1000,1056.2857142857142,3500.0
Arabic world,1120,1060.638036809816,3260.0
Arabic world,1280,1068.0,4440.0
Arabic world,1300,972.0,4400.0
Arabic world,1400,1164.0,4200.0
Arabic world,1500,1084.0,4000.0
Arabic world,1820,832.4651672359348,1724.111111111111
Arabic world,1870,1091.7549102569812,2245.3
Balkans,1830,1586.0,2617.0
Balkans,1840,1925.6363636363637,2778.5454545454545
Balkans,1850,1694.0,3044.777777777778
Balkans,1860,2085.818181818182,3337.5454545454545
Balkans,1870,1923.1843899113837,3286.0
Balkans,1880,1955.0,4050.818181818182
Chinese world,1000,1225.1070000000002,59000.0
Chinese world,1090,1221.711,66920.0
Chinese world,1120,1180.959,69560.0
Chinese world,1400,1404.246,94200.0
Chinese world,1410,1414.0,95080.0
Chinese world,1420,1412.0,95960.0
Chinese world,1430,1498.0,96840.0
Chinese world,1440,1458.0,97720.0
Chinese world,1450,1375.38,98600.0
Chinese world,1460,1324.0,99480.0
Chinese world,1470,1341.0,100360.0
Chinese world,1480,1242.0,101240.0
Chinese world,1490,1189.0,102120.0
Chinese world,1500,1207.278,103000.0
Chinese world,1510,1274.0,108700.0
Chinese world,1520,1166.0,114400.0
Chinese world,1530,1187.0,120100.0
Chinese world,1540,1193.0,125800.0
Chinese world,1550,1195.0,131500.0
Chinese world,1560,1200.0,137200.0
Chinese world,1570,1237.842,142900.0
Chinese world,1580,1217.0,148600.0
Chinese world,1590,1217.0,154300.0
Chinese world,1600,1217.4660000000001,160000.0
Chinese world,1610,1282.0,157800.0
Chinese world,1620,1262.0,155600.0
Chinese world,1660,1330.0,146580.0
Chinese world,1680,1280.0,141300.0
Chinese world,1690,1413.0,140200.0
Chinese world,1700,1542.633,138000.0
Chinese world,1710,1406.0,158250.0
Chinese world,1720,1241.0,182550.0
Chinese world,1730,1234.0,198750.0
Chinese world,1740,1158.0,219000.0
Chinese world,1750,1061.25,239250.0
Chinese world,1760,1022.0,259500.0
Chinese world,1770,994.5,275700.0
Chinese world,1780,981.0,300000.0
Chinese world,1790,955.0,320250.0
Chinese world,1800,926.259,340500.0
Chinese world,1810,901.0,360750.0
Chinese world,1820,882.4386422976502,191500.0
Chinese world,1830,846.0,409000.0
Chinese world,1840,849.0,412000.0
Chinese world,1850,858.0,412000.0
Chinese world,1870,945.1496760049397,180172.5
Eastern Europe,1400,956.0,3440.0
Eastern Europe,1410,897.8333333333334,3504.3999999999996
Eastern Europe,1420,978.8181818181819,3552.0
Eastern Europe,1430,1016.2222222222222,3608.0
Eastern Europe,1440,951.8181818181819,3664.0
Eastern Europe,1450,906.7777777777778,3720.0
Eastern Europe,1460,856.2727272727273,3776.0
Eastern Europe,1470,793.7777777777778,3832.0
Eastern Europe,1480,853.7272727272727,3888.0
Eastern Europe,1490,848.3333333333334,3944.0
Eastern Europe,1500,929.7272727272727,4006.0
Eastern Europe,1510,947.0,4100.0
Eastern Europe,1520,977.8181818181819,4200.0
Eastern Europe,1530,958.5555555555555,4300.0
Eastern Europe,1540,990.7272727272727,4400.0
Eastern Europe,1550,1047.7777777777778,4500.0
Eastern Europe,1560,1129.0,4600.0
Eastern Europe,1570,1183.888888888889,4700.0
Eastern Europe,1580,1272.0,4800.0
Eastern Europe,1590,1179.7777777777778,4900.0
Eastern Europe,1600,1041.1818181818182,5000.0
Eastern Europe,1610,990.7777777777778,5100.0
Eastern Europe,1620,878.1818181818181,5200.0
Eastern Europe,1630,871.0,5300.0
Eastern Europe,1640,921.9090909090909,5400.0
Eastern Europe,1650,907.3333333333334,5500.0
Eastern Europe,1660,916.0909090909091,5600.0
Eastern Europe,1670,808.2222222222222,5700.0
Eastern Europe,1680,961.4545454545455,5800.0
Eastern Europe,1690,1027.3333333333333,5900.0
Eastern Europe,1700,987.7272727272727,6036.659090909091
Eastern Europe,1710,948.1111111111111,6368.833333333333
Eastern Europe,1720,973.0,6737.666666666666
Eastern Europe,1730,972.3333333333334,7106.5
Eastern Europe,1740,958.6363636363636,7475.333333333334
Eastern Europe,1750,1071.2222222222222,7844.166666666667
Eastern Europe,1760,1019.9090909090909,8213.0
Eastern Europe,1770,978.0,8581.833333333334
Eastern Europe,1780,991.5454545454545,8950.666666666666
