,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,gdp_per_capita
0,1,Arabic world,10.107246555018165,9.93844158088508,5.841897286180701,14.554396253730866,1.44,0.22,0.1415098483406545,0.5754601994195512,0.9789769830803009,1.433683348980289,re_arabic_world,1116
1,730,Arabic world,14.098621943456308,60.45204383707252,41.90750003449551,83.08941963488606,6.0,8.0,0.4255735081104733,2.9724536343033394,4.287798061365178,5.893442633480284,re_arabic_world,1164
2,1000,Arabic world,14.367986757062813,19.405894529070085,14.624199663454046,24.6898496587114,7.0,10.0,0.4871942129650863,1.017832206468682,1.3506342159962537,1.7183931246717437,re_arabic_world,956
3,1120,Arabic world,13.742739633376694,47.78716015780186,38.59104863781523,57.52352234617912,9.0,12.0,0.6548912545895794,2.8081044731495886,3.4772659187795583,4.18573907974455,re_arabic_world,1052
4,1280,Arabic world,12.81398834791146,118.99391562337144,93.67213484883,147.66811336720062,20.0,13.0,1.5607943020534885,7.310146716661993,9.286251274199586,11.523977496925765,re_arabic_world,1068
5,1300,Arabic world,12.703073712732095,38.005637356566,29.82955809008098,47.18505042062269,10.0,13.0,0.7872110503442292,2.3482157755396846,2.991845770246419,3.71445931021638,re_arabic_world,972
6,1400,Arabic world,12.65872734355195,40.63002525707351,31.59700457390936,50.93523923063993,8.0,14.0,0.6319750621751883,2.4960648662682594,3.209645342252313,4.02372512246147,re_arabic_world,1164
7,1500,Arabic world,12.92204255573626,37.30500853382536,27.732273129598184,47.67376861290444,5.0,15.0,0.38693573236844325,2.146121482728555,2.886928159609348,3.6893369145995765,re_arabic_world,1084
8,1820,Arabic world,14.17603120169307,224.90324430494235,175.0807347064495,279.7754908638085,21.0,19.0,1.481373714632621,12.350476111081026,15.865035926140015,19.735812293527854,re_arabic_world,956
9,1870,Arabic world,14.35913768121033,724.9874232453836,567.6024002401764,897.4409272805896,73.0,19.0,5.083870746327912,39.52900326200739,50.489621267025456,62.499639407660055,re_arabic_world,1195
10,1,Balkans,4.1006327820901864,38.74519750028812,19.828746154256407,58.952759191063116,1.0,0.42,0.24388596568472248,4.851956317805505,9.478092893502556,14.421115216380086,re_balkans,1275
11,1833,Balkans,12.958917975787987,1151.6812106113655,909.7607503588079,1405.5556151201245,60.5,19.0,4.654140762853402,70.00176420087645,88.62188648835439,108.16369489414885,re_balkans,1537
12,1834,Balkans,12.993942147500157,1212.4424981037378,958.7599176241108,1478.2874301754014,64.0,19.0,4.9088921820015585,73.55526915179061,93.02354423189507,113.42695117776337,re_balkans,1635
