,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
0,1811,Eastern Europe,21.786671731625784,12767.236681404758,11646.05059447766,13930.342740770067,596.9,19.0,27.375489160970197,534.0741195671935,585.4983769396183,638.8454366318628,re_eastern_europe,POL,690
1,1812,Eastern Europe,21.816683521212337,13696.174418927287,12506.357233153467,14930.294192070252,636.8,19.0,29.149622163234312,572.4037643604289,626.8737600272385,683.372107243709,re_eastern_europe,POL,663
2,1813,Eastern Europe,21.846695310798886,14625.112156449817,13366.663871829274,15930.24564337044,676.7,19.0,30.923755165498427,610.7334091536644,668.2491431148587,727.8987778555553,re_eastern_europe,POL,679
3,1814,Eastern Europe,21.87670710038544,15554.049893972346,14226.970510505083,16930.197094670624,716.6,19.0,32.69788816776254,649.0630539468998,709.6245262024788,772.4254484674016,re_eastern_europe,POL,720
4,1815,Eastern Europe,21.906718889971987,16482.987631494874,15087.27714918089,17930.148545970813,756.5,19.0,34.472021170026665,687.3926987401353,750.9999092900989,816.9521190792478,re_eastern_europe,POL,733
5,1816,Eastern Europe,21.936730679558536,17411.9253690174,15947.583787856698,18930.099997270998,796.4,19.0,36.24615417229078,725.7223435333708,792.3752923777191,861.4787896910941,re_eastern_europe,POL,736
6,1817,Eastern Europe,21.96674246914509,18340.86310653993,16807.890426532507,19930.051448571183,836.3,19.0,38.020287174554895,764.0519883266063,833.7506754653393,906.0054603029404,re_eastern_europe,POL,746
7,1818,Eastern Europe,21.996754258731638,19269.80084406246,17668.197065208315,20930.002899871368,876.2,19.0,39.79442017681902,802.3816331198417,875.1260585529594,950.5321309147866,re_eastern_europe,POL,762
8,1819,Eastern Europe,22.02676604831819,20198.738581584992,18528.503703884122,21929.954351171556,916.0999999999999,19.0,41.56855317908313,840.7112779130771,916.5014416405795,995.0588015266329,re_eastern_europe,POL,792
9,1820,Eastern Europe,22.05677783790474,21127.67631910752,19388.81034255993,22929.90580247174,956.0,19.0,43.34268618134725,879.0409227063126,957.8768247281997,1039.5854721384792,re_eastern_europe,POL,818
