,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,gdp_per_capita,inclusive,restricted
0,1000,Chinese world,60.0,9.86890405016664,6.929422393545422,13.25728286878515,4.0,0.06666666666666667,0.11549037322575703,0.16448173416944398,0.2209547144797525,1225,1,0
1,1090,Chinese world,103.2,10.091768558443437,7.589268127217405,12.81768729429266,5.5,0.05408762420957543,0.0736619070688593,0.09797846602332011,0.12449492342903165,1222,1,0
2,1120,Chinese world,114.2,10.269894451342848,7.866836825952889,12.838896232224013,4.0,0.03502626970227671,0.06888648709240709,0.08992902321666242,0.11242466052735563,1181,1,0
3,1400,Chinese world,69.0,52.10747387095847,42.550072199095794,62.3862300186545,10.0,0.14492753623188406,0.6166677130303738,0.7551807807385286,0.9041482611399203,1404,1,0
4,1410,Chinese world,73.1,41.63465066881948,33.979610969423206,49.85157518156927,5.0,0.06839945280437756,0.4648373593628346,0.569557464689733,0.6819640927711255,1414,1,0
5,1420,Chinese world,77.2,42.77345500233876,34.81216647996553,51.27566659615965,7.0,0.09067357512953368,0.4509347989632841,0.5540602979577559,0.6641925724891147,1412,1,0
6,1430,Chinese world,81.3,75.32884425974909,61.11869656081029,90.46737251214138,13.0,0.15990159901599016,0.7517674853728203,0.9265540499354132,1.112759809497434,1498,1,0
7,1440,Chinese world,85.4,58.03280215930713,46.98921700515337,69.6456309963521,9.0,0.10538641686182669,0.5502250234795476,0.6795410088911842,0.8155226111985022,1458,1,0
8,1450,Chinese world,89.5,52.97620803158748,42.83018878445129,63.74447934530318,9.0,0.1005586592178771,0.47854959535699765,0.5919129389004189,0.7122288195005942,1375,1,0
9,1460,Chinese world,93.6,61.1875371021134,49.31746472166381,73.72939057904902,14.0,0.14957264957264957,0.5268959906160664,0.6537130032277073,0.7877071643060793,1324,1,0
10,1470,Chinese world,97.69999999999999,48.84029490533754,39.31579800595788,59.06962810568493,11.0,0.11258955987717503,0.40241349033733764,0.49990066433303526,0.6046021300479523,1341,1,0
11,1480,Chinese world,101.8,107.35493518667047,86.36026644204065,130.00549799067412,19.0,0.18664047151277013,0.8483326762479436,1.0545671432875292,1.277067760222732,1242,1,0
12,1490,Chinese world,105.9,95.38422235320594,76.7560514340526,115.5258542555143,14.0,0.13220018885741264,0.7247974639665022,0.9007008720793762,1.09089569646378,1189,1,0
13,1500,Chinese world,110.0,180.41024103628956,145.3117515301165,218.70618699470845,29.0,0.2636363636363636,1.3210159230010592,1.640093100329905,1.9882380635882586,1207,1,0
14,1510,Chinese world,117.3,61.565198320133504,49.57544993302701,74.78910896643872,9.0,0.07672634271099744,0.42263810684592507,0.5248525005978986,0.6375883117343455,1274,1,0
15,1520,Chinese world,124.6,173.18616611197797,139.46876523924155,210.1394243061852,26.0,0.2086677367576244,1.1193319842635758,1.389937127704478,1.686512233596992,1166,1,0
