region_name,level
Northwestern Europe,3
Western Europe,3
France,2
Spain,2
Low countries,2
Belgium,1
German world,2
Germany,1
British Islands,3
United Kingdom,2
Eastern Europe,2
Central Europe,2
Northern France,1
Greek World,2
mediterranean World,3
Balkans,2
Greece,1
Ottoman world,1
Muslim world,3
Arabic world,2
Persian world,2
Northern Italy,1
Southwestern Europe,3
Italy,2
Southern Italy,1
Austria,1
Nordic countries,2
Denmark,1
Sweden,1
Slav world,2
Netherlands,1
Northern India,1
Indian world,2
Switzerland,1
Southern France,1
Chinese world,2
Portugal,2
Norway,1
Japan,2
South East Asia,3
Southern Japan,1
Finland,1
Korea,2
Northern Japan,1
Northern China,1
Latin World,2
Ireland,1
Southern China,1
Ottoman Turkey,1
Arabian peninsula,1
Yangtze,1
Iceland,1
Southern India,1
