,region,decade,count_cps,N_est,lower,upper
528,Chinese world,1660,82,817.5539974410481,722.1453057232438,916.2792674708658
542,Chinese world,1800,67,635.1906472180817,562.8402590093851,712.8888681941498
548,Chinese world,1860,54,536.1578458052436,472.6595405583329,602.2407927051823
545,Chinese world,1830,52,502.74032616745905,445.51580883011553,563.3823602597647
530,Chinese world,1680,50,487.4046457245877,430.97445849013,545.5823569879808
532,Chinese world,1700,45,437.16233097104504,386.81228293067574,489.50166133530035
546,Chinese world,1840,44,442.79059596435957,390.1987224221029,498.1394254269826
540,Chinese world,1780,42,395.72146429640236,350.11689983084483,444.0803778194585
527,Chinese world,1650,41,399.2488089657764,351.6585545393649,448.8401062938574
539,Chinese world,1770,41,369.78906928607336,327.54520772177943,414.6924765231881
541,Chinese world,1790,35,323.0915090373757,286.08094127352075,362.51780764105274
547,Chinese world,1850,35,390.9162924942541,342.15198562079024,442.8845280575842
526,Chinese world,1640,33,289.27146287800736,256.4595857300612,323.5517217451601
544,Chinese world,1820,33,286.17863883598,253.90341854232474,320.32938287587825
529,Chinese world,1670,33,306.06785879729705,271.06541968775116,342.4449066529491
524,Chinese world,1620,33,294.65209512554713,260.18579722583604,330.73932070759844
543,Chinese world,1810,31,285.1653484711847,252.79123649793974,319.60108655467917
538,Chinese world,1760,31,295.6182924923129,261.3197470805285,331.99523762803113
535,Chinese world,1730,26,253.08714869332695,223.70900001866605,283.2930645948974
525,Chinese world,1630,25,217.26321806872087,192.06956120368505,243.7250076935707
531,Chinese world,1690,21,207.6444001966815,183.56276098491884,232.71089974792358
533,Chinese world,1710,20,216.14858277831797,189.17418453722286,244.46189275333927
502,Chinese world,1400,19,113.24587086219142,99.84094147725668,127.17578237969603
536,Chinese world,1740,18,184.73053405323944,161.5956216124771,209.31634256849304
490,Chinese world,1280,18,85.11816074699433,74.54143131282285,96.23179074254006
515,Chinese world,1530,17,146.0375551198837,129.0211520085887,163.47676242230662
514,Chinese world,1520,17,143.66945192137416,127.0656445646493,160.6413999613909
500,Chinese world,1380,17,80.93835911724388,71.49479425362537,90.7873157419353
517,Chinese world,1550,17,141.26833767883758,124.74445961560123,158.52377572723086
522,Chinese world,1600,16,114.11210193359331,101.23296753313159,127.5550303846662
516,Chinese world,1540,15,117.76663375710072,104.10777998708055,132.01346444388818
534,Chinese world,1720,13,115.8134315492201,102.2184536041162,129.9955463456484
494,Chinese world,1320,13,87.52964668682677,75.38796631395233,100.38733115136243
537,Chinese world,1750,13,130.56608228243192,115.46276838340232,146.57789915856466
523,Chinese world,1610,13,103.45934445173502,91.5297096165591,116.03594314433937
493,Chinese world,1310,12,60.11075148690184,52.50432621544332,68.01787202627504
