,Unnamed: 0,individual_wikidata_id,productive_year,decade,individual_name,score,region_name,count_works,category
0,25,Q1871519,1834.0,1830,Louis Barré,34,France,6.0,literary work
1,37,Q1974313,1858.0,1860,Victor Lemoine,13,France,3.0,literary work
2,84,Q16198759,1877.0,1880,Gustavo Mancinelli,19,Italy,2.0,painting
3,128,Q18923454,1854.0,1850,Alexandre Ségé,17,France,7.0,painting
4,178,Q3086433,1864.0,1860,Zénaïde Fleuriot,32,France,17.0,literary work
5,185,Q4077154,1855.0,1860,Felix Bamberg,34,France,10.0,literary work
6,232,Q15253517,1840.0,1840,Santo Garovaglio,29,Italy,1.0,literary work
7,249,Q15407012,1878.0,1880,Georges Lafosse,9,France,1.0,print
8,277,Q1931109,1857.0,1860,Michele Rapisardi,24,Italy,2.0,painting
9,302,Q20978978,1864.0,1860,Heinrich Ludwig,28,Italy,1.0,painting
10,316,Q24939852,1868.0,1870,Émile Salomé,15,France,4.0,painting
11,573,Q46778,1877.0,1880,Hans Hildebrand,35,Nordic countries,6.0,literary work
12,580,Q3083243,1852.0,1850,Benjamin Delessert,25,France,1.0,photograph
13,588,Q171485,1877.0,1880,Vilhelm Thomsen,48,Nordic countries,1.0,literary work
14,608,Q8011020,1817.0,1820,William Havell,41,United Kingdom,22.0,painting
15,657,Q18917718,1834.0,1830,Martin Ward,17,United Kingdom,1.0,painting
16,713,Q3132121,1809.0,1810,Henri Van Assche,25,Low countries,5.0,painting
17,737,Q5346215,1823.0,1820,Edwin Atherstone,23,United Kingdom,1.0,literary work
18,841,Q97136214,1810.0,1810,Lucile Foullon-Vachot,14,France,3.0,painting
19,893,Q2061120,1857.0,1860,Paul Marcellin Berthier,21,France,1.0,photograph
20,982,Q5821117,1875.0,1880,Magnus Höjer,16,Nordic countries,1.0,literary work
21,987,Q7606083,1833.0,1830,Stefan Florian Garczyński,28,France,14.0,literary work
22,990,Q21638140,1814.0,1810,Matilde Meoni Malenchini,12,Italy,1.0,painting
23,1013,Q8078305,1875.0,1880,Émile Munier,24,France,4.0,painting
24,1045,Q21460994,1835.0,1840,Frederick Cruickshank,14,United Kingdom,5.0,painting
25,1094,Q551597,1867.0,1870,Jules Vallès,60,France,18.0,literary work
26,1110,Q18012025,1842.0,1840,André Cochut,12,France,74.0,literary work
27,1145,Q18011964,1865.0,1860,Paul Boiteau,27,France,3.0,literary work
28,1148,Q2088334,1864.0,1860,Philoxène Boyer,20,France,6.0,literary work
29,1235,Q1114784,1871.0,1870,Louis Charles Émile Lortet,39,France,1.0,literary work
30,1392,Q2615088,1834.0,1830,Michał Kulesza,14,Eastern Europe,1.0,painting
31,1403,Q15969955,1850.0,1850,Ange Louis Janet,39,France,2.0,painting
32,1429,Q6221415,1840.0,1840,Giuseppe Valentinelli,44,Italy,2.0,literary work
33,1455,Q6526304,1842.0,1840,Leonhard Schmitz,35,Low countries,32.0,literary work
34,1527,Q629784,1824.0,1820,Mikhail Zagoskin,41,Eastern Europe,4.0,literary work
35,1548,Q41799865,1867.0,1870,James Gardner,8,United Kingdom,13.0,photograph
36,1573,Q55056984,1858.0,1860,Auguste le Jolis,29,France,3.0,literary work
37,1650,Q318399,1850.0,1850,Anthony Trollope,107,United Kingdom,55.0,literary work
38,1696,Q5371616,1875.0,1880,"Emilia, Lady Dilke",43,United Kingdom,1.0,literary work
39,1711,Q5802624,1862.0,1860,Olof Hermelin,35,Nordic countries,19.0,painting
40,1805,Q12173779,1817.0,1820,János Rombauer,25,Eastern Europe,34.0,painting
41,1844,Q20950183,1876.0,1880,Frédéric-Auguste Laguillermie,32,France,3.0,print
42,1937,Q12323481,1855.0,1860,Ludvig August Smith,14,Nordic countries,7.0,painting
43,1941,Q189117,1873.0,1870,Jan Matejko,74,Eastern Europe,127.0,painting
44,1958,Q60036436,1859.0,1860,Genónimo Fresno,2,France,1.0,painting
45,1980,Q2059329,1862.0,1860,Maxime Lalanne,58,France,33.0,print
46,2009,Q455438,1864.0,1860,Allan Hume,29,United Kingdom,7.0,literary work
47,2020,Q107303400,1838.0,1840,Urbain Jean Viguier,1,France,1.0,painting
48,2074,Q2744884,1850.0,1850,Daniel Cornelius Danielssen,39,Nordic countries,6.0,literary work
49,2087,Q16063982,1849.0,1850,Johann Baptist Zwecker,26,United Kingdom,2.0,literary work
50,2159,Q63212017,1870.0,1870,Jean-François Armbruster,13,France,1.0,painting
51,2178,Q50842915,1835.0,1840,Ignác Klimkovič,6,Eastern Europe,3.0,painting
52,2306,Q352109,1826.0,1830,Robert Knox,43,United Kingdom,1.0,literary work
53,2323,Q3767244,1846.0,1850,Giovanni Flechia,30,Italy,1.0,literary work
54,2565,Q954880,1838.0,1840,Léon Faucher,49,France,53.0,literary work
55,2634,Q2861361,1875.0,1880,Aristide Croisy,17,France,4.0,sculpture
56,2656,Q154349,1875.0,1880,Odilon Redon,134,France,454.0,painting
57,2721,Q3101890,1825.0,1820,George Samouelle,10,United Kingdom,2.0,literary work
58,2749,Q16687252,1860.0,1860,Pavel Ivanovich Porohovnikov,2,Eastern Europe,2.0,painting
59,2767,Q3072894,1846.0,1850,Firmin Salabert,18,France,10.0,painting
60,2771,Q52148327,1855.0,1860,François Lauret,9,France,1.0,painting
61,2824,Q5497544,1863.0,1860,Frederick Clarke Withers,19,United Kingdom,3.0,print
62,2828,Q5343542,1864.0,1860,Edward Hull,32,United Kingdom,2.0,literary work
63,2844,Q191305,1843.0,1840,Gérard de Nerval,156,France,105.0,literary work
64,2877,Q23055049,1869.0,1870,Auguste Dollfus,12,France,1.0,literary work
65,2905,Q79118052,1833.0,1830,Emmanuel Dalloz,1,France,1.0,drawing
66,2942,Q4422796,1841.0,1840,Paul Scudo,32,France,94.0,literary work
67,2994,Q274324,1869.0,1870,Jadwiga Łuszczewska,26,Eastern Europe,2.0,literary work
68,3019,Q16058434,1877.0,1880,Silvio Allason,9,Italy,3.0,painting
69,3151,Q762092,1807.0,1810,Giorgio Gallesio,36,Italy,1.0,literary work
70,3175,Q1508385,1852.0,1850,George Turner,12,United Kingdom,1.0,literary work
71,3228,Q280310,1834.0,1830,Carl Götzloff,29,Italy,4.0,painting
72,3271,Q715594,1844.0,1840,Jean-Pierre Clément,29,France,6.0,literary work
73,3354,Q51620640,1849.0,1850,Pierre Marie Froget,1,France,1.0,sculpture
74,3444,Q42160008,1877.0,1880,John Mayall,10,United Kingdom,1.0,photograph
75,3543,Q715338,1816.0,1820,Ebenezer Elliott,34,United Kingdom,2.0,literary work
76,3598,Q5807996,1850.0,1850,Rudolf Hjärne,12,Nordic countries,1.0,literary work
77,3629,Q18910510,1878.0,1880,Edward Morell Holmes,18,United Kingdom,2.0,literary work
78,3655,Q18421731,1856.0,1860,Josef Lies,20,Low countries,14.0,painting
79,3695,Q29457629,1852.0,1850,Jules Ambroise François Naudin,7,France,2.0,painting
80,3715,Q12331743,1860.0,1860,Peter Toft,16,United Kingdom,1.0,painting
81,3719,Q14945582,1864.0,1860,Henry Furneaux,34,United Kingdom,1.0,literary work
82,3726,Q2308805,1825.0,1820,Johan Börjesson,19,Nordic countries,5.0,literary work
83,3822,Q21458067,1872.0,1870,Matthew White Ridley,22,United Kingdom,4.0,print
84,3824,Q1819606,1838.0,1840,Jacob Abels,31,Low countries,15.0,painting
85,3862,Q4693023,1862.0,1860,Agnes Börjesson,19,Nordic countries,3.0,painting
86,3874,Q44490,1836.0,1840,John Henry Newman,148,United Kingdom,62.0,literary work
87,3882,Q3101576,1831.0,1830,George Francis Lyon,64,United Kingdom,3.0,engraving
88,3972,Q12315502,1845.0,1840,Hans Peter Christian Møller,10,Italy,1.0,literary work
89,3986,Q2975144,1871.0,1870,Claire de Chandeneux,17,France,4.0,literary work
90,4014,Q38027527,1851.0,1850,Jan Jacob Fels,12,Low countries,1.0,painting
91,4021,Q1972428,1841.0,1840,Victor Loche,12,France,2.0,literary work
92,4157,Q19569542,1849.0,1850,Corneille Seghers,10,Low countries,2.0,painting
93,4166,Q3620122,1863.0,1860,Antonio Rotta,35,Italy,112.0,painting
94,4230,Q15829962,1876.0,1880,Edvard Valečka,14,Eastern Europe,2.0,literary work
95,4239,Q22337714,1827.0,1830,Alphonse de Labroue,6,France,1.0,painting
96,4398,Q21453621,1877.0,1880,Henry Thomas Dawson,2,United Kingdom,1.0,painting
97,4489,Q12050259,1863.0,1860,Rudolf Skuherský,14,Eastern Europe,1.0,literary work
