,Unnamed: 0,individual_wikidata_id,productive_year,decade,individual_name,score,region_name,count_works
0,18,Q21289814,1844.0,1840,Samuel Mountjoy Smith,11,United Kingdom,1.0
1,22,Q3568446,1869.0,1870,William Bouwens van der Boijen,14,France,0.0
2,30,Q21289660,1850.0,1850,Philip Westcott,10,United Kingdom,0.0
3,34,Q5482339,1823.0,1820,Francis Ronalds,28,United Kingdom,1.0
4,38,Q4215366,1835.0,1840,James Wilson Carmichael,38,United Kingdom,25.0
5,59,Q739154,1815.0,1820,Nicolo Giraud,1,Eastern Europe,0.0
6,68,Q370308,1860.0,1860,Henry Walter Bates,64,United Kingdom,83.0
7,71,Q20348075,1850.0,1850,François-Hippolyte Leroy,10,France,0.0
8,75,Q2861953,1832.0,1830,Armand René du Châtellier,20,France,0.0
9,89,Q15445452,1840.0,1840,Frederik Willem Krieger,12,Low countries,0.0
10,114,Q37746027,1844.0,1840,Giovanni Pandiani,11,Italy,0.0
11,132,Q1212617,1832.0,1830,Gábor Mátray,26,Eastern Europe,0.0
12,140,Q106498444,1844.0,1840,Anders Erik Ädel,14,Nordic countries,0.0
13,157,Q1712467,1851.0,1850,Julius Anton Poseck,11,United Kingdom,0.0
14,158,Q4185621,1871.0,1870,Hryhorii Zaliubovskyi,1,Eastern Europe,0.0
15,164,Q12878414,1833.0,1830,Ioannis Filimon,16,Eastern Europe,0.0
16,177,Q3430952,1848.0,1850,Richard Lahautière,8,France,0.0
17,181,Q5954623,1873.0,1870,Jules Rothschild,16,France,0.0
18,187,Q351878,1858.0,1860,Thomas Tellefsen,35,France,0.0
19,200,Q870744,1865.0,1860,Mária Csapó,8,Eastern Europe,0.0
20,211,Q1029105,1834.0,1830,Camille-Christophe Gerono,13,France,0.0
21,215,Q21465369,1860.0,1860,William Henry Hopkins,6,United Kingdom,0.0
22,227,Q3856524,1823.0,1820,Michele Bisi,32,Italy,1.0
23,243,Q7328868,1854.0,1850,Richard Saltonstall Greenough,23,Italy,4.0
24,252,Q11866597,1827.0,1830,Johan Josef Pippingsköld,5,Nordic countries,0.0
25,259,Q98998301,1813.0,1810,Jean-François Robert,8,France,0.0
26,291,Q18821760,1866.0,1870,Laura Herford,7,United Kingdom,1.0
27,334,Q4077154,1855.0,1860,Felix Bamberg,34,France,10.0
28,338,Q15615042,1826.0,1830,Amédée-David de Pastoret,23,France,0.0
29,344,Q3420651,1853.0,1850,Raymond Balze,17,France,3.0
30,361,Q18214893,1833.0,1830,Henri de Tully,13,France,0.0
31,388,Q16210361,1819.0,1820,Caroline Lucy Scott,35,United Kingdom,1.0
32,406,Q1285652,1855.0,1860,Edmond Hédouin,41,France,5.0
33,425,Q1039042,1842.0,1840,Carl Johan Tornberg,34,Nordic countries,1.0
34,441,Q4227112,1871.0,1870,Stanisław Koźmian,24,Eastern Europe,0.0
35,483,Q2543492,1867.0,1870,P. J. B. C. Robidé van der Aa,16,Low countries,0.0
