,individual_wikidata_id,decade,region_name,count_works,occupation
0,Q60835032,1820,Eastern Europe,0.0,Music
1,Q1100854,1860,Eastern Europe,0.0,Written work
2,Q3048804,1870,United Kingdom,0.0,Written work
3,Q1974313,1860,France,3.0,Science
4,Q12630095,1870,Italy,0.0,Written work
5,Q105371207,1840,France,0.0,Sculpture
6,Q110554046,1880,France,0.0,Work of art
7,Q110176476,1880,Eastern Europe,0.0,Work of art
8,Q16198759,1880,Italy,2.0,Work of art
9,Q27049793,1870,Low countries,0.0,Work of art
10,Q2824906,1880,Low countries,0.0,Architecture
11,Q55071244,1880,Eastern Europe,0.0,Science
12,Q18923454,1850,France,7.0,Work of art
14,Q79306686,1860,United Kingdom,0.0,Theater
15,Q12736747,1830,Eastern Europe,0.0,Science
16,Q3086433,1860,France,17.0,Written work
17,Q56390452,1860,Eastern Europe,0.0,Music
19,Q4077154,1860,France,10.0,Written work
20,Q93416219,1850,France,0.0,Architecture
21,Q93416219,1850,France,0.0,Science
22,Q15253517,1840,Italy,1.0,Science
23,Q4061437,1880,Eastern Europe,0.0,Work of art
24,Q12298025,1860,Eastern Europe,0.0,Work of art
25,Q1931109,1860,Italy,2.0,Work of art
26,Q20978978,1860,Italy,1.0,Work of art
27,Q20978978,1860,Italy,1.0,Written work
28,Q24939852,1870,France,4.0,Work of art
29,Q3083863,1820,France,1.0,Sculpture
30,Q105382703,1840,Low countries,0.0,Work of art
31,Q22212056,1860,France,0.0,Work of art
33,Q3946123,1860,France,0.0,Music
37,Q3946123,1860,France,0.0,Written work
38,Q4214785,1810,Italy,0.0,Sculpture
39,Q709006,1840,France,0.0,Science
40,Q55672664,1880,France,0.0,Written work
41,Q3617372,1870,Italy,0.0,Work of art
42,Q733063,1870,Low countries,0.0,Music
44,Q18671227,1850,United Kingdom,0.0,Music
46,Q26214655,1830,Eastern Europe,0.0,Work of art
47,Q16065894,1850,France,0.0,Science
48,Q15121694,1840,Italy,0.0,Theater
49,Q49458161,1850,Italy,0.0,Work of art
50,Q5864777,1850,Italy,0.0,Science
51,Q12017474,1850,Eastern Europe,0.0,Architecture
52,Q5768882,1810,Eastern Europe,0.0,Science
53,Q5768882,1810,Eastern Europe,0.0,Written work
55,Q101069561,1840,France,0.0,Music
56,Q16765239,1880,Eastern Europe,0.0,Science
57,Q61481539,1810,Italy,0.0,Work of art
58,Q94622098,1820,Eastern Europe,0.0,Work of art
59,Q56007305,1840,Low countries,0.0,Architecture
60,Q46778,1880,Nordic countries,6.0,Science
61,Q3083243,1850,France,1.0,Written work
62,Q171485,1880,Nordic countries,1.0,Written work
63,Q8011020,1820,United Kingdom,22.0,Work of art
64,Q12768352,1850,Eastern Europe,0.0,Written work
65,Q1099003,1870,Eastern Europe,1.0,Sculpture
66,Q3830688,1840,Italy,0.0,Science
67,Q18917718,1830,United Kingdom,1.0,Work of art
68,Q1249515,1870,Low countries,0.0,Science
69,Q1065134,1830,France,0.0,Written work
70,Q51285990,1840,Low countries,0.0,Work of art
71,Q828078,1870,Eastern Europe,0.0,Written work
72,Q3592348,1840,France,0.0,Work of art
73,Q1372755,1880,Eastern Europe,0.0,Music
75,Q3132121,1810,Low countries,5.0,Work of art
76,Q5346215,1820,United Kingdom,1.0,Written work
