,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model,time
Intercept,-0.415,1.942,-4.087,3.124,0.073,0.052,716.0,1404.0,1.0,category-model,2024-03-04 13:47:22
"bs(decade, knots=iknots, intercept=True)[0]",0.318,2.159,-3.658,4.365,0.073,0.052,885.0,1839.0,1.0,category-model,2024-03-04 13:47:22
"bs(decade, knots=iknots, intercept=True)[1]",0.105,2.034,-3.676,3.931,0.074,0.052,767.0,1450.0,1.0,category-model,2024-03-04 13:47:22
"bs(decade, knots=iknots, intercept=True)[2]",-0.628,1.993,-4.367,3.016,0.074,0.053,726.0,1731.0,1.0,category-model,2024-03-04 13:47:22
"bs(decade, knots=iknots, intercept=True)[3]",1.107,1.976,-2.618,4.768,0.073,0.052,736.0,1488.0,1.0,category-model,2024-03-04 13:47:22
"bs(decade, knots=iknots, intercept=True)[4]",-0.365,1.95,-4.259,3.046,0.073,0.052,725.0,1448.0,1.0,category-model,2024-03-04 13:47:22
"bs(decade, knots=iknots, intercept=True)[5]",-0.157,1.943,-3.756,3.47,0.073,0.052,715.0,1435.0,1.0,category-model,2024-03-04 13:47:22
"bs(decade, knots=iknots, intercept=True)[6]",-0.189,1.941,-3.823,3.403,0.073,0.052,714.0,1375.0,1.0,category-model,2024-03-04 13:47:22
category[literary work],-0.261,0.109,-0.462,-0.054,0.003,0.002,1424.0,1909.0,1.0,category-model,2024-03-04 13:47:22
category[painting],0.016,0.109,-0.197,0.211,0.003,0.002,1419.0,2140.0,1.0,category-model,2024-03-04 13:47:22
category[photograph],-0.363,0.199,-0.76,-0.015,0.004,0.003,2537.0,2898.0,1.0,category-model,2024-03-04 13:47:22
category[print],-0.036,0.132,-0.292,0.202,0.003,0.002,1601.0,2376.0,1.0,category-model,2024-03-04 13:47:22
category[sculpture],0.139,0.139,-0.097,0.416,0.003,0.002,1683.0,2374.0,1.0,category-model,2024-03-04 13:47:22
1|region_name_sigma,0.068,0.037,0.0,0.129,0.001,0.001,914.0,1225.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Arabic world],0.033,0.069,-0.09,0.18,0.001,0.001,2958.0,3305.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Balkans],-0.019,0.072,-0.171,0.107,0.001,0.001,3620.0,2855.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Central Europe],-0.035,0.059,-0.157,0.064,0.001,0.001,3490.0,3237.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Chinese world],-0.04,0.066,-0.181,0.068,0.001,0.001,2747.0,3091.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[East Slavic],-0.033,0.065,-0.165,0.08,0.001,0.001,3734.0,3204.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Eastern Europe],-0.059,0.058,-0.174,0.032,0.001,0.001,2104.0,2946.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[France],0.015,0.04,-0.059,0.093,0.001,0.001,2366.0,2694.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[German world],0.04,0.044,-0.036,0.126,0.001,0.001,1786.0,2965.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Greek World],-0.053,0.08,-0.21,0.076,0.002,0.001,2283.0,3165.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Indian world],0.01,0.071,-0.13,0.148,0.001,0.001,4144.0,2705.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Italy],-0.035,0.048,-0.132,0.048,0.001,0.001,3142.0,2973.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Japan],0.007,0.066,-0.116,0.146,0.001,0.001,4123.0,3135.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Korea],-0.004,0.076,-0.157,0.14,0.001,0.001,4344.0,2661.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Latin World],0.007,0.073,-0.139,0.143,0.001,0.001,4526.0,3008.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Low countries],0.038,0.05,-0.047,0.14,0.001,0.001,2312.0,2899.0,1.0,category-model,2024-03-04 13:47:22
1|region_name[Nordic countries],0.018,0.053,-0.079,0.124,0.001,0.001,3175.0,3002.0,1.0,category-model,2024-03-04 13:47:22
