,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model,time
Intercept,-3.019,1.472,-5.735,-0.146,0.069,0.048,461.0,1044.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[0]",-2.993,3.559,-9.714,3.035,0.072,0.057,2586.0,2271.0,1.0,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[1]",3.948,2.034,0.174,7.762,0.072,0.051,796.0,1778.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[2]",0.318,1.597,-2.731,3.286,0.073,0.052,473.0,1072.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[3]",0.317,1.524,-2.64,3.217,0.067,0.048,514.0,1181.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[4]",-0.258,1.504,-3.168,2.513,0.07,0.049,466.0,1099.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[5]",1.138,1.511,-1.995,3.766,0.07,0.05,464.0,1009.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[6]",-0.096,1.501,-3.057,2.608,0.068,0.048,478.0,1051.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[7]",-0.014,1.496,-2.945,2.743,0.07,0.05,455.0,1133.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[8]",0.176,1.477,-2.661,2.957,0.069,0.049,452.0,972.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[9]",-0.909,1.474,-3.751,1.857,0.07,0.05,442.0,1014.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[10]",-0.529,1.471,-3.308,2.284,0.069,0.049,451.0,1039.0,1.01,gender-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[11]",-0.46,1.469,-3.255,2.326,0.07,0.049,447.0,1008.0,1.01,gender-model,2024-02-29 14:54:43
gender[male],0.377,0.066,0.249,0.5,0.001,0.001,3644.0,2398.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name_sigma,0.443,0.084,0.303,0.599,0.003,0.002,772.0,1408.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Arabic world],0.158,0.151,-0.136,0.433,0.004,0.003,1143.0,2065.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Balkans],-0.509,0.174,-0.819,-0.183,0.004,0.003,1712.0,2907.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Central Europe],-0.701,0.126,-0.937,-0.465,0.004,0.003,894.0,1757.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Chinese world],0.564,0.136,0.311,0.818,0.004,0.003,1021.0,1982.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[East Slavic],-0.356,0.14,-0.62,-0.096,0.004,0.003,1030.0,1950.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Eastern Europe],-0.631,0.117,-0.862,-0.419,0.004,0.003,779.0,1383.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[France],0.37,0.11,0.163,0.577,0.004,0.003,701.0,1111.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[German world],-0.372,0.111,-0.578,-0.163,0.004,0.003,701.0,1113.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Greek World],-0.429,0.164,-0.734,-0.102,0.004,0.003,1525.0,2252.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Indian world],0.495,0.195,0.164,0.888,0.005,0.003,1850.0,2626.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Italy],-0.092,0.112,-0.305,0.115,0.004,0.003,719.0,1240.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Japan],0.262,0.157,-0.03,0.566,0.005,0.003,1199.0,1985.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Korea],0.152,0.272,-0.357,0.657,0.005,0.004,2859.0,2816.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Latin World],0.233,0.207,-0.165,0.608,0.004,0.003,2207.0,2767.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Low countries],0.482,0.114,0.272,0.707,0.004,0.003,750.0,1218.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Nordic countries],-0.039,0.124,-0.291,0.176,0.004,0.003,835.0,1397.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Persian world],0.097,0.198,-0.264,0.48,0.004,0.003,2161.0,2575.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Portugal],-0.213,0.201,-0.582,0.182,0.005,0.003,1889.0,2649.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[Spain],0.025,0.125,-0.202,0.272,0.004,0.003,817.0,1553.0,1.0,gender-model,2024-02-29 14:54:43
1|region_name[United Kingdom],0.413,0.111,0.208,0.621,0.004,0.003,692.0,1166.0,1.0,gender-model,2024-02-29 14:54:43
