,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model,time
Intercept,-0.6,1.894,-4.089,2.97,0.068,0.048,783.0,1486.0,1.0,category-model,2024-03-04 11:08:32
"bs(decade, knots=iknots, intercept=True)[0]",-0.017,1.887,-3.606,3.403,0.067,0.048,787.0,1473.0,1.0,category-model,2024-03-04 11:08:32
"bs(decade, knots=iknots, intercept=True)[1]",-0.2,1.883,-3.501,3.469,0.066,0.047,810.0,1528.0,1.0,category-model,2024-03-04 11:08:32
"bs(decade, knots=iknots, intercept=True)[2]",-0.137,1.904,-3.634,3.485,0.068,0.048,777.0,1425.0,1.0,category-model,2024-03-04 11:08:32
"bs(decade, knots=iknots, intercept=True)[3]",-0.155,1.886,-3.733,3.269,0.066,0.047,812.0,1451.0,1.0,category-model,2024-03-04 11:08:32
"bs(decade, knots=iknots, intercept=True)[4]",-0.044,1.903,-3.479,3.591,0.069,0.049,770.0,1481.0,1.0,category-model,2024-03-04 11:08:32
"bs(decade, knots=iknots, intercept=True)[5]",-0.111,1.9,-3.656,3.432,0.066,0.046,847.0,1450.0,1.0,category-model,2024-03-04 11:08:32
"bs(decade, knots=iknots, intercept=True)[6]",-0.0,1.886,-3.568,3.447,0.067,0.048,789.0,1468.0,1.0,category-model,2024-03-04 11:08:32
category[engraving],-0.464,0.476,-1.401,0.367,0.007,0.007,4346.0,2600.0,1.0,category-model,2024-03-04 11:08:32
category[literary work],-0.129,0.152,-0.399,0.178,0.004,0.003,1584.0,2309.0,1.0,category-model,2024-03-04 11:08:32
category[painting],0.017,0.152,-0.253,0.328,0.004,0.003,1623.0,2280.0,1.0,category-model,2024-03-04 11:08:32
category[photograph],-0.319,0.224,-0.758,0.074,0.005,0.003,2446.0,2686.0,1.0,category-model,2024-03-04 11:08:32
category[print],-0.016,0.188,-0.378,0.331,0.004,0.003,2011.0,2461.0,1.0,category-model,2024-03-04 11:08:32
category[sculpture],0.344,0.198,-0.038,0.706,0.005,0.003,1882.0,2435.0,1.0,category-model,2024-03-04 11:08:32
1|region_name_sigma,0.115,0.075,0.0,0.24,0.003,0.002,695.0,1187.0,1.0,category-model,2024-03-04 11:08:32
1|region_name[Arabic world],0.026,0.125,-0.209,0.285,0.002,0.002,4620.0,2727.0,1.0,category-model,2024-03-04 11:08:32
1|region_name[Balkans],-0.043,0.128,-0.299,0.194,0.002,0.002,4199.0,2332.0,1.0,category-model,2024-03-04 11:08:32
1|region_name[Central Europe],-0.052,0.083,-0.212,0.097,0.001,0.001,3737.0,2901.0,1.0,category-model,2024-03-04 11:08:32
1|region_name[Chinese world],-0.173,0.176,-0.506,0.073,0.005,0.004,1090.0,2178.0,1.0,category-model,2024-03-04 11:08:32
1|region_name[East Slavic],-0.027,0.088,-0.201,0.144,0.001,0.001,5427.0,3157.0,1.0,category-model,2024-03-04 11:08:32
1|region_name[Eastern Europe],-0.068,0.073,-0.212,0.062,0.002,0.001,2260.0,2311.0,1.0,category-model,2024-03-04 11:08:32
1|region_name[France],0.031,0.061,-0.081,0.151,0.001,0.001,1989.0,2426.0,1.0,category-model,2024-03-04 11:08:32
1|region_name[German world],0.042,0.062,-0.067,0.157,0.002,0.001,1786.0,2600.0,1.0,category-model,2024-03-04 11:08:32
1|region_name[Greek World],-0.001,0.12,-0.242,0.236,0.002,0.002,5976.0,2568.0,1.0,category-model,2024-03-04 11:08:32
