,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model,time
Intercept,-3.005,0.015,-3.032,-2.975,0.0,0.0,1586.0,2138.0,1.0,y ~ 1,2024-04-23 18:22:39
Intercept,-2.517,1.476,-5.35,0.109,0.073,0.052,410.0,392.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[0]",0.905,2.103,-3.002,4.83,0.073,0.052,819.0,1342.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[1]",0.763,1.968,-3.135,4.261,0.073,0.052,720.0,1458.0,1.01,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[2]",-0.418,1.682,-3.706,2.567,0.073,0.052,525.0,794.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[3]",0.083,1.585,-2.985,3.029,0.073,0.052,472.0,726.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[4]",-0.203,1.555,-2.94,2.871,0.073,0.052,456.0,704.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[5]",1.398,1.532,-1.517,4.174,0.073,0.052,438.0,626.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[6]",-0.448,1.529,-3.285,2.363,0.073,0.052,436.0,540.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[7]",0.405,1.514,-2.422,3.192,0.074,0.052,422.0,592.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[8]",0.145,1.485,-2.536,3.016,0.073,0.052,416.0,463.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[9]",-0.719,1.483,-3.435,2.047,0.073,0.052,412.0,452.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
"bs(decade, knots=iknots, intercept=True)[10]",-0.641,1.478,-3.368,2.13,0.073,0.052,412.0,394.0,1.0,"y ~ bs(decade, knots=iknots, intercept=True)",2024-04-23 18:22:39
